accepted_at,stage,repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,accepted_result,evidence_paths
2026-05-22T01:24:15Z,A7V1/A7V2 registry and no-search smoke,historical-commit:40d37cb710d22b60a8453f8a448f1216a8138c35,40d37cb710d22b60a8453f8a448f1216a8138c35,NOT_RECOVERED,"G:/AlphaFactory_CryptoData/gold/panels/crypto_core12_1h_with_aggtrades_features_v1.parquet; content hash NOT_RECOVERED",historical contract and real-panel no-search smoke,true,false,"PASS_A7V1_FEATURE_REGISTRY_AND_A7V2_NO_SEARCH_SMOKE; authorized A7V3 dry run only; no replay/search/alpha proof","git:40d37cb710d22b60a8453f8a448f1216a8138c35:scripts/crypto_a7v1_feature_registry_and_smoke.py;git:40d37cb710d22b60a8453f8a448f1216a8138c35:runtime/a7v1_feature_registry_smoke/a7v1_authorization_matrix.json;git:1ed5acd5d44e8408fb6a051d82dcb9db03be0c10:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/"
2026-05-22T01:30:48Z,A7V3 agg-aware candidate dry run,historical-commit:c50c123df31d0717ce5f7017d0d5e0f312f53c37,c50c123df31d0717ce5f7017d0d5e0f312f53c37,NOT_RECOVERED,"A7V1 registry/spec assets plus panel schema only; numeric panel NOT_MATERIALIZED",historical expression-generation dry run,true,false,"PASS_A7V3_AGG_AWARE_CANDIDATE_DRY_RUN; 360 expression metadata candidates; executes_search=false; executes_replay=false","git:c50c123df31d0717ce5f7017d0d5e0f312f53c37:scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:c50c123df31d0717ce5f7017d0d5e0f312f53c37:runtime/a7v3_agg_aware_candidate_dry_run/a7v3_authorization_matrix.json;git:1ed5acd5d44e8408fb6a051d82dcb9db03be0c10:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v3_agg_aware_candidate_dry_run/"
2026-07-11T01:28:25+08:00,A7EFF2 git release,evalreset-baseline-20260711-ac9fd24^{},ac9fd24ede281bbcbf438f7c2f4f9b1e563b8b76,NOT_RECOVERED,"A7EFF2_GIT_RELEASE_20260711; 96 assets x 11545 hourly timestamps; external numeric-cache manifest SHA256=342805F26D1C92AEE1A42FC3FD18015375993829A7D5CAC3011EADCBE3BF1741",historical release and reward evidence,true,false,"PASS_A7EFF2_GIT_RELEASE_BUNDLE_READY; ten runtime-loaded fields verified; inventory/release is not current economic authority","git:ac9fd24ede281bbcbf438f7c2f4f9b1e563b8b76:runtime/a7eff2_git_release_20260711/a7eff2_release_manifest.json;runtime/crypto_feature_runtime_inventory_20260714/current_epoch_runtime_fields.csv;reports/CRYPTO_FEATURE_RUNTIME_INVENTORY_20260714.md"
2026-07-11T20:58:46+08:00,B1S CANARY,historical-commit:39d12c89a15802311cf9e1a108e9015b4315a653,39d12c89a15802311cf9e1a108e9015b4315a653,20260711_b1s_canary_001,"main+BBO frozen bundle SHA256=35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF",controlled canary with equal-budget control,true,false,"B1S_CANARY_PARTIALLY_COMPLETED; formal search remained frozen; historical canary results do not authorize continuation","git:39d12c89a15802311cf9e1a108e9015b4315a653:runtime/b1s_canary_20260711/b1s_canary_manifest.json;git:39d12c89a15802311cf9e1a108e9015b4315a653:runtime/b1s_canary_20260711/B1S_CANARY_COMPACT_RESULT.md"
2026-07-11T23:42:09+08:00,Epoch-0,historical-commit:46616450b1477d54eb45e47a42a8ed0541ce6cb7,46616450b1477d54eb45e47a42a8ed0541ce6cb7,20260711_crypto_nextgen_search_epoch0_001,"main+BBO frozen bundle SHA256=68150BEACEBB4A92AA4C2C34A93D9E56F1538E2685BF683806FDBCB004B1E875",frozen development search epoch,true,false,"FROZEN_DEVELOPMENT_EPOCH_COMPLETED with natural underfill and zero survivors; closure validation superseded PREPARE_ROTATING_CHALLENGE_EPOCH with REVISE_SEARCH_ENGINE_AND_REPEAT_DEVELOPMENT_EPOCH","git:46616450b1477d54eb45e47a42a8ed0541ce6cb7:runtime/nextgen_epoch0_20260711/epoch0_run_manifest.json;git:46616450b1477d54eb45e47a42a8ed0541ce6cb7:runtime/nextgen_epoch0_20260711/epoch0_closure_validation.json"
2026-07-12T01:29:15+08:00,Epoch-1,epoch1-failed-pre-strict-403b351^{},403b3519773e18c38033b2eaeaf404c98320595a,20260712_crypto_nextgen_epoch1_001,"main+BBO frozen bundle SHA256=35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF",preserved failed execution evidence,true,false,"FROZEN_DEVELOPMENT_EPOCH1_FAILED at final stratified admission; strict_evaluations_persisted=0; performance_conclusion_available=false","git:403b3519773e18c38033b2eaeaf404c98320595a:runtime/nextgen_epoch1_20260712/epoch1_closure_manifest.json;git:403b3519773e18c38033b2eaeaf404c98320595a:runtime/nextgen_epoch1_20260712/epoch1_failure.json"
2026-07-12T04:35:33+08:00,Epoch-1R,epoch1r-completed-natural-underfill-a9c119e^{},a9c119e4447755d76838373178c57ae8e05ab481,20260712_crypto_nextgen_epoch1r_001,"inherited Epoch-1 main+BBO inputs; aggregate data-release hash not repeated in Epoch-1R manifest",repaired frozen development epoch with matched controls,true,false,"FROZEN_DEVELOPMENT_EPOCH1R_COMPLETED_WITH_NATURAL_UNDERFILL; zero survivors; CEM UCT evolutionary and surrogate all ADAPTIVE_FAILURE_NO_SURVIVOR_GAIN","git:a9c119e4447755d76838373178c57ae8e05ab481:runtime/nextgen_epoch1r_20260712/epoch1r_run_manifest.json;git:a9c119e4447755d76838373178c57ae8e05ab481:runtime/nextgen_epoch1r_20260712/adaptive_vs_matched_controls.csv"
2026-07-12T15:57:37+08:00,Epoch-2,epoch2-partially-completed-02ac98e^{},02ac98e006c1c8272a33181b44d50e9dca376b68,20260712_crypto_epoch2_001,"inherited main+BBO loaders and frozen near-miss parent pack; aggregate data-release hash NOT_RECOVERED",blocker-directed frozen development epoch with matched random controls,true,false,"FROZEN_DEVELOPMENT_EPOCH2_PARTIALLY_COMPLETED; 2304 strict rows; zero survivors; no adaptive success; claimed 60/40 hybrid contract was not preserved","git:02ac98e006c1c8272a33181b44d50e9dca376b68:runtime/epoch2_20260712/epoch2_run_manifest.json;git:02ac98e006c1c8272a33181b44d50e9dca376b68:runtime/epoch2_20260712/EPOCH2_COMPACT_RESULT.md"
2026-07-12T16:45:58+08:00,Epoch-2B,epoch2b-economic-bottleneck-5d8be3d^{},5d8be3d26a4e2dd57b733e3de4938081c69501a8,20260712_crypto_epoch2b_audit_001,"cached Epoch-0 Epoch-1R Epoch-2 strict evidence only; no raw release or return label read",report-only economic bottleneck and operator causal audit,true,false,"ECONOMIC_BOTTLENECK_AUDIT_COMPLETED; 24/24 operator-blocker cells lacked causal control; PIVOT_TO_NEW_MECHANISM_OR_DATA was later narrowed by Frontier qualification and is not a unique-data-bottleneck proof","git:5d8be3d26a4e2dd57b733e3de4938081c69501a8:runtime/epoch2b_audit_20260712/epoch2b_run_manifest.json;git:5d8be3d26a4e2dd57b733e3de4938081c69501a8:runtime/epoch2b_audit_20260712/EPOCH2B_ECONOMIC_BOTTLENECK_REPORT.md"
2026-07-14T13:11:38+08:00,Frontier multi-paradigm Arena,crypto-frontier-provenance-closure-20260714^{},4726795f61052470d56e2d1475e4f6da9d262943,CRYPTO_FRONTIER_RESEARCH_V2_20260713,"BINANCE_UM_NATIVE_AGGTRADES_CORE12_2024M01_M10_V1; content SHA256=9A715BD4EC8461E533BFBA43B33CC67A30596E026800DF90CD604BBB02BF9A3D; fixed complete core10 development axis",accepted architecture plus corrected development evidence,false,true,"multi-paradigm artifact/evaluator architecture accepted development-only; corrected Arena conclusion CURRENT_DATA_UNDERPOWERED; no external economic increment established","git:4726795f61052470d56e2d1475e4f6da9d262943:runtime/crypto_frontier_research_v2_20260713/architecture_decision.json;git:4726795f61052470d56e2d1475e4f6da9d262943:runtime/crypto_frontier_provenance_closure_20260714/corrected_arena_evidence_status.json"
