field_id,lineage_kind,source_fields,transform,window_hours,PIT/source_lag,source_path,lineage_status
agg_trade_count,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_underlying_trade_count,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_quantity,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_notional,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_buy_agg_trade_count,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_sell_agg_trade_count,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_buy_underlying_trade_count,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_sell_underlying_trade_count,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_buy_quantity,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_sell_quantity,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_buy_notional,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_sell_notional,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_signed_aggressor_quantity,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
agg_signed_aggressor_notional,aggtrades_hourly_base,Binance Futures aggTrades hourly enhanced panel,registered hourly aggregation; exact data-builder formula not stored in A7V1 registry,1,+1h,git:1ed5acd:archive/deprecated_crypto_a7_20260527/runtime/runtime/a7v1_feature_registry_smoke/a7v1_base_feature_registry.csv,REGISTRY_RECOVERED_FORMULA_DETAIL_EXTERNAL
