field_id,source_field,representation_id,feature_family,frequency,PIT/source_lag,registry_status,search_allowed,runtime_loaded,runtime_entrypoint,consumer_lane,primitive_eligible,portfolio_mapping,notes
Add__agg_flow_imbalance_notional__latest_known_funding_rate,agg_flow_imbalance_notional;latest_known_funding_rate,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_flow_imbalance_notional__mark_index_ratio,agg_flow_imbalance_notional;mark_index_ratio,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_flow_imbalance_notional__premium_index,agg_flow_imbalance_notional;premium_index,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_flow_imbalance_notional__realized_vol_12,agg_flow_imbalance_notional;realized_vol_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_flow_imbalance_notional__realized_vol_24,agg_flow_imbalance_notional;realized_vol_24,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_flow_imbalance_notional__ret_12,agg_flow_imbalance_notional;ret_12,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_flow_imbalance_notional__ret_6,agg_flow_imbalance_notional;ret_6,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_large_notional_share_100k_plus__latest_known_funding_rate,agg_large_notional_share_100k_plus;latest_known_funding_rate,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_large_notional_share_100k_plus__mark_index_ratio,agg_large_notional_share_100k_plus;mark_index_ratio,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
Add__agg_large_notional_share_100k_plus__premium_index,agg_large_notional_share_100k_plus;premium_index,agg_derived::interaction_self_reproduction::Add,aggtrades;market_or_funding_control,1h,+1h specification lag,A7V1_DERIVED_SPEC_ARCHIVED_SOURCE,false,false,git:1ed5acd:archive/deprecated_crypto_a7_20260527/scripts/scripts/crypto_a7v1_feature_registry_and_smoke.py,A7V_AGG_AWARE_OPT_IN_DRYRUN,false,not_mapped_current_epoch,Static spec only; historical A7V1 authorization did not permit full search.
