semantic_bucket,motif_bucket,generation_mode,candidate_count,ok_count,eval_error_count,median_non_null_ratio,median_active_ratio
liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,80,80,0,0.9964170579124312,0.9957952951509699
taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,80,80,0,0.9958914158463312,0.9957655092468685
liquidity_like,single,seed_field_mul_delta,70,70,0,0.9732712520267366,0.9726794190626333
open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,70,70,0,0.9962173340723691,0.9959818527580596
taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,35,35,0,0.997308620529884,0.9971665978856901
taker_flow_like|basis_premium_like,gated_sign,seed_field_rank_spread,35,35,0,0.9973799915851224,0.9498343500830839
open_interest_like,single,seed_field_mul_delta,16,16,0,0.9711134287518296,0.9704256189856215
liquidity_like,single,seed_field_rank_spread,10,10,0,0.9758867997506617,0.5641212093479966
open_interest_like|positioning_like,delta_x_divergence,seed_field_rank_spread,10,10,0,0.9965286471328694,0.8394425373791512
taker_flow_like|basis_premium_like,gated_sign,seed_field_safe_div,10,10,0,0.9955875132885422,0.9933538582674446
