failure_type,action_id,action,allowed,forbidden_inputs,expected_effect,requires_timing_check,authorizes_search,authorizes_replay,authorizes_research_candidate
cost20_fail,smooth_horizon,Increase rolling/smoothing horizon and prefer slower features.,True,May stress labels;future funding;post-selection outcomes,Lower turnover and 20bps fragility.,True,False,False,False
cost20_fail,liquidity_activity_filter,Require nonzero activity/gross exposure and liquidity-aware field choice.,True,May stress labels,Remove zero-activity and high-cost artifacts.,True,False,False,False
lag1_fail,ban_near_bar_terms,Avoid current-bar sensitive terms and require lag-stable rolling features.,True,same-bar execution assumptions;May stress labels,Improve 1bar execution-lag survival.,True,False,False,False
lag1_fail,push_horizon,Mutate 6h variants toward 12h/24h when non-May raw/residual evidence survives.,True,May pass/fail direction,Reduce latency fragility.,True,False,False,False
residual_fail,orthogonal_interaction,Prefer interactions that reduce FundingCore/Core4 beta under validation/recent windows.,True,May residual result;future funding,Avoid funding/basis directional wrappers.,True,False,False,False
activity_coverage_fail,reject_or_replace_inactive_field,Reject zero-exposure expressions or replace inactive field pairs before replay.,True,May stress labels,Prevent zero-activity false positives.,True,False,False,False
beta_fail,benchmark_packaging_guard,Reject FundingCore/Core4/taker packaging as standalone candidate.,True,May stress labels,Keep baselines as baselines and clues as clues.,True,False,False,False
raw_fail,negative_only,Use as negative mutation evidence; do not repair directly into a candidate.,False,all candidate promotion paths,Prevents promoting raw-weak formulas.,True,False,False,False
residual_only_clue,diagnostic_only,Keep as hedge/overlay clue; do not call standalone alpha.,False,research_candidate label,Prevents residual-only promotion.,True,False,False,False
near_miss,targeted_non_may_mutation,Allow mutation around the failing non-May gate while preserving timing/cost/lag contracts.,True,May severe-fail margin;May residual direction,Search around useful boundary cases without May overfit.,True,False,False,False
