candidate_id,entry_label,recent_oos_2026JanApr,test_2025H2,validation_2025H1,premay_positive_splits
a7al2k_01298a6b5902f416,label_t1_to_t25,0.0015702301934176096,0.0017542897303090205,0.0008209537526632903,3
a7al2k_01298a6b5902f416,label_t2_to_t26,0.0015385315396663332,0.001772413172415554,0.0008149141724713772,3
a7al2k_01298a6b5902f416,label_t_to_t24,0.0015932228720284688,0.001743216305030764,0.0008302323846803897,3
a7al2k_01759e5da72c472c,label_t1_to_t25,0.0019036394548408084,0.003019230528348852,0.001219999772579214,3
a7al2k_01759e5da72c472c,label_t2_to_t26,0.0018583319153974171,0.0029889624655840335,0.0012131769580268808,3
a7al2k_01759e5da72c472c,label_t_to_t24,0.0019558814382863708,0.0030394639666952456,0.00123838128853291,3
a7al2k_0cf817ef95787b3d,label_t1_to_t25,0.0036739262655526945,0.004451085028116379,0.0020987422291410805,3
a7al2k_0cf817ef95787b3d,label_t2_to_t26,0.0035546211872128607,0.0044363093241239545,0.002111324977512081,3
a7al2k_0cf817ef95787b3d,label_t_to_t24,0.0037906611248732097,0.004496463641794852,0.0020818026660040095,3
a7al2k_134ec76b5d7444f9,label_t1_to_t25,0.002102174552926497,0.004183072416750925,0.002148290023124105,3
a7al2k_134ec76b5d7444f9,label_t2_to_t26,0.002044340486384433,0.004190900469164531,0.0021528079666367833,3
a7al2k_134ec76b5d7444f9,label_t_to_t24,0.002183417548284136,0.004184913719132667,0.0021405332764039176,3
