field_name,field_class,present_in_generator_code,status
binance_index_close,blocked_direct_or_raw_price_comparison,False,PASS
binance_internal_mark_index_basis_bps,canonical_allowed_overlay,True,PASS
binance_mark_close,blocked_direct_or_raw_price_comparison,False,PASS
binance_trade_close,blocked_direct_or_raw_price_comparison,False,PASS
funding_spread_okx_minus_binance,canonical_allowed_overlay,True,PASS
index_spread_bps_okx_minus_binance,blocked_direct_or_raw_price_comparison,False,PASS
mark_basis_bps_okx_minus_binance,blocked_direct_or_raw_price_comparison,False,PASS
oi_coin_ratio_okx_over_binance,canonical_allowed_overlay,True,PASS
oi_usd_ratio_okx_over_binance,canonical_allowed_overlay,True,PASS
oi_usd_spread_okx_minus_binance,canonical_allowed_overlay,True,PASS
oi_value_ratio_from_crowding_endpoint_okx_over_binance,canonical_allowed_overlay,True,PASS
okx_contracts_taker_buy_sell_ratio,canonical_allowed_overlay,True,PASS
okx_contracts_taker_buy_share,canonical_allowed_overlay,True,PASS
okx_index_close,blocked_direct_or_raw_price_comparison,False,PASS
okx_internal_mark_index_basis_bps,canonical_allowed_overlay,True,PASS
okx_mark_close,blocked_direct_or_raw_price_comparison,False,PASS
taker_ratio_spread_okx_minus_binance,canonical_allowed_overlay,True,PASS
J5_silent_fallback_to_J0,silent_fallback,False,PASS
