candidate_id,variant,entry_label,split,n_dates,mean_oriented_spread,hourly_tstat_naive,positive_rate
a7al2k_01759e5da72c472c,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8736,0.00032741725761390995,1.95687545929486,0.5168269230769231
a7al2k_01759e5da72c472c,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,-0.0006462249015408648,-3.3129123581027393,0.48159296133364204
a7al2k_01759e5da72c472c,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.0014453893857353263,7.380798402480198,0.5452061033933044
a7al2k_01759e5da72c472c,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,-0.00010375336989080315,-0.3357466277438679,0.5208406304728547
a7al2k_01759e5da72c472c,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,
a7al2k_0cf817ef95787b3d,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8736,-0.0008495347156158759,-5.029228141066261,0.4800824175824176
a7al2k_0cf817ef95787b3d,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,-0.0008625953350487547,-4.176061723976828,0.5008103727714749
a7al2k_0cf817ef95787b3d,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.0016755628004937934,9.638232846109709,0.5677522204509223
a7al2k_0cf817ef95787b3d,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,0.0011877182217717506,4.294915833411875,0.5691768826619965
a7al2k_0cf817ef95787b3d,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,
a7al2k_134ec76b5d7444f9,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8663,-0.0011528315933260957,-5.732199375886387,0.5031744199469006
a7al2k_134ec76b5d7444f9,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,0.0008920057511217525,4.030760300279904,0.5357721694836768
a7al2k_134ec76b5d7444f9,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,0.0011845444847739955,6.9553684421743665,0.5645638806649966
a7al2k_134ec76b5d7444f9,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,-0.00019252700497659572,-0.6964976105490165,0.49352014010507883
a7al2k_134ec76b5d7444f9,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,
a7al2k_01298a6b5902f416,timevarying_latent_state_neutral,label_t1_to_t25,train_2024,8568,-0.0009206173823848424,-5.091286559983297,0.4924136321195145
a7al2k_01298a6b5902f416,timevarying_latent_state_neutral,label_t1_to_t25,validation_2025H1,4319,-0.0005851134422826732,-3.3255862348977456,0.4973373466080111
a7al2k_01298a6b5902f416,timevarying_latent_state_neutral,label_t1_to_t25,test_2025H2,4391,-0.00029419528517337816,-1.5128428925482527,0.503529947620132
a7al2k_01298a6b5902f416,timevarying_latent_state_neutral,label_t1_to_t25,recent_oos_2026JanApr,2855,0.00035224339057588367,1.3543189947436494,0.5415061295971979
a7al2k_01298a6b5902f416,timevarying_latent_state_neutral,label_t1_to_t25,known_may2026_stress,0,,,
