candidate_id,split,n_dates,mean_spread,hourly_tstat_naive,newey_west_tstat_lag24,block_bootstrap_tstat_block24
a7al2k_01759e5da72c472c,validation_2025H1,4319,0.001219999772579214,5.776402023754988,1.4790895754827298,1.5641201164387846
a7al2k_01759e5da72c472c,test_2025H2,4391,0.003019230528348852,12.577352718133707,3.180041168221239,3.41652878065063
a7al2k_01759e5da72c472c,recent_oos_2026JanApr,2855,0.0019036394548408084,6.7667788198495575,1.74553655125478,1.7696035022734105
a7al2k_01759e5da72c472c,known_may2026_stress,575,0.0033689651451167557,5.5978508731930825,1.436541905602753,1.3421975940641835
a7al2k_0cf817ef95787b3d,validation_2025H1,4319,0.0020987422291410805,9.529505339246233,2.579424411793558,2.57719271277784
a7al2k_0cf817ef95787b3d,test_2025H2,4391,0.004451085028116379,18.089382793538054,4.619595877702398,4.555157515776161
a7al2k_0cf817ef95787b3d,recent_oos_2026JanApr,2855,0.0036739262655526945,11.161812721795318,2.8057222211361648,2.84888161443807
a7al2k_0cf817ef95787b3d,known_may2026_stress,575,0.0063433933383378925,11.916350504407767,3.256996975820755,3.1545281392498867
a7al2k_134ec76b5d7444f9,validation_2025H1,4319,0.002148290023124105,8.865267301727298,2.2309328807402933,2.2622066412774986
a7al2k_134ec76b5d7444f9,test_2025H2,4391,0.004183072416750925,19.43316460580606,4.915571979974642,4.967303397934165
a7al2k_134ec76b5d7444f9,recent_oos_2026JanApr,2855,0.002102174552926497,7.316095350584342,1.8565645605424452,1.737234565240888
a7al2k_134ec76b5d7444f9,known_may2026_stress,575,0.0038114128671996807,8.975681791679916,2.588836711128312,2.520002575583624
a7al2k_01298a6b5902f416,validation_2025H1,4319,0.0008209537526632903,3.941937314760088,0.9882797292512253,1.0412898346975497
a7al2k_01298a6b5902f416,test_2025H2,4391,0.0017542897303090205,9.765833953086823,2.618678904781834,2.860044032799627
a7al2k_01298a6b5902f416,recent_oos_2026JanApr,2855,0.0015702301934176096,6.4000731961555735,1.6331117311001602,1.7681621837788242
a7al2k_01298a6b5902f416,known_may2026_stress,575,0.0017481337667760812,5.126385005065499,1.5470805566907877,1.5977692802859464
