decision,label_family,count
A7FFCORE65B_NUMERIC_CLUE,L0_raw_forward_return,1
A7FFCORE65B_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
HOLD_A7FFCORE65B_CONTROL_DOMINATED,L0_raw_forward_return,26
HOLD_A7FFCORE65B_CONTROL_DOMINATED,L1_cross_sectional_relative_return,26
HOLD_A7FFCORE65B_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,29
HOLD_A7FFCORE65B_CONTROL_DOMINATED,L5_vol_adjusted_return,57
HOLD_A7FFCORE65B_CONTROL_DOMINATED,L7_ranked_future_return,63
HOLD_A7FFCORE65B_PRE_MAY_UNSTABLE,L0_raw_forward_return,357
HOLD_A7FFCORE65B_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,357
HOLD_A7FFCORE65B_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,355
HOLD_A7FFCORE65B_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,327
HOLD_A7FFCORE65B_PRE_MAY_UNSTABLE,L7_ranked_future_return,321
