panel_id,exact_identity,activation_identity,behaviour_cluster,economic_hypothesis,mechanism_id,proposal_id
bbo_micro,exact-signal:01aa3202c2ee306b8916f5b1,activation:c2879e506576d9e902b7a0e3,behaviour-cluster:d79e717a071c491a29062282,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:a2b6137e1c688ff0e50d3ee0
bbo_micro,exact-signal:04fab5d1d93824a1d2c8fbef,activation:a033d2e9736a35a279d6cb00,behaviour-cluster:4fbf86975ae4a576451a9467,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:b9732022184417735c6439ad
bbo_micro,exact-signal:054d3ba32a5b106b77dd26d0,activation:e0e167e0100ede7a7020d222,behaviour-cluster:b6d35797d8a464634b019bbb,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:8752b41f33bca250f5b99955
bbo_micro,exact-signal:05726c7c861a27a5990c1e2a,activation:3acbe2a75b9bbfdcbda3389e,behaviour-cluster:d4db97cb2d1aab6157b8f8d7,bbo_spread_state,liquidity_top_level,epoch-candidate:8c4d686337c3f354649e4781
bbo_micro,exact-signal:089f79405ad575c44465718a,activation:ff245d41b8b4fb78134d112d,behaviour-cluster:31760b76055cee6f4080c684,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:f58b2f2af327782658c9c39c
bbo_micro,exact-signal:08d09cb9890d15330f91eb41,activation:678cfbb07291fa25833c458a,behaviour-cluster:f1b829e04a6ff93baa3f70b4,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:72fb55a76bbf3caa01b00986
bbo_micro,exact-signal:0adbf4f8ba17485ece03ff8b,activation:7acb6bf0edc3d73708391ff9,behaviour-cluster:7c387f56de36d86b5d94502f,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:5ee6dc3116f6caa4904394bc
bbo_micro,exact-signal:0fa21b257394dd61eea68d34,activation:d5cfb65fe6b3b550ed1f1808,behaviour-cluster:c04deef7d8bdf5b4f56d21e1,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:ad7af55afb0e035089cd5e62
bbo_micro,exact-signal:11868411b46d4770472215e3,activation:7c227c422c1b5f96811696d7,behaviour-cluster:cbf60f685dda584414986d91,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:e1de2ffeb6cce4ebe6cd76e1
bbo_micro,exact-signal:122366854fc02714904d6be3,activation:7060866f1b5253692fb0b430,behaviour-cluster:c29f6d54b73395a961cce20e,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:ad8c3ff3bfc7373bbea22508
bbo_micro,exact-signal:123f3272df97ed9379c87495,activation:377dac8e01314de7b56a57bb,behaviour-cluster:db517b100b1e1150c630bca6,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:5fcb5347ce72040151826b01
bbo_micro,exact-signal:12e4dba1f6d1f25577aa08df,activation:010e2593a01f873f8b50aa34,behaviour-cluster:89ea4e84baf65576e970c486,bbo_spread_state,liquidity_top_level,epoch-candidate:927b949e0b04f64125de75f5
bbo_micro,exact-signal:169398ab0b4b67d28dc029df,activation:b30ff67624bb78df6bfed632,behaviour-cluster:70dc24ba9a1911d8c9f52ec2,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:12e21c48bef78959bb777d50
bbo_micro,exact-signal:19f774f142303ed4b1b277b2,activation:3f8215f2ed9ced344df769f9,behaviour-cluster:c56cfb49da9f07306bc1f00f,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:5d7a8ecf0c978349abd3dd89
bbo_micro,exact-signal:1b22f3d72f26dbc5be449a4a,activation:199654de20535ce12ca9f7ae,behaviour-cluster:04347323c81db81233e720f7,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:04ae6a521f8243bd63c6b687
bbo_micro,exact-signal:1be77865ce0d66b5a488e898,activation:46a3988fbc30a3e606b63941,behaviour-cluster:2e3807000a33f3f2113fedd8,bbo_spread_state,liquidity_top_level,epoch-candidate:c0b8dae6a2c54c4a873f0986
bbo_micro,exact-signal:1cbe0f913c08dfde4c95a981,activation:817a77a08e634d2f195c834d,behaviour-cluster:58736002768750bae6e4de73,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:d7c31bf00cab383badf35070
bbo_micro,exact-signal:222cffe75a10c3d4b05d7262,activation:e839e108098eab9b5604b091,behaviour-cluster:00f86bad0bb9aeb54db263fb,bbo_spread_state,liquidity_top_level,epoch-candidate:d38ee44c81e0e5dc6bcfde94
bbo_micro,exact-signal:236ac8f97ec14fd27dd7774b,activation:cf61a787c8560e8ae14e0bcf,behaviour-cluster:59b1e899080083e2ad5447f0,bbo_spread_state,liquidity_top_level,epoch-candidate:ce819ba215781cc5444a8226
bbo_micro,exact-signal:271c705a9673f1393dfa75f9,activation:4eba08315b3bfed4e0b2e747,behaviour-cluster:c59f18942937785f607b84dd,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:fc91859b4f4bdc51359857be
bbo_micro,exact-signal:2b4d5a30b86bfd201d275ef2,activation:8a7a228e32346dfeafa20b63,behaviour-cluster:b2fc1fe720823c91ddb86c31,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:bc61ade1fec790c0121258ae
bbo_micro,exact-signal:2c095e8d08352f5cb8cd2b73,activation:21e94472f709d9fa25f29894,behaviour-cluster:36929d4732a576c6970dcd5f,bbo_spread_state,liquidity_top_level,epoch-candidate:f227d34862cb29ff243e661b
bbo_micro,exact-signal:2c46b7317bad879a9239466e,activation:1ffaf4dabb445c5e7d0040a1,behaviour-cluster:af606b31d9aba20c2d681826,bbo_spread_state,liquidity_top_level,epoch-candidate:3f0b17405b46c9bce5c5d18a
bbo_micro,exact-signal:2c8cd1ea02135e1e8e8e0a14,activation:f4e2a5d9138d3e72e2650fb1,behaviour-cluster:dc5a74843043817db2c89b36,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:51e353fab9021bfb8e7101fd
bbo_micro,exact-signal:2cc4af049a9dc30303f42953,activation:f86107746f6adccc64c8a58c,behaviour-cluster:e4aa5efebe80214de21fccfc,bbo_spread_state,liquidity_top_level,epoch-candidate:2071c8a65b0ea01350192172
bbo_micro,exact-signal:307ee9320c32482f2ab74f0e,activation:24e2d3587f0d67f59e205bd0,behaviour-cluster:7ae3ab2627869ff0f090da1d,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:064ec3aba03118df08946e9b
bbo_micro,exact-signal:324484aae225df7d4db3d5ec,activation:f081860cb4c7921c37b2e5e6,behaviour-cluster:f75b357eaf5e7dc00022f339,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:8fcfe67a477269f1c066363b
bbo_micro,exact-signal:32c25b4de495582ea97e5b5c,activation:b7dd49adc11bf8cb1f994c6f,behaviour-cluster:29ecabda1a3f7f55915f5c7c,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:e359dead7d6b47dc0c20798f
bbo_micro,exact-signal:3462f44e8ba93fc60dadb5a4,activation:279340f6592f6ae99182e677,behaviour-cluster:2ea4e33308bed4a281947526,bbo_spread_state,liquidity_top_level,epoch-candidate:c518fd6b2276ff7bb508ec44
bbo_micro,exact-signal:36518e33b077c88dcf4ffed8,activation:928370bc29045e1970209c3b,behaviour-cluster:dac20f50119a7f9fcae62212,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:6169d74efda98081c9e77a16
bbo_micro,exact-signal:36b2284eaf6c7b3d8090aa2c,activation:4300c2feee95fa751798c2db,behaviour-cluster:e2400419bf76190079dd8ab9,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:050902f2c5441b064844025f
bbo_micro,exact-signal:36fc92b6ba77cac8444ca5e3,activation:6f10061717c0aa9d78ea9ca9,behaviour-cluster:b352df604d248cb4ef076c5b,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:ea0702a6cdae0fa23c31fc9a
bbo_micro,exact-signal:376c067f34f5b1cdbaa86d10,activation:5f5830788d31826aeade2624,behaviour-cluster:4435dff534a5871f1f426c73,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:53326e266f18d6d675e359e0
bbo_micro,exact-signal:387358c8343aafc10f7ff50e,activation:2ae44cab98817d5260dd84ff,behaviour-cluster:cd927e6fecb58896e1fdb921,bbo_spread_state,liquidity_top_level,epoch-candidate:87a18637a63bfde80414463d
bbo_micro,exact-signal:38ca42a9229e48102fc1bbb8,activation:1a17b901e88fdabbca6aefcc,behaviour-cluster:f2e3ada346c8645092525be3,bbo_spread_state,liquidity_top_level,epoch-candidate:3e49389a5f9573aad94d5753
bbo_micro,exact-signal:40fc8087ec247c20e07bc157,activation:77e19afaa8fe1bc77967cb85,behaviour-cluster:2d91a38b3e5961406fb4b53c,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:f403f8ce917501c75b297344
bbo_micro,exact-signal:423b23650df67780fb24efe0,activation:6d59f291f07dc12947753cd0,behaviour-cluster:1f6b925581003c21ea2db36b,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:26a521ab7f624cb2ae1c0827
bbo_micro,exact-signal:42990ace2a5698a157681ced,activation:3fa786670942dd89df45a67c,behaviour-cluster:ebbc1ccc035617ecc32907c2,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:1d94a75d3c324f8d2d42762f
bbo_micro,exact-signal:431ad0d07e8d1bc5bb859c53,activation:a0ea39bc6382b1d9ff4108ec,behaviour-cluster:1130019d2f7639e14ae39ba5,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:a8883eba8fc97a6cfe170673
bbo_micro,exact-signal:435f9b75114c7b65f93a7689,activation:ae37d0069f3c5f7d1d45317c,behaviour-cluster:ecfe1ed7b2d21f6cd1b56fbb,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:76567507172cc25c1e35a3d6
bbo_micro,exact-signal:439d83fd08f0c20239519983,activation:ad8cb724425d14ef34ee0afa,behaviour-cluster:a712a2b45799b49d0acd09b6,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:e2c8bbc4c1436cc7322beb7a
bbo_micro,exact-signal:4616271083942391028683fe,activation:3d294bac3f347fd73b97db9c,behaviour-cluster:1712c67a8683f0923043a93c,bbo_quote_imbalance,liquidity_top_level,epoch-candidate:5412b272a9c3f60d199894e8
bbo_micro,exact-signal:4844dc8606f3befc7e0b6bc7,activation:280c237a3ffa0583d45fe282,behaviour-cluster:98d307eb668d21f2b99debaf,bbo_top_level_liquidity,liquidity_top_level,epoch-candidate:fda1186afa864490911e169c
bbo_micro,exact-signal:49a98ee63c181a1e2691e102,activation:e9f070e018b03c135e0d2884,behaviour-cluster:a6f48ddf3d07d96474681b21,bbo_spread_state,liquidity_top_level,epoch-candidate:e0dbbbb4267f9378f71140b4
