panel_id,lane_id,proposal_id,exact_identity,admission_rank,admission_type,selected_for_strict
bbo_micro,bbo_typed_temporal,epoch-candidate:4ee4ebc779f2cf67219bbd1a,exact-signal:fe64c472bac1fd101447ad6e,0,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:d912e74f40932a4eb038e4ae,exact-signal:ba7df6849e5d57de0ee324fc,1,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:faffc040cd13335763294267,exact-signal:4860f791d76945abdd50c8fd,2,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:a2b6137e1c688ff0e50d3ee0,exact-signal:498ecde37792be234cca32dd,3,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:4804beb687a243938a840fb2,exact-signal:658e019756a8984fa75ee380,4,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:3b1a308c164a3b8ca5c50c89,exact-signal:be27814713d9b1bf2a943032,5,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:53dbd8578f7231087ed27dca,exact-signal:844ec3b811dc695e8f38a61b,6,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:107f4d655aaaa3f280902ef0,exact-signal:b172ac0a3b46b71dfea4eedc,7,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:613cbe24846706c7b7a61218,exact-signal:a6ed8f9dfc0fb117f7b7f5ac,8,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:dd5920a41be33dde100fef91,exact-signal:01b2180c3faaf52cca46eb48,9,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:08038633f0c796d7c81fd85c,exact-signal:fc779ee99b45dd5387c8f890,10,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:fda1186afa864490911e169c,exact-signal:17cf77e1e20d7907791bf341,11,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:0d882505281cf6ab60fe1d46,exact-signal:70e261b7693189a6a49b0ba2,12,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:a45ab8c6b37c6f8dbc46a088,exact-signal:5daa0e280cc463d583c1d86e,13,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:8fcfe67a477269f1c066363b,exact-signal:d50b88a51027c02d55091634,14,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:5e93487afe5f64760acb81f7,exact-signal:7e0f4495f003758ecf9ac1b8,15,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:f51a0173d38fa0d0aeda385f,exact-signal:7e0876831c5176bfc0ba9e9f,16,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:d18ec8bfd126a6d7de56c863,exact-signal:e664ed3b7d7e71f277f86342,17,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:2071c8a65b0ea01350192172,exact-signal:21515f5973738a1cd2398337,18,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:d71dbcc1ee96751d7fee0024,exact-signal:2cced2a89adb7fa4a0473920,19,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:fc91859b4f4bdc51359857be,exact-signal:b01f354602c024e6fb665552,20,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:6b558a20e632d5949ad33d50,exact-signal:dcc63208648212ddc4f37286,21,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:2f1b6fe84196a380a94e0c12,exact-signal:0d488e2ae7351c71a9bc3837,22,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:e850ffb12a4b9c74b81e7cbf,exact-signal:d45ce50565629395fa3882a6,23,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:13e9b6252b236babb77584c5,exact-signal:3269b5492002b9f88e9d9766,24,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:bd2615382e3bc819f8dec854,exact-signal:1941b27a6d5fc5fcc76509f5,25,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:ad7af55afb0e035089cd5e62,exact-signal:675b7b55dc33faeec415d572,26,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:3e49389a5f9573aad94d5753,exact-signal:f99bf2658d124231efea2106,27,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:adf07a4b3f3ddd6e286ad5d3,exact-signal:5eb25c7fcf4076b6f086a00c,28,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:fed75b331e24d14762cca548,exact-signal:c55a021ac489c3b1bbb3e427,29,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:419c3a85d0b38e2d7b991d18,exact-signal:bdd92fb5bdefae45a1702bc3,30,SEMANTIC_VOLUME_STRATIFIED,True
bbo_micro,bbo_typed_temporal,epoch-candidate:763669877611d12175fced65,exact-signal:8d2b09fccbf0494a42c66a4f,31,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:21c1e7cb89170025ff618384,exact-signal:fe41dca63b92cc1acc02b0e5,0,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:05b532986d63755ccd66f9de,exact-signal:72d22dcce6ac5893515ac6ee,1,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:23c276d6ba6f3cd3c8ffeb73,exact-signal:1256ce2e789cd58ba97d77b4,2,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:3679c7913e6be24dd23fe0eb,exact-signal:9427575334d6a274d963d01d,3,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:165763cc51bd58020a9c299f,exact-signal:afd9de59030d4df7f935a4f1,4,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:9eefb0bdd04f0225cf890f8d,exact-signal:92fa0584c216cad0b969c174,5,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:d3ed837df63255e8232c4c24,exact-signal:cff1aeaf67c9724fe175c999,6,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:8498cee82b90f83997b0f79e,exact-signal:8b00cd6b06250eca84ac2695,7,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:9382e64f7b0e1dbd46fd7f6c,exact-signal:e0ebb7743c8d14a034005274,8,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:66e480c49bc3e496d91ea422,exact-signal:f6da330e4a8af13c94ef6855,9,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:a7c3099c239bb14527716309,exact-signal:b91ef6bd26fc603795bc2449,10,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:95a81244a564820f4eb827fe,exact-signal:ad57573c2750a17b570c34f4,11,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:40ab2b9a46ae57ba9b5f6e4b,exact-signal:00ae3bba6745569e5e047050,12,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:985b88bffade2555dd42e7f8,exact-signal:8e4dc73c6a64561af3004c07,13,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:ee9cf17eedafb1460cdeaa27,exact-signal:c09050a00650a8b6222646fa,14,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:b482c028d82ab01ee349f39e,exact-signal:7d1a60e6afe7d2ed28112db1,15,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:d89a364793563f6efc3c73d8,exact-signal:0155f8f5d2f46d36105be4c3,16,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:43e9112e8f8dca202d4ad2a7,exact-signal:6ae97743383384a079486c1b,17,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:26ca7e0688422ebc608dcf45,exact-signal:a40db53cdcb040c3a1bba1dc,18,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:1f97ba833f1d5ef4e6907290,exact-signal:a6e1d4cdac63ddc434c61ef1,19,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:9c9ee053019d142f6da188f9,exact-signal:b2ffafc47efbd5c8a981865d,20,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:bf082838acb52e4f261b79d5,exact-signal:2e670f52f3ac30ca54396d9f,21,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:2173c0293967f6b0afe77fbe,exact-signal:93dc4b47ba41039554bab42c,22,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:1455182aa8df8a4bbb4f4832,exact-signal:b7f81d19b45abdf30352c2cd,23,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:23563afe3e600223b4c41daa,exact-signal:743696cf41d37740d917f753,24,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:c6c4b0f5ef39b9c7ad8f4e2a,exact-signal:6d72611e6fdf449e85fcf1db,25,SEMANTIC_VOLUME_STRATIFIED,True
main,cem,epoch-candidate:6e623219f8aa40c95432c312,exact-signal:dd5c4afc242c29147d515a40,26,SEMANTIC_VOLUME_STRATIFIED,True
