symbol,rows,min_timestamp,max_timestamp,agg_rows,agg_coverage,expected_agg_symbol,coverage_decision
ADAUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
AVAXUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
BCHUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
BNBUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
BTCUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,20424,0.9768509661373637,True,PASS_EXPECTED_CORE3_PARTIAL_TO_2026_04
DOGEUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
ETHUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,20424,0.9768509661373637,True,PASS_EXPECTED_CORE3_PARTIAL_TO_2026_04
LINKUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
LTCUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
SOLUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,20424,0.9768509661373637,True,PASS_EXPECTED_CORE3_PARTIAL_TO_2026_04
SUIUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
XRPUSDT,20908,2024-01-01T00:00:00Z,2026-05-21T03:00:00Z,0,0.0,False,PASS_EXPECTED_NO_AGG_COVERAGE
