field_name,field_group,generator_base_field,role,feature_available_time_rule
agg_trade_count,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_underlying_trade_count,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_quantity,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_buy_agg_trade_count,flow,True,feature,available_after_hour_close_plus_join_lag
agg_sell_agg_trade_count,flow,True,feature,available_after_hour_close_plus_join_lag
agg_buy_underlying_trade_count,flow,True,feature,available_after_hour_close_plus_join_lag
agg_sell_underlying_trade_count,flow,True,feature,available_after_hour_close_plus_join_lag
agg_buy_quantity,flow,True,feature,available_after_hour_close_plus_join_lag
agg_sell_quantity,flow,True,feature,available_after_hour_close_plus_join_lag
agg_buy_notional,flow,True,feature,available_after_hour_close_plus_join_lag
agg_sell_notional,flow,True,feature,available_after_hour_close_plus_join_lag
agg_signed_aggressor_quantity,flow,True,feature,available_after_hour_close_plus_join_lag
agg_signed_aggressor_notional,flow,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_le_100,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_100_1k,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_1k_10k,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_10k_100k,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_100k_1m,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_gt_1m,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional_le_100,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional_100_1k,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional_1k_10k,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional_10k_100k,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional_100k_1m,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_notional_gt_1m,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_first_agg_trade_id,other,True,feature,available_after_hour_close_plus_join_lag
agg_last_agg_trade_id,other,True,feature,available_after_hour_close_plus_join_lag
agg_first_transact_time_ms,other,True,feature,available_after_hour_close_plus_join_lag
agg_last_transact_time_ms,other,True,feature,available_after_hour_close_plus_join_lag
agg_high_price,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_low_price,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_price_std,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_max_trade_notional,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_open_price,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_close_price,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_vwap,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_buy_vwap,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_sell_vwap,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_avg_agg_trade_notional,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_avg_underlying_trade_notional,activity_liquidity,True,feature,available_after_hour_close_plus_join_lag
agg_volume_imbalance,flow,True,feature,available_after_hour_close_plus_join_lag
agg_buy_sell_notional_ratio,flow,True,feature,available_after_hour_close_plus_join_lag
agg_price_range_bps,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_close_to_open_bps,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_large_trade_count_100k_plus,large_trade,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_100k_plus,large_trade,True,feature,available_after_hour_close_plus_join_lag
agg_large_trade_count_ratio_100k_plus,large_trade,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_ratio_100k_plus,large_trade,True,feature,available_after_hour_close_plus_join_lag
agg_flow_imbalance_qty,flow,True,feature,available_after_hour_close_plus_join_lag
agg_flow_imbalance_notional,flow,True,feature,available_after_hour_close_plus_join_lag
agg_buy_notional_share,flow,True,feature,available_after_hour_close_plus_join_lag
agg_sell_notional_share,flow,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_share_100k_plus,large_trade,True,feature,available_after_hour_close_plus_join_lag
agg_large_count_share_100k_plus,large_trade,True,feature,available_after_hour_close_plus_join_lag
agg_vwap_close_bps,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_buy_sell_vwap_spread_bps,price_microstructure,True,feature,available_after_hour_close_plus_join_lag
agg_avg_underlying_trades_per_agg,other,True,feature,available_after_hour_close_plus_join_lag
agg_notional_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_quantity_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_signed_notional_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_signed_quantity_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_flow_imbalance_notional_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_share_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_avg_trade_notional_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_price_range_bps_max_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_close_to_open_bps_sum_4h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_notional_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_quantity_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_signed_notional_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_signed_quantity_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_flow_imbalance_notional_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_large_notional_share_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
agg_trade_count_sum_24h,rolling,True,feature,available_after_hour_close_plus_join_lag
