field_name,field_family,source_family,feature_class,allowed_for_search,allowed_for_label,a7aa2_seed_field
trade_return_1h,price_return,derived_replay_base,derived_rolling,True,False,True
trade_return_24h,price_return,trade_ohlcv,derived_rolling,True,False,False
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,True,False,True
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,True,False,True
trade_quote_volume,liquidity,trade_ohlcv,raw_source,True,False,False
trade_count,liquidity,trade_ohlcv,raw_source,True,False,False
liquidity_rank_active_universe,liquidity,trade_ohlcv,derived_cross_section,True,False,False
kline_taker_buy_quote_share,taker_flow,trade_ohlcv,raw_source,True,False,False
taker_buy_sell_volume_ratio_last,taker_flow,metrics_positioning,raw_source,True,False,False
funding_rate,funding,funding,raw_source,True,False,False
funding_rate_abs_168h,funding,funding,derived_rolling,True,False,False
funding_rate_mean_168h,funding,funding,derived_rolling,True,False,False
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,True,False,True
mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,True,False,True
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,True,False,False
basis_abs_168h,basis_premium,mark_index_premium,derived_rolling,True,False,False
premium_abs_168h,basis_premium,mark_index_premium,derived_rolling,True,False,False
open_interest_last,open_interest,metrics_positioning,raw_source,True,False,False
open_interest_value_last,open_interest,metrics_positioning,raw_source,True,False,False
open_interest_change_24h,open_interest,metrics_positioning,derived_rolling,True,False,False
oi_x_price_move_24h,open_interest_interaction,"metrics_positioning,trade_ohlcv",derived_interaction,True,False,False
global_long_short_account_ratio_last,positioning,metrics_positioning,raw_source,True,False,False
top_long_short_account_ratio_last,positioning,metrics_positioning,raw_source,True,False,False
top_long_short_position_ratio_last,positioning,metrics_positioning,raw_source,True,False,False
