row_type,source,name,primitive_id,canonical_id,legacy_id,authority_status,compatibility_status,canonical_semantics,canonical_implementation,input_domain,output_domain,window_semantics,warm_up_rule,missing_value_rule,activation_semantics,event_state_assumptions,expected_invariants,deprecated_aliases,repo_ref,verified_branch,source_commit_sha,accepted_closure_tag,accepted_closure_sha,evidence_scope,market_data_read,sealed_data_read,economic_increment_claimed,canonical_authority
CANONICAL,alphafactory_crypto.instrument_capability.primitives,Delta,Delta,Delta,,ACTIVE_CANONICAL,NOT_APPLICABLE,x[t] - x[t-window],alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]","float panel shaped [asset,time]",window is a lag distance,window coordinates,NaN unless both endpoints are finite,active where the lagged difference is finite and nonzero,no event state,"[""constant input is zero after warm-up"",""linear input has constant delta""]","[""b1s:delta"",""nextgen:Delta""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,Slope,Slope,Slope,,ACTIVE_CANONICAL,NOT_APPLICABLE,ordinary-least-squares slope over the trailing window including t,alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]","float panel shaped [asset,time]",window is the full OLS sample length,window-1 coordinates,NaN unless the complete trailing window is finite,active where a complete window has nonzero fitted slope,no event state,"[""linear input recovers its per-coordinate slope"",""constant input is zero""]","[""legacy_nextgen:endpoint_slope"",""legacy_b1s:endpoint_slope""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,Acceleration,Acceleration,Acceleration,,ACTIVE_CANONICAL,NOT_APPLICABLE,(x[t]-x[t-window]) - (x[t-window]-x[t-2*window]),alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]","float panel shaped [asset,time]",window is the lag used by both first differences,2*window coordinates,NaN unless all three lag endpoints are finite,active where the lag-window second difference is finite and nonzero,no event state,"[""linear input is zero after warm-up"",""quadratic input has stable sign""]","[""b1s:acceleration"",""nextgen:Acceleration""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,Persistence,Persistence,Persistence,,ACTIVE_CANONICAL,NOT_APPLICABLE,fraction of values strictly above threshold in the complete trailing window,alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]","float panel in [0,1]",window is the occupancy sample length,window-1 coordinates,NaN unless the complete trailing window is finite,continuous occupancy fraction; not an event counter,"state is raw x > threshold, never an implicit rolling z-score","[""bounded in [0,1]"",""all-active window equals one"",""all-inactive window equals zero""]","[""legacy_nextgen:zscore_state_persistence""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,Duration,Duration,Duration,,ACTIVE_CANONICAL,NOT_APPLICABLE,"length of the current consecutive active run, including t; zero while inactive",alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]",nonnegative float panel,window is not used; threshold defines active state,none after a finite coordinate,NaN resets the run; output is NaN at the missing coordinate,increments only while x > threshold and resets to zero otherwise,raw threshold state,"[""inactive is zero"",""first active coordinate is one"",""missing values reset the run""]","[""legacy_nextgen:zscore_state_duration""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,StateAge,StateAge,StateAge,,ACTIVE_CANONICAL,NOT_APPLICABLE,age of the current boolean state since its most recent transition; zero on transition,alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]",nonnegative float panel,window is not used; threshold defines boolean state,none after a finite coordinate,NaN resets state identity; output is NaN at the missing coordinate,tracks both active and inactive state age,raw threshold state; distinct from active-only Duration,"[""zero on each state change"",""increments while either state persists"",""missing resets age""]","[""legacy_nextgen:event_age_alias"",""legacy_b1s:numeric_change_age""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,TimeSince,TimeSince,TimeSince,,ACTIVE_CANONICAL,NOT_APPLICABLE,elapsed coordinates since the latest rising threshold activation; zero at a hit,alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]",nonnegative float panel with NaN before first hit,window is not used,NaN until the first rising activation in each finite segment,NaN resets hit history,increments after a rising activation until the next activation,event is a false-to-true raw-threshold transition,"[""zero at every rising event"",""increments by one between hits"",""never equals absolute hit index""]","[""legacy_nextgen:event_age_alias"",""legacy_b1s:numeric_change_age""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,LastHit,LastHit,LastHit,,ACTIVE_CANONICAL,NOT_APPLICABLE,absolute time-coordinate index of the latest rising threshold activation,alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]",float coordinate-index panel with NaN before first hit,window is not used,NaN until the first rising activation in each finite segment,NaN resets hit history,holds the last activation coordinate until the next activation,event is a false-to-true raw-threshold transition,"[""equals coordinate index at a hit"",""is piecewise constant between hits"",""is not event age""]","[""legacy_nextgen:event_age_alias"",""legacy_b1s:numeric_change_age""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,FirstHit,FirstHit,FirstHit,,ACTIVE_CANONICAL,NOT_APPLICABLE,one-shot pulse at the first rising threshold activation of each finite segment,alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]",binary float panel,window is not used,none after a finite coordinate,NaN resets the segment; output is NaN at the missing coordinate,"one at only the first activation, zero at later activations in the segment",event is a false-to-true raw-threshold transition,"[""at most one pulse per finite segment"",""later transitions are not FirstHit""]","[""legacy_nextgen:transition_alias""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
CANONICAL,alphafactory_crypto.instrument_capability.primitives,Transition,Transition,Transition,,ACTIVE_CANONICAL,NOT_APPLICABLE,"signed boolean-state change: +1 rising, -1 falling, 0 unchanged",alphafactory_crypto.instrument_capability.primitives.evaluate_primitive,"finite numeric panel shaped [asset,time]","float panel in {-1,0,1}",window is not used,none after a finite coordinate,NaN resets state; first finite active state is a +1 activation,"reports every state transition, not only the first",raw threshold state,"[""rising is +1"",""falling is -1"",""unchanged state is zero""]","[""legacy_temporal:rising_only_transition"",""legacy_nextgen:rising_only_transition"",""legacy_b1s:any_numeric_change""]",repair/crypto-instrument-capability-20260715@1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,repair/crypto-instrument-capability-20260715,1d8f76e6b07db3e3c13abb9f7d8230de08e50f58,crypto-frontier-provenance-closure-20260714,4726795f61052470d56e2d1475e4f6da9d262943,DETERMINISTIC_SYNTHETIC_CAPABILITY_ONLY,False,False,False,
