a7input_queue,semantic_pair,decision,label_family,row_count
interaction_alpha,basis_premium_like|price_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,140
ordinary_alpha,basis_premium_like|price_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,104
interaction_alpha,basis_premium_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,65
interaction_alpha,price_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,40
ordinary_alpha,price_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,39
ordinary_alpha,basis_premium_like|basis_premium_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,34
interaction_alpha,basis_premium_like|basis_premium_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,27
ordinary_alpha,basis_premium_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,23
interaction_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,18
interaction_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,17
interaction_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,17
interaction_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,14
interaction_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,14
ordinary_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,13
interaction_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,13
ordinary_alpha,basis_premium_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,12
ordinary_alpha,basis_premium_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,11
ordinary_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,11
ordinary_alpha,basis_premium_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,11
interaction_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,11
interaction_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,11
ordinary_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,9
ordinary_alpha,volatility_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,9
ordinary_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,8
ordinary_alpha,basis_premium_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,8
ordinary_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,7
ordinary_alpha,basis_premium_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,7
ordinary_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,7
ordinary_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,7
ordinary_alpha,basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,6
interaction_alpha,basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,6
ordinary_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,6
ordinary_alpha,basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,5
