a7input_queue,decision,label_family,row_count
ordinary_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1256
ordinary_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L0_raw_forward_return,1234
ordinary_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1234
ordinary_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1224
interaction_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1222
interaction_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L0_raw_forward_return,1222
interaction_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1197
interaction_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1184
ordinary_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L7_ranked_future_return,717
interaction_alpha,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L7_ranked_future_return,653
ordinary_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L7_ranked_future_return,653
interaction_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L7_ranked_future_return,638
ordinary_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L1_cross_sectional_relative_return,393
ordinary_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,393
ordinary_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L0_raw_forward_return,391
interaction_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L5_vol_adjusted_return,389
interaction_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,386
interaction_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L0_raw_forward_return,374
interaction_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L1_cross_sectional_relative_return,372
ordinary_alpha,HOLD_A7INPUT3_CONTROL_DOMINATED,L5_vol_adjusted_return,340
interaction_alpha,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,273
ordinary_alpha,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,216
ordinary_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,109
interaction_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,83
ordinary_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,60
ordinary_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,45
interaction_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,40
ordinary_alpha,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,40
interaction_alpha,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,38
ordinary_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,36
ordinary_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,36
interaction_alpha,A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,35
ordinary_alpha,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,33
interaction_alpha,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,33
ordinary_alpha,A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,32
interaction_alpha,A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,31
ordinary_alpha,A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,30
interaction_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,21
interaction_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,18
interaction_alpha,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,18
interaction_alpha,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,6
ordinary_alpha,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,4
interaction_alpha,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L0_raw_forward_return,3
interaction_alpha,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,3
ordinary_alpha,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L0_raw_forward_return,2
interaction_alpha,HOLD_A7INPUT3_NONOVERLAP_WEAK,L7_ranked_future_return,1
ordinary_alpha,HOLD_A7INPUT3_NONOVERLAP_WEAK,L7_ranked_future_return,1
ordinary_alpha,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,1
