a7input_queue,semantic_pair,label_family,row_count
interaction_alpha,basis_premium_like|volatility_like,L7_ranked_future_return,4
ordinary_alpha,basis_premium_like|basis_premium_like,L5_vol_adjusted_return,4
interaction_alpha,basis_premium_like|price_like,L7_ranked_future_return,2
ordinary_alpha,basis_premium_like|volatility_like,L7_ranked_future_return,2
interaction_alpha,basis_premium_like|volatility_like,L5_vol_adjusted_return,2
ordinary_alpha,basis_premium_like|volatility_like,L5_vol_adjusted_return,2
ordinary_alpha,basis_premium_like|basis_premium_like,L7_ranked_future_return,2
ordinary_alpha,volatility_like|volatility_like,L7_ranked_future_return,2
interaction_alpha,basis_premium_like|price_like,L5_vol_adjusted_return,1
ordinary_alpha,basis_premium_like,L5_vol_adjusted_return,1
interaction_alpha,price_like|volatility_like,L7_ranked_future_return,1
