semantic_pair,decision,label_family,row_count
basis_premium_like|price_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,140
basis_premium_like|price_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,140
basis_premium_like|price_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L0_raw_forward_return,140
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L7_ranked_future_return,118
basis_premium_like|price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L7_ranked_future_return,106
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,104
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L0_raw_forward_return,101
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,101
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L7_ranked_future_return,100
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,100
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,100
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,99
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,99
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L0_raw_forward_return,99
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,97
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,95
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L0_raw_forward_return,95
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L7_ranked_future_return,95
basis_premium_like|price_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L7_ranked_future_return,93
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,93
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,91
basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L0_raw_forward_return,88
basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,88
basis_premium_like|price_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L7_ranked_future_return,87
basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,87
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L7_ranked_future_return,86
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L7_ranked_future_return,86
volatility_like|volatility_like,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,84
basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,83
basis_premium_like|price_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,82
basis_premium_like|price_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L7_ranked_future_return,80
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L7_ranked_future_return,77
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,76
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,75
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L0_raw_forward_return,74
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,74
basis_premium_like|price_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L7_ranked_future_return,73
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,72
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L7_ranked_future_return,72
basis_premium_like|price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,71
basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L7_ranked_future_return,70
basis_premium_like|price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,69
basis_premium_like|price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L0_raw_forward_return,68
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L5_vol_adjusted_return,66
basis_premium_like|price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L5_vol_adjusted_return,64
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L5_vol_adjusted_return,63
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L1_cross_sectional_relative_return,59
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L7_ranked_future_return,58
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L7_ranked_future_return,57
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L0_raw_forward_return,57
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,57
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,55
basis_premium_like|price_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L0_raw_forward_return,54
basis_premium_like|price_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L7_ranked_future_return,54
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L7_ranked_future_return,53
basis_premium_like|price_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L1_cross_sectional_relative_return,53
basis_premium_like|price_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L5_vol_adjusted_return,53
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L0_raw_forward_return,52
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,52
basis_premium_like|price_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,52
volatility_like|volatility_like,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,51
volatility_like|volatility_like,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,51
volatility_like|volatility_like,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,L0_raw_forward_return,51
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,50
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,50
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,49
basis_premium_like|price_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,48
basis_premium_like|price_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,45
volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,44
basis_premium_like|price_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,41
volatility_like|volatility_like,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,L7_ranked_future_return,40
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L1_cross_sectional_relative_return,39
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L0_raw_forward_return,39
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,39
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L5_vol_adjusted_return,38
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,37
volatility_like|volatility_like,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,L1_cross_sectional_relative_return,37
volatility_like|volatility_like,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,L0_raw_forward_return,37
volatility_like|volatility_like,HOLD_A7FFCORE59S01_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,37
volatility_like|volatility_like,HOLD_A7FFCORE59S01_PRE_MAY_UNSTABLE,L7_ranked_future_return,37
basis_premium_like|price_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,36
basis_premium_like|price_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,36
basis_premium_like|price_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L0_raw_forward_return,36
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,36
basis_premium_like|price_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L5_vol_adjusted_return,35
basis_premium_like|price_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L5_vol_adjusted_return,35
basis_premium_like|price_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,34
basis_premium_like|price_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,33
price_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,33
price_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L0_raw_forward_return,33
basis_premium_like|price_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L1_cross_sectional_relative_return,33
price_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,33
volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,32
volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,32
volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,32
basis_premium_like|price_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L0_raw_forward_return,32
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,31
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L0_raw_forward_return,31
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L7_ranked_future_return,31
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L5_vol_adjusted_return,31
price_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,30
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L7_ranked_future_return,30
price_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,29
basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L7_ranked_future_return,29
price_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L7_ranked_future_return,28
volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,27
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,27
price_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L5_vol_adjusted_return,27
price_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,27
basis_premium_like|volatility_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,26
price_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,26
price_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,26
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L0_raw_forward_return,25
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L1_cross_sectional_relative_return,25
price_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L0_raw_forward_return,24
price_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,24
basis_premium_like|volatility_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,24
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,24
price_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L7_ranked_future_return,24
price_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L0_raw_forward_return,23
price_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,23
price_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,23
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,23
price_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,23
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,22
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L0_raw_forward_return,22
price_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,22
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,22
price_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,21
price_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,21
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L5_vol_adjusted_return,21
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L0_raw_forward_return,21
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L1_cross_sectional_relative_return,21
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L0_raw_forward_return,21
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,21
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L7_ranked_future_return,21
price_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,20
basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L5_vol_adjusted_return,20
price_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L0_raw_forward_return,20
basis_premium_like|basis_premium_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,19
price_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L5_vol_adjusted_return,19
price_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L0_raw_forward_return,18
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L5_vol_adjusted_return,18
basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,18
price_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,18
price_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,18
basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,18
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L5_vol_adjusted_return,17
price_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,17
price_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,17
price_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L7_ranked_future_return,17
basis_premium_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L5_vol_adjusted_return,16
basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,16
basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,16
basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L0_raw_forward_return,16
basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,16
basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,16
basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L1_cross_sectional_relative_return,15
basis_premium_like|price_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,15
basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,15
price_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L1_cross_sectional_relative_return,15
price_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L7_ranked_future_return,15
price_like|volatility_like,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,L0_raw_forward_return,15
basis_premium_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L0_raw_forward_return,15
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,14
basis_premium_like|basis_premium_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,14
price_like|volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L5_vol_adjusted_return,14
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,14
basis_premium_like|volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L7_ranked_future_return,14
basis_premium_like|price_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,13
volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L7_ranked_future_return,13
basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,13
price_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L7_ranked_future_return,13
volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,12
volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,12
volatility_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L0_raw_forward_return,12
volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,12
basis_premium_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,12
price_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L0_raw_forward_return,12
price_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L1_cross_sectional_relative_return,12
price_like|volatility_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,11
volatility_like|volatility_like,A7FFCORE59S01_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,11
price_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,11
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,11
price_like|volatility_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L7_ranked_future_return,11
price_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L7_ranked_future_return,11
basis_premium_like|volatility_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,11
basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L7_ranked_future_return,11
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,10
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,9
price_like|volatility_like,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,L5_vol_adjusted_return,9
basis_premium_like|price_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,9
price_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,9
price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L5_vol_adjusted_return,9
price_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,9
basis_premium_like|price_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,9
basis_premium_like|basis_premium_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,9
basis_premium_like|price_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,8
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,8
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S04_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,8
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S03_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,8
basis_premium_like|price_like,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,8
volatility_like,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,L7_ranked_future_return,8
basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L7_ranked_future_return,7
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,7
basis_premium_like|basis_premium_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,7
basis_premium_like,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,L5_vol_adjusted_return,7
price_like|volatility_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,6
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,6
basis_premium_like|price_like,HOLD_A7FFCORE59S05_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,6
volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,6
volatility_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,6
price_like|volatility_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,6
