semantic_pair,decision,label_family,row_count
basis_premium_like|price_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L0_raw_forward_return,243
basis_premium_like|price_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,243
basis_premium_like|price_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,242
basis_premium_like|price_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,241
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,181
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L0_raw_forward_return,181
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,172
basis_premium_like|price_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,171
basis_premium_like|price_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,170
basis_premium_like|price_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,170
basis_premium_like|price_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,169
basis_premium_like|price_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,168
basis_premium_like|price_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L0_raw_forward_return,163
basis_premium_like|price_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,163
basis_premium_like|volatility_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,163
basis_premium_like|price_like,HOLD_A7FFCORE59S05_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,159
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,153
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,153
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,152
basis_premium_like|price_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L7_ranked_future_return,149
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,149
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L0_raw_forward_return,149
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,148
basis_premium_like|basis_premium_like,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,144
basis_premium_like|volatility_like,HOLD_A7FFCORE59S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,142
basis_premium_like|price_like,HOLD_A7FFCORE59S03_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,141
