label_id,horizon,rows,numeric_clues,median_abs_corr,median_control_ratio
L7_ranked_future_return,24,2048,0,0.004963724080268697,1.0025091731392297
L7_ranked_future_return,4,2048,0,0.0038006334048918886,1.0277398278435517
L7_ranked_future_return,8,2048,0,0.0037187638248797066,1.0333381546768967
L7_ranked_future_return,1,2048,0,0.0033161484850834947,1.6976360732389701
L0_raw_forward_return,1,2048,0,0.0029512727158497775,2.830771825686019
L0_raw_forward_return,4,2048,0,0.0028268251313602792,1.9906913704622407
L1_cross_sectional_relative_return,1,2048,0,0.0027935848094964594,2.9690386949535874
L5_vol_adjusted_return,4,2048,0,0.0026276405628167677,2.0205044002654873
L1_cross_sectional_relative_return,4,2048,0,0.002405842463305225,2.75670992382847
L3_liquidity_tier_relative_return,8,2048,0,0.0023632388600877555,2.6255784251859593
L0_raw_forward_return,8,2048,0,0.002328681807047616,1.9361845135296845
L1_cross_sectional_relative_return,24,2048,0,0.0022594885139487157,1.84512078553497
L5_vol_adjusted_return,1,2048,0,0.002241888565567657,3.196292554598349
L3_liquidity_tier_relative_return,24,2048,0,0.0022254491087234252,2.1169546283222993
L0_raw_forward_return,24,2048,0,0.002209934321582878,1.8416430167947164
L5_vol_adjusted_return,8,2048,0,0.0021942819735786536,1.6988394690610877
L3_liquidity_tier_relative_return,1,2048,0,0.0021846275826245924,3.7055984732596823
L1_cross_sectional_relative_return,8,2048,0,0.002128345832561135,2.8608696367591255
L3_liquidity_tier_relative_return,4,2048,0,0.002097477905902912,2.705051235459013
L5_vol_adjusted_return,24,2048,0,0.001652091449239923,2.0900087135795675
