a7v3s0_lane,motif,rows
raw_broad_reserved,signed_rank_gate,4146
raw_broad_reserved,safe_div_abs,4084
raw_broad_reserved,smooth_mul,4082
funding_basis_recent_robust,safe_div_abs,4080
raw_broad_reserved,spread_rank,4072
funding_basis_recent_robust,smooth_mul,4056
funding_basis_recent_robust,spread_rank,4056
funding_basis_recent_robust,signed_rank_gate,3976
oi_flow_cross_mechanism,signed_rank_gate,3350
oi_flow_cross_mechanism,smooth_mul,3294
oi_flow_cross_mechanism,safe_div_abs,3226
oi_flow_cross_mechanism,oi_flow_scaled_spread,3217
oi_flow_cross_mechanism,spread_rank,3177
mechanism_regime_conditioned,state_conditioned_signed,2802
mechanism_regime_conditioned,state_conditioned_rank_mul,2759
mechanism_regime_conditioned,smooth_mul,2747
mechanism_regime_conditioned,spread_rank,2740
mechanism_regime_conditioned,safe_div_abs,2671
mechanism_regime_conditioned,signed_rank_gate,2665
oi_flow_cross_mechanism,oi_flow_delta_rank,120
funding_basis_recent_robust,funding_basis_delta_sign,108
funding_basis_recent_robust,funding_basis_spread_24h,108
