candidate_id,cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_fields,source_field_families,expression,expr_hash,horizon,object_type,signal_mode,static_score,may_used_for_generation,may_used_for_static_score,selection_status
a7o_l1_C0320_2036,C0320,2036,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(number_of_trades,36)),Rank(TSMean(number_of_trades,3)))),16))",4d4c206514454529,48,generated_candidate,original,0.22450000000000003,False,False,selected_for_strict_replay
a7o_l1_C0320_0181,C0320,181,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(quote_asset_volume,60)),ZScore(TSMean(quote_asset_volume,10)))),10))",6886f78445532d2b,48,generated_candidate,original,0.21250000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0180,C0320,180,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(quote_asset_volume,12)),Rank(TSMean(quote_asset_volume,4)))),4))",db369e45693ad4ca,48,generated_candidate,original,0.21150000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0373,C0320,373,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(avg_trade_size_quote,16)),ZScore(TSMean(quote_asset_volume,60)))),24))",05e147e7a9f73d74,48,generated_candidate,original,0.21050000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0372,C0320,372,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(avg_trade_size_quote,24)),Rank(TSMean(avg_trade_size_quote,24)))),10))",e1c1fd49401bfd81,48,generated_candidate,original,0.20950000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0565,C0320,565,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(number_of_trades,30)),ZScore(TSMean(quote_asset_volume,10)))),6))",3d09086321016ed2,48,generated_candidate,original,0.20850000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0564,C0320,564,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(number_of_trades,48)),Rank(TSMean(number_of_trades,36)))),20))",e26c5944db088953,48,generated_candidate,original,0.20750000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0757,C0320,757,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(avg_trade_size_quote,60)),ZScore(TSMean(number_of_trades,10)))),16))",531d2f5af0a1f8c3,48,generated_candidate,original,0.20650000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0756,C0320,756,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(avg_trade_size_quote,12)),Rank(TSMean(avg_trade_size_quote,10)))),4))",55be644f58e34228,48,generated_candidate,original,0.20550000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0096,C0320,96,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Mul(Neg(Rank(TSMean(avg_trade_size_quote,4))),Rank(TSMean(avg_trade_size_quote,48))),20))",04ccc084430761b2,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0193,C0320,193,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(Rank(TSMean(Rank(TSMean(number_of_trades,16)),36)),24))",06ce7c4698c35c4d,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0290,C0320,290,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Sub(Rank(TSMean(quote_asset_volume,36)),Abs(ZScore(TSMean(avg_trade_size_quote,10)))),48))",64cf1c88539edf6f,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0387,C0320,387,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Clip(Rank(TSMean(number_of_trades,12)),-4.0,4.0),60))",e92d8a3ac1bbba42,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0484,C0320,484,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(SafeDiv(Sub(Rank(TSMean(number_of_trades,30)),Rank(TSMean(number_of_trades,36))),Clip(Abs(TSRank(quote_asset_volume,72)),0.05,2.25)),12))",e702e71f24280920,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0581,C0320,581,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Add(Rank(TSMean(quote_asset_volume,72)),ZScore(TSMean(number_of_trades,12))),10))",e2f934ccdf6cc305,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0678,C0320,678,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(RollingMin(Add(Rank(TSMean(number_of_trades,24)),Rank(TSMean(avg_trade_size_quote,12))),60),30))",55f67cf9cb1fed59,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0775,C0320,775,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(SafeDiv(Rank(TSMean(quote_asset_volume,60)),Clip(Abs(ZScore(TSStd(quote_asset_volume,10))),0.05,6.0)),24))",992425676c7ad07d,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0872,C0320,872,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(TSRank(Sub(TSMean(Rank(TSMean(quote_asset_volume,20)),24),TSMean(quote_asset_volume,30)),36),8))",2db08cbaeb0effdf,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0949,C0320,949,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(number_of_trades,16)),ZScore(TSMean(number_of_trades,60)))),36))",287bb11d70952468,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_0969,C0320,969,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades,liquidity,"ResidualizeVsFundingCore(TSMean(Rank(Delta(Rank(TSMean(number_of_trades,48)),72)),36))",6d683652d3878114,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_1066,C0320,1066,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Rank(SmoothInteraction(Rank(TSMean(quote_asset_volume,16)),TSStd(quote_asset_volume,12))),20))",db5d4adabbc60b6e,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_1163,C0320,1163,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,avg_trade_size_quote;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(WinsorZScore(Rank(TSMean(avg_trade_size_quote,36)),3.0),60))",cc6c0fcc02d6ab30,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_1260,C0320,1260,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Sub(WinsorZScore(TSMean(quote_asset_volume,4),1.25),WinsorZScore(TSMean(number_of_trades,10),1.25)),4))",c3b387cb9321dd0b,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0320_1357,C0320,1357,H03_basis_premium_residual,P3_trade_size,TSMeanRank,H48,same_symbol_rank,none,low_turnover,F4_basis_dislocation,number_of_trades;quote_asset_volume,liquidity,"ResidualizeVsFundingCore(TSMean(Mul(ZScore(TSMean(quote_asset_volume,8)),Rank(TSMean(quote_asset_volume,30))),16))",86af34d960cba3ab,48,generated_candidate,original,0.20450000000000002,False,False,selected_for_strict_replay
a7o_l1_C0321_2036,C0321,2036,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_12;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(ZScore(Decay(ret_6,12)),Rank(TSMean(ret_6,3))))))),-4.0,4.0),-3.0,3.0),24)",a24e4e0d07fa3ac7,12,generated_candidate,original,0.30140000000000006,False,False,selected_for_strict_replay
a7o_l1_C0321_0181,C0321,181,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_24;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(ZScore(Decay(ret_6,20)),ZScore(TSMean(quote_volume_mean_24,10))))))),-4.0,4.0),-3.0,3.0),12)",5b15b5c4d6b650ee,12,generated_candidate,original,0.28940000000000005,False,False,selected_for_strict_replay
a7o_l1_C0321_0180,C0321,180,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_12;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(ZScore(Decay(ret_6,3)),Rank(TSMean(ret_6,4))))))),-4.0,4.0),-3.0,3.0),8)",16d3bc71ee444a62,6,generated_candidate,original,0.28840000000000005,False,False,selected_for_strict_replay
a7o_l1_C0321_0373,C0321,373,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_24;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(ZScore(Decay(ret_6,16)),ZScore(TSMean(quote_volume_mean_24,60))))))),-4.0,4.0),-3.0,3.0),30)",9147edfdb0f3d342,48,generated_candidate,original,0.28740000000000004,False,False,selected_for_strict_replay
a7o_l1_C0321_0372,C0321,372,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_12;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(ZScore(Decay(ret_6,16)),Rank(TSMean(ret_6,24))))))),-4.0,4.0),-3.0,3.0),16)",e081cbf877613923,24,generated_candidate,original,0.28640000000000004,False,False,selected_for_strict_replay
a7o_l1_C0321_0565,C0321,565,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_24;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(ZScore(Decay(ret_6,3)),ZScore(TSMean(quote_volume_mean_24,10))))))),-4.0,4.0),-3.0,3.0),8)",b9a6dcfcbcf0855d,6,generated_candidate,original,0.28540000000000004,False,False,selected_for_strict_replay
a7o_l1_C0321_0564,C0321,564,H00_low_turnover_robust,P10_price_liquidity,DecayZScore,mixed_6_24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,quote_volume_mean_12;ret_6,liquidity;price,"TSMean(Clip(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(ZScore(Decay(ret_6,60)),Rank(TSMean(ret_6,36))))))),-4.0,4.0),-3.0,3.0),3)",d696309c148d81d1,72,generated_candidate,original,0.28440000000000004,False,False,selected_for_strict_replay
