symbol,rows,timestamp_min,timestamp_max,agg_available_hours,agg_available_rate,metrics_available_hours,metrics_available_rate
ADAUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
AVAXUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
BCHUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
BNBUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
BTCUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,20904,0.9988054852119069,20917,0.9994266329017153
DOGEUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
ETHUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,20904,0.9988054852119069,20917,0.9994266329017153
LINKUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
LTCUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
SOLUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,20904,0.9988054852119069,20917,0.9994266329017153
SUIUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
XRPUSDT,20929,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,0.0,20917,0.9994266329017153
