source_family,field_name,field_type,scope,status,usage_note,present,non_null_rate,min_symbol_rate,median_symbol_rate
metrics_source,open_interest,independent,core39,allowed,source field; use level/change/zscore variants only after selection,True,1.0,1.0,1.0
metrics_source,open_interest_value,independent,core39,allowed,source field; stale-level controls required,True,1.0,1.0,1.0
metrics_source,global_long_short_account_ratio,independent,core39,allowed,crowding/account state source,True,1.0,1.0,1.0
metrics_source,top_long_short_account_ratio,independent,core39,allowed,crowding/account state source,True,0.9999043904400247,0.9999042879019908,0.9999043931354271
metrics_source,top_long_short_position_ratio,independent,core39,allowed,position crowding source,True,1.0,1.0,1.0
metrics_source,taker_buy_sell_volume_ratio,independent,core39,allowed,"vendor 5m metrics source, not aggTrades",True,1.0,1.0,1.0
market_structure,mark_index_basis_bps,independent_derived_from_mark_index,core39,allowed,basis level from mark/index source,True,0.9541748282092329,0.0,0.9999521965677136
market_structure,mark_index_basis_change_24h,derived,core39,allowed,basis dynamic; preferred over static basis for stale-control risk,True,0.9530569318156745,0.0,0.998804914192839
market_structure,mark_index_basis_zscore_168h,derived,core39,allowed,basis state,True,0.9522650885369041,0.0,0.9979922558439696
market_structure,premium_index_bps,independent_derived_from_premium,core39,allowed,premium source state,True,0.9597667617042036,0.21463741096610736,0.9999521965677136
market_structure,premium_index_change_24h,derived,core39,allowed,premium dynamic,True,0.958619446984499,0.21349012859123284,0.998804914192839
market_structure,premium_minus_funding_bps,derived,core39,caution,missing can be high; funding asof semantics required,True,0.700244417259732,0.0010994789425880778,0.9999521965677136
market_structure,funding_rate_bps,independent_asof,core39,benchmark_only,mandatory baseline/control; not promotable standalone,True,0.7404298507755406,0.0010994789425880778,0.9999521965677136
market_structure,funding_rate_change_3obs,derived_asof,core39,benchmark_only,funding family benchmark/control,True,0.7402864364355776,0.0009560686457287633,0.9998087862708542
aggtrades_core3,agg_signed_flow_z_24h,independent_aggtrades,core3_only,allowed_core3_only,order-flow state; not core39-wide,,,,
aggtrades_core3,agg_flow_imbalance_notional_24h,independent_aggtrades,core3_only,allowed_core3_only,signed aggressor flow,,,,
aggtrades_core3,agg_large_notional_share_24h,independent_aggtrades,core3_only,allowed_core3_only,large trade intensity,,,,
aggtrades_core3,agg_cross_symbol_signed_flow_share,derived_cross_symbol_core3,core3_only,allowed_core3_only,core3 relative flow only,,,,
aggtrades_core3,agg_notional_accel_4h_vs_24h,derived_aggtrades,core3_only,allowed_core3_only,flow acceleration,,,,
