candidate_id,semantic_bucket,motif_bucket,replay_rows,median_spread,median_cost_adjusted_spread,max_tstat,min_control_ratio,validation_recent_clean_splits,replay_clean
a7ffcore11e_34c80c6d72709214b6,liquidity_like|volatility_like,liquidity_shock,12,0.0014800642183663173,0.0004971373998893416,2.4862352348613195,0.6747063540620573,2,True
a7ffcore11e_47e7feb2ae3fd724af,liquidity_like|volatility_like,liquidity_shock,12,0.0017049193933607774,0.00042761275996189014,2.3099682728431645,0.839641155225303,2,True
a7ffcore11e_915089a6e339233ea8,taker_flow_like|basis_premium_like,gated_sign,12,0.0005165353973443906,-0.00027603215011737323,4.274745689395481,1.250743538168276,0,False
a7ffcore11e_e2ef38c0251e5f9d9f,taker_flow_like|basis_premium_like,gated_sign,12,0.0004023683918096496,-0.00030280289812955084,4.229889182515791,0.9661240957816793,0,False
a7ffcore11e_e5f7689834367b6808,taker_flow_like|basis_premium_like,gated_sign,12,0.00040277143657449336,-0.0004392464739640413,3.9209732966621598,1.538739397122297,0,False
a7ffcore11e_a8bc245f20ba6f090e,taker_flow_like|basis_premium_like,gated_sign,12,0.0005381261399199444,-0.00034664823233600717,3.550011657074252,1.81321035646921,0,False
a7ffcore11e_3de814e190a09da7c5,taker_flow_like|basis_premium_like,gated_sign,12,0.00034963937131313454,-0.00041638961505108144,3.0472931910410774,2.169033560643197,0,False
a7ffcore11e_10950375da87ec66dc,taker_flow_like|basis_premium_like,gated_sign,12,0.00029544490633629243,-0.0004834746827144205,2.879498663445393,2.3548021989765813,0,False
a7ffcore11e_a8d20b6bdd9fb53e86,taker_flow_like|basis_premium_like,gated_sign,12,0.001029721211556194,-3.830349778676404e-05,2.8570487130289695,0.8328338195803621,1,False
a7ffcore11e_fc238d0a2f892c56c8,taker_flow_like|basis_premium_like,gated_sign,12,0.00044606475156094556,-0.0004420013717832707,2.839088237995366,1.9552441816083141,0,False
a7ffcore11e_0e0f0e07398f95176c,taker_flow_like|basis_premium_like,gated_sign,12,0.00032429795403212064,-0.0004959585524001366,2.7768818230023027,2.3429652931911407,0,False
a7ffcore11e_ce389ddfa48b59e0f7,taker_flow_like|basis_premium_like,gated_sign,12,0.0003290788029601168,-0.00020809985336877574,2.7512089559087474,0.8444638126509262,1,False
a7ffcore11e_108bca7372512beafd,taker_flow_like|basis_premium_like,gated_sign,12,0.0007889850995214012,-0.00022495619490498137,2.717133036669549,0.6813269681239442,1,False
a7ffcore11e_7c8802ba202be3239e,liquidity_like,single,12,-0.00018315502670739333,-0.0005948353191463484,2.5318397896898563,0.8303077541042498,0,False
a7ffcore11e_55aaf9f22b9764a1a2,taker_flow_like|basis_premium_like,gated_sign,12,0.0008733991086650768,-7.537485839426077e-05,2.446855128392825,0.7979396733053177,1,False
a7ffcore11e_c70bbc5022a6f28dd1,liquidity_like,single,12,-0.000164157759295458,-0.0006065173667326904,2.4308814586974052,0.9808804937654517,0,False
a7ffcore11e_4c3d00558447cd47dd,open_interest_like|positioning_like,delta_x_divergence,12,0.00015373579136722441,-0.0005616885802339997,2.429604319859362,0.9026287601459124,0,False
a7ffcore11e_941cf981f5d72cff80,taker_flow_like|open_interest_like,flow_x_leverage,12,0.0024140255715529267,0.0017140255715529266,2.4173693700528185,0.825688076129715,0,False
a7ffcore11e_b42a7e3dcfc5ad4c16,open_interest_like|positioning_like,delta_x_divergence,12,0.00027012838220061085,-0.0006399015244261873,2.4144414535573686,0.6810134492809238,0,False
