candidate_id,family_id,dataset,stale_fit_rows,stale_r2,stale_original_std,stale_residual_std,null_fit_rows,null_r2,null_original_std,null_residual_std,residual_nonzero
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,566,0.0261612420228009,0.19784356653690338,0.19523848593235016,230,0.0487221443480893,0.19784356653690338,0.22701705992221832,True
a7ffcore33_008,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,566,0.001455808898638833,0.030694590881466866,0.030672241002321243,230,0.009615780948330821,0.030694590881466866,0.03086850233376026,True
a7ffcore33_015,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,576,0.0002112829953806461,0.18907983601093292,0.18905985355377197,240,0.019769866339477526,0.18907983601093292,0.19239743053913116,True
a7ffcore33_016,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,576,0.003130963359297745,0.2539405822753906,0.2535427510738373,240,0.030635887878591173,0.2539405822753906,0.27729541063308716,True
a7ffcore33_017,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,566,0.002848415656272807,0.20648573338985443,0.20619145035743713,230,0.006089490763994343,0.20648573338985443,0.21569381654262543,True
a7ffcore33_018,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,576,0.03464778560245807,0.9493841528892517,0.9327921867370605,240,0.0385454758011875,0.9493841528892517,1.1585853099822998,True
a7ffcore33_020,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,576,0.0006792134759407986,0.18231931328773499,0.18225736916065216,240,0.011596331434445717,0.18231931328773499,0.19800753891468048,True
a7ffcore33_000,F1b_taker_flow_market_panel,top498_replay_v2,15848,0.4804019287124748,0.32206088304519653,0.23224033415317535,15832,0.5578048100962857,0.32206088304519653,0.21434320509433746,True
a7ffcore33_001,F1b_taker_flow_market_panel,top498_replay_v2,4852,0.0025799717806487266,0.28634828329086304,0.27663132548332214,58,0.04704085333500152,0.28634828329086304,0.6782010793685913,True
a7ffcore33_002,F2a_basis_funding_independent,top498_replay_v2,4852,0.007684587630761963,0.004006306175142527,0.0026832197327166796,58,0.3057326201197822,0.004006306175142527,0.00442497106269002,True
a7ffcore33_003,F2a_basis_funding_independent,top498_replay_v2,15820,0.0008103477877059451,1.398840308189392,1.3956800699234009,15781,0.002322223360083142,1.398840308189392,1.3955259323120117,True
a7ffcore33_004,F2a_basis_funding_independent,top498_replay_v2,4852,0.0025424357530835495,0.00027721282094717026,0.00023886370763648301,58,0.3188733553282983,0.00027721282094717026,0.00016263504221569747,True
a7ffcore33_005,F2a_basis_funding_independent,top498_replay_v2,15818,0.004018679709622108,0.7471993565559387,0.7450767755508423,15751,0.012289357848487614,0.7471993565559387,0.7411620616912842,True
a7ffcore33_006,F1b_taker_flow_market_panel,top498_replay_v2,15818,0.0008533745245410396,4575737344.0,4576383488.0,15751,0.000940554156997564,4575737344.0,4585901056.0,True
a7ffcore33_009,F2a_basis_funding_independent,top498_replay_v2,7696,0.00751296025644721,0.6042520403862,0.6028013229370117,72,0.01527453333274742,0.6042520403862,0.8981837034225464,True
a7ffcore33_010,F2a_basis_funding_independent,top498_replay_v2,4596,0.14214873041892429,0.0029386149253696203,0.0016444800421595573,37,0.03341022875801236,0.0029386149253696203,0.015263862907886505,True
a7ffcore33_011,F2a_basis_funding_independent,top498_replay_v2,15841,0.0007322808005973958,0.005191413685679436,0.005190262105315924,15820,0.14910243400129708,0.005191413685679436,0.004792638588696718,True
a7ffcore33_012,F1b_taker_flow_market_panel,top498_replay_v2,15841,0.0026494107043172344,0.2849583029747009,0.28471916913986206,15820,0.0028589192399427477,0.2849583029747009,0.284857839345932,True
a7ffcore33_013,F2a_basis_funding_independent,top498_replay_v2,15820,0.0001960805188168102,32.46846389770508,32.48504638671875,15782,0.007200950728201483,32.46846389770508,32.40990447998047,True
a7ffcore33_014,F1b_taker_flow_market_panel,top498_replay_v2,4596,0.03517102191685573,0.374621719121933,0.3586171269416809,37,0.14582878286302348,0.374621719121933,0.8047011494636536,True
a7ffcore33_019,F1b_taker_flow_market_panel,top498_replay_v2,6725,0.5951173935546339,1.6085999011993408,0.8212514519691467,51,0.5126432233569979,1.6085999011993408,2.618924617767334,True
