semantic_type,compiler_role,field_count
basis_premium_like,forbidden_or_unlicensed,2
basis_premium_like,regime_or_diagnostic_input,2
basis_premium_like,signal_seed_candidate,1
categorical_state,regime_or_diagnostic_input,1
liquidity_like,forbidden_or_unlicensed,3
positioning_like,regime_or_diagnostic_input,1
positioning_like,risk_exposure_or_neutralizer,7
price_like,regime_or_diagnostic_input,1
price_like,risk_exposure_or_neutralizer,1
rate_like,forbidden_or_unlicensed,3
volatility_like,regime_or_diagnostic_input,2
