candidate_id,label_family,horizon_h,orientation_from_train,premay_all_positive,one_bar_lag_ok,control_ratio_premay_max,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,decision
a7ab3_4092255ee6888704,L7_ranked_future_return,4,-1.0,True,True,0.7422230314641165,0.0283688476360438,0.0204192692168425,0.0447428486447341,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_ced6188c184ada50,L7_ranked_future_return,4,-1.0,True,True,0.981989858366847,0.0275100060780053,0.0198761283105731,0.0454216131284916,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_2af478d1ff284e21,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.0245258493020141,0.0289143389738834,0.03615368889404,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_3edc6f38cc9be3f3,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.0245258493020141,0.0289143389738834,0.03615368889404,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,1,-1.0,True,True,0.8825573169255974,0.0204831330809251,0.0265493805697213,0.0345866816051099,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,4,-1.0,True,True,0.9633075807159004,0.0290777596730808,0.0446459400217256,0.0598930044744465,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_da7270f10c2caee8,L7_ranked_future_return,1,-1.0,True,True,0.9489624799404038,0.0245258493020141,0.0289143389738834,0.03615368889404,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_d4939ee84cb32793,L7_ranked_future_return,1,-1.0,True,True,0.9751233547536498,0.0195696021995569,0.0246782922526142,0.0324775118477309,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_165c7d8966b27a17,L7_ranked_future_return,4,-1.0,True,True,0.6126478081923302,0.0168662224549968,0.0371154368404717,0.0381559719635836,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
a7ab3_6eb23cd8ce4aeef1,L7_ranked_future_return,1,1.0,True,True,0.935474085143198,0.0071636113686704,0.0224838864420748,0.0249090493483748,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
