semantic_type_v3,compiler_role_v3,field_count
basis_premium_like,exploratory_signal_seed,1
basis_premium_like,ordinary_alpha_seed,1
basis_premium_like,regime_neutralizer_interaction_seed,18
funding_like,regime_neutralizer_interaction_seed,6
generic_numeric,blocked_or_unlicensed,2
generic_numeric,regime_neutralizer_interaction_seed,9
liquidity_like,regime_neutralizer_interaction_seed,11
positioning_like,regime_neutralizer_interaction_seed,15
price_like,exploratory_signal_seed,1
price_like,forbidden_label_future_or_timing,1
price_like,regime_neutralizer_interaction_seed,2
state_or_taxonomy,regime_neutralizer_interaction_seed,8
volatility_like,exploratory_signal_seed,2
volatility_like,regime_neutralizer_interaction_seed,4
