company_numeric_shard,a7ls_arm,rows,semantic_pair_count,motif_count,skeleton_count
a7ls3h_s000,A7LS_A,32,1,1,6
a7ls3h_s001,A7LS_A,32,1,2,9
a7ls3h_s002,A7LS_A,32,1,1,6
a7ls3h_s003,A7LS_A,32,1,1,7
a7ls3h_s004,A7LS_A,32,1,1,9
a7ls3h_s005,A7LS_A,32,1,2,10
a7ls3h_s006,A7LS_A,32,1,1,7
a7ls3h_s007,A7LS_A,32,1,2,11
a7ls3h_s008,A7LS_B,32,3,2,13
a7ls3h_s009,A7LS_B,32,4,2,11
a7ls3h_s010,A7LS_B,32,7,2,11
a7ls3h_s011,A7LS_B,32,7,2,6
a7ls3h_s012,A7LS_B,32,6,2,9
a7ls3h_s013,A7LS_B,32,8,2,7
a7ls3h_s014,A7LS_B,32,6,2,6
a7ls3h_s015,A7LS_B,32,6,2,6
a7ls3h_s016,A7LS_C,32,1,1,3
a7ls3h_s017,A7LS_C,32,1,1,2
a7ls3h_s018,A7LS_C,2,1,1,1
a7ls3h_s018,A7LS_D,30,4,2,5
a7ls3h_s019,A7LS_D,32,2,2,7
a7ls3h_s020,A7LS_D,32,3,2,5
a7ls3h_s021,A7LS_D,32,2,2,8
a7ls3h_s022,A7LS_D,32,2,2,6
a7ls3h_s023,A7LS_D,32,3,2,8
a7ls3h_s024,A7LS_D,32,2,2,8
a7ls3h_s025,A7LS_D,32,2,2,10
a7ls3h_s026,A7LS_B,30,5,2,8
a7ls3h_s026,A7LS_D,2,1,1,1
a7ls3h_s027,A7LS_B,32,7,2,11
a7ls3h_s028,A7LS_B,32,4,1,2
a7ls3h_s029,A7LS_A,15,1,1,5
a7ls3h_s029,A7LS_B,17,4,1,3
a7ls3h_s030,A7LS_A,17,1,1,6
a7ls3h_s030,A7LS_D,15,1,1,5
a7ls3h_s031,A7LS_A,15,1,1,5
a7ls3h_s031,A7LS_D,17,1,1,7
