semantic_pair,decision,count
basis_premium_like,A7FF25R3S07_NUMERIC_CLUE,7
basis_premium_like,A7FF25R3S07_RANK_LABEL_DIAGNOSTIC_CLUE,4
basis_premium_like,HOLD_A7FF25R3S07_CONTROL_DOMINATED,191
basis_premium_like,HOLD_A7FF25R3S07_COST2_PROXY_FRAGILE,1
basis_premium_like,HOLD_A7FF25R3S07_ONE_BAR_LAG_FRAGILE,7
basis_premium_like,HOLD_A7FF25R3S07_PRE_MAY_UNSTABLE,590
price_like,A7FF25R3S07_NUMERIC_CLUE,15
price_like,A7FF25R3S07_RANK_LABEL_DIAGNOSTIC_CLUE,55
price_like,HOLD_A7FF25R3S07_CONTROL_DOMINATED,345
price_like,HOLD_A7FF25R3S07_COST2_PROXY_FRAGILE,1
price_like,HOLD_A7FF25R3S07_ONE_BAR_LAG_FRAGILE,17
price_like,HOLD_A7FF25R3S07_PRE_MAY_UNSTABLE,207
price_like|volatility_like,A7FF25R3S07_RANK_LABEL_DIAGNOSTIC_CLUE,4
price_like|volatility_like,HOLD_A7FF25R3S07_CONTROL_DOMINATED,217
price_like|volatility_like,HOLD_A7FF25R3S07_ONE_BAR_LAG_FRAGILE,14
price_like|volatility_like,HOLD_A7FF25R3S07_PRE_MAY_UNSTABLE,385
volatility_like,A7FF25R3S07_NUMERIC_CLUE,3
volatility_like,A7FF25R3S07_RANK_LABEL_DIAGNOSTIC_CLUE,30
volatility_like,HOLD_A7FF25R3S07_CONTROL_DOMINATED,379
volatility_like,HOLD_A7FF25R3S07_PRE_MAY_UNSTABLE,488
volatility_like|volatility_like,A7FF25R3S07_RANK_LABEL_DIAGNOSTIC_CLUE,11
volatility_like|volatility_like,HOLD_A7FF25R3S07_CONTROL_DOMINATED,155
volatility_like|volatility_like,HOLD_A7FF25R3S07_PRE_MAY_UNSTABLE,274
