semantic_pair,label_family,label_horizon_h,count
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,1,24
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,1,18
basis_premium_like|volatility_like,L0_raw_forward_return,1,18
basis_premium_like|volatility_like,L5_vol_adjusted_return,1,15
basis_premium_like|positioning_like,L0_raw_forward_return,1,10
basis_premium_like|positioning_like,L5_vol_adjusted_return,1,10
basis_premium_like|positioning_like,L1_cross_sectional_relative_return,1,10
basis_premium_like|positioning_like,L1_cross_sectional_relative_return,4,6
basis_premium_like|volatility_like,L0_raw_forward_return,4,6
basis_premium_like|volatility_like,L5_vol_adjusted_return,8,6
basis_premium_like|positioning_like,L3_liquidity_tier_relative_return,1,6
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,4,5
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,4,5
basis_premium_like|positioning_like,L0_raw_forward_return,4,5
basis_premium_like|positioning_like,L3_liquidity_tier_relative_return,4,5
basis_premium_like|volatility_like,L5_vol_adjusted_return,4,5
basis_premium_like,L0_raw_forward_return,1,4
basis_premium_like,L1_cross_sectional_relative_return,1,4
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,4,4
basis_premium_like,L3_liquidity_tier_relative_return,1,4
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,4,4
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,8,4
basis_premium_like|price_like,L5_vol_adjusted_return,1,3
basis_premium_like|positioning_like,L5_vol_adjusted_return,8,3
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,1,3
basis_premium_like|basis_premium_like,L0_raw_forward_return,1,3
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,4,3
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,1,3
basis_premium_like,L5_vol_adjusted_return,1,3
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,8,3
basis_premium_like,L0_raw_forward_return,4,2
basis_premium_like,L1_cross_sectional_relative_return,4,2
basis_premium_like,L3_liquidity_tier_relative_return,4,2
basis_premium_like,L5_vol_adjusted_return,8,2
basis_premium_like|basis_premium_like,L0_raw_forward_return,4,2
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,1,2
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,8,2
basis_premium_like|positioning_like,L5_vol_adjusted_return,4,2
basis_premium_like|positioning_like,L1_cross_sectional_relative_return,8,2
basis_premium_like|volatility_like,L0_raw_forward_return,8,2
basis_premium_like|positioning_like,L0_raw_forward_return,8,2
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,8,2
basis_premium_like|positioning_like,L3_liquidity_tier_relative_return,8,2
basis_premium_like,L0_raw_forward_return,8,1
basis_premium_like|basis_premium_like,L0_raw_forward_return,8,1
basis_premium_like,L1_cross_sectional_relative_return,8,1
basis_premium_like,L3_liquidity_tier_relative_return,8,1
basis_premium_like,L5_vol_adjusted_return,4,1
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,8,1
basis_premium_like|price_like,L1_cross_sectional_relative_return,1,1
basis_premium_like|price_like,L3_liquidity_tier_relative_return,1,1
basis_premium_like|price_like,L0_raw_forward_return,1,1
