queue,semantic_pair,motif,row_count
ordinary_alpha,basis_premium_like|volatility_like,gated_sign,50
ordinary_alpha,price_like|volatility_like,smooth_mul,47
ordinary_alpha,basis_premium_like|positioning_like,relative_shock,43
ordinary_alpha,basis_premium_like|price_like,gated_sign,41
ordinary_alpha,basis_premium_like|price_like,mul,40
ordinary_alpha,basis_premium_like|price_like,safe_div_abs,40
ordinary_alpha,basis_premium_like,single,39
ordinary_alpha,basis_premium_like|price_like,sub,39
ordinary_alpha,basis_premium_like|basis_premium_like,spread_rank,38
ordinary_alpha,basis_premium_like|positioning_like,spread_rank,38
ordinary_alpha,price_like,single,34
ordinary_alpha,price_like|volatility_like,spread_rank,34
ordinary_alpha,volatility_like|volatility_like,gated_sign,31
ordinary_alpha,volatility_like|volatility_like,mul,31
ordinary_alpha,volatility_like|volatility_like,safe_div_abs,31
ordinary_alpha,volatility_like|volatility_like,spread_rank,31
ordinary_alpha,volatility_like|volatility_like,sub,31
ordinary_alpha,liquidity_like|volatility_like,mean_reversion_gate,30
ordinary_alpha,liquidity_like|volatility_like,signed_spread,30
ordinary_alpha,basis_premium_like|volatility_like,mean_reversion_gate,29
ordinary_alpha,liquidity_like|volatility_like,smooth_mul,24
ordinary_alpha,liquidity_like|volatility_like,spread_rank,24
ordinary_alpha,price_like|volatility_like,gated_sign,24
ordinary_alpha,basis_premium_like|basis_premium_like,mul,21
ordinary_alpha,basis_premium_like|volatility_like,sub,21
ordinary_alpha,basis_premium_like|volatility_like,signed_spread,20
ordinary_alpha,basis_premium_like|basis_premium_like,gated_sign,19
ordinary_alpha,price_like|volatility_like,mul,18
ordinary_alpha,basis_premium_like|basis_premium_like,safe_div_abs,17
ordinary_alpha,basis_premium_like|volatility_like,safe_div_abs,17
ordinary_alpha,basis_premium_like|basis_premium_like,sub,16
ordinary_alpha,basis_premium_like|positioning_like,sub,15
ordinary_alpha,basis_premium_like|price_like,mean_reversion_gate,13
ordinary_alpha,price_like|volatility_like,sub,12
ordinary_alpha,basis_premium_like|positioning_like,gated_sign,11
ordinary_alpha,basis_premium_like|positioning_like,safe_div_abs,11
ordinary_alpha,basis_premium_like|positioning_like,mul,10
ordinary_alpha,basis_premium_like|price_like,signed_spread,10
ordinary_alpha,basis_premium_like|volatility_like,relative_shock,7
ordinary_alpha,price_like|volatility_like,safe_div_abs,7
ordinary_alpha,basis_premium_like|price_like,relative_shock,4
rescue_lane,basis_premium_like|funding_like,signed_spread,66
rescue_lane,basis_premium_like|funding_like,mean_reversion_gate,48
rescue_lane,basis_premium_like|funding_like,relative_shock,42
rescue_lane,basis_premium_like|funding_like,smooth_mul,27
rescue_lane,funding_like|positioning_like,signed_spread,20
rescue_lane,basis_premium_like|funding_like,spread_rank,19
rescue_lane,funding_like|positioning_like,mean_reversion_gate,11
rescue_lane,funding_like|positioning_like,relative_shock,11
rescue_lane,basis_premium_like|funding_like,gated_sign,10
rescue_lane,basis_premium_like|funding_like,mul,10
rescue_lane,basis_premium_like|funding_like,safe_div_abs,8
rescue_lane,basis_premium_like|funding_like,sub,7
rescue_lane,funding_like|positioning_like,spread_rank,7
rescue_lane,funding_like|positioning_like,smooth_mul,6
rescue_lane,funding_like|positioning_like,mul,3
rescue_lane,funding_like|positioning_like,safe_div_abs,3
rescue_lane,funding_like|positioning_like,gated_sign,1
rescue_lane,funding_like|positioning_like,sub,1
