queue,semantic_pair,motif,row_count
interaction_alpha,basis_premium_like|price_like,smooth_mul,129
interaction_alpha,basis_premium_like|volatility_like,smooth_mul,109
interaction_alpha,basis_premium_like|basis_premium_like,smooth_mul,92
interaction_alpha,basis_premium_like|volatility_like,spread_rank,92
interaction_alpha,basis_premium_like|positioning_like,signed_spread,79
interaction_alpha,basis_premium_like|positioning_like,smooth_mul,73
interaction_alpha,basis_premium_like|positioning_like,mean_reversion_gate,72
interaction_alpha,price_like|volatility_like,smooth_mul,71
interaction_alpha,basis_premium_like|volatility_like,mul,59
interaction_alpha,basis_premium_like|price_like,spread_rank,58
interaction_alpha,volatility_like|volatility_like,smooth_mul,56
interaction_alpha,basis_premium_like|volatility_like,gated_sign,54
interaction_alpha,basis_premium_like|basis_premium_like,spread_rank,49
interaction_alpha,basis_premium_like|price_like,mul,46
interaction_alpha,basis_premium_like|price_like,gated_sign,44
interaction_alpha,price_like|volatility_like,spread_rank,44
interaction_alpha,basis_premium_like|price_like,sub,42
interaction_alpha,basis_premium_like|positioning_like,relative_shock,41
interaction_alpha,basis_premium_like|price_like,safe_div_abs,41
interaction_alpha,basis_premium_like|positioning_like,spread_rank,37
interaction_alpha,price_like|volatility_like,mul,35
interaction_alpha,price_like|volatility_like,gated_sign,31
interaction_alpha,volatility_like|volatility_like,gated_sign,31
interaction_alpha,volatility_like|volatility_like,mul,31
interaction_alpha,volatility_like|volatility_like,safe_div_abs,31
interaction_alpha,volatility_like|volatility_like,spread_rank,31
interaction_alpha,volatility_like|volatility_like,sub,31
interaction_alpha,price_like|volatility_like,sub,30
interaction_alpha,price_like|volatility_like,safe_div_abs,29
interaction_alpha,basis_premium_like|basis_premium_like,mul,27
interaction_alpha,basis_premium_like|volatility_like,sub,26
interaction_alpha,basis_premium_like|basis_premium_like,gated_sign,24
interaction_alpha,basis_premium_like|basis_premium_like,sub,24
interaction_alpha,basis_premium_like|basis_premium_like,safe_div_abs,20
interaction_alpha,basis_premium_like|volatility_like,safe_div_abs,20
interaction_alpha,basis_premium_like|positioning_like,sub,18
interaction_alpha,basis_premium_like|positioning_like,safe_div_abs,15
interaction_alpha,basis_premium_like|positioning_like,gated_sign,13
interaction_alpha,basis_premium_like|positioning_like,mul,12
interaction_alpha,liquidity_like|volatility_like,mean_reversion_gate,12
interaction_alpha,liquidity_like|volatility_like,signed_spread,12
interaction_alpha,liquidity_like|volatility_like,smooth_mul,12
interaction_alpha,liquidity_like|volatility_like,spread_rank,12
ordinary_alpha,basis_premium_like|price_like,smooth_mul,113
ordinary_alpha,basis_premium_like|positioning_like,signed_spread,85
ordinary_alpha,volatility_like,single,84
ordinary_alpha,basis_premium_like|volatility_like,smooth_mul,82
ordinary_alpha,basis_premium_like|positioning_like,mean_reversion_gate,80
ordinary_alpha,basis_premium_like|volatility_like,spread_rank,79
ordinary_alpha,basis_premium_like|positioning_like,smooth_mul,67
ordinary_alpha,basis_premium_like|basis_premium_like,smooth_mul,66
ordinary_alpha,basis_premium_like|price_like,spread_rank,60
ordinary_alpha,volatility_like|volatility_like,smooth_mul,56
ordinary_alpha,basis_premium_like|volatility_like,mul,55
