queue,info_cluster_id,row_count,queue_rows,share
interaction_alpha,ic_005,600,3630,0.1652892561983471
interaction_alpha,ic_013,600,3630,0.1652892561983471
interaction_alpha,ic_021,600,3630,0.1652892561983471
interaction_alpha,ic_015,536,3630,0.14765840220385676
interaction_alpha,ic_016,486,3630,0.13388429752066117
interaction_alpha,ic_000,292,3630,0.08044077134986226
interaction_alpha,ic_003,280,3630,0.07713498622589532
interaction_alpha,ic_014,92,3630,0.02534435261707989
interaction_alpha,ic_004,45,3630,0.012396694214876033
interaction_alpha,ic_006,24,3630,0.006611570247933884
interaction_alpha,ic_019,20,3630,0.005509641873278237
interaction_alpha,ic_008,16,3630,0.004407713498622589
interaction_alpha,ic_018,15,3630,0.004132231404958678
interaction_alpha,ic_020,12,3630,0.003305785123966942
interaction_alpha,ic_023,12,3630,0.003305785123966942
ordinary_alpha,ic_005,480,3142,0.1527689369828135
ordinary_alpha,ic_013,480,3142,0.1527689369828135
ordinary_alpha,ic_015,480,3142,0.1527689369828135
ordinary_alpha,ic_021,480,3142,0.1527689369828135
ordinary_alpha,ic_016,459,3142,0.1460852959898154
ordinary_alpha,ic_003,288,3142,0.0916613621896881
ordinary_alpha,ic_000,267,3142,0.08497772119669
ordinary_alpha,ic_008,70,3142,0.022278803309993635
ordinary_alpha,ic_014,35,3142,0.011139401654996817
ordinary_alpha,ic_006,24,3142,0.0076384468491406746
ordinary_alpha,ic_004,23,3142,0.00732017823042648
ordinary_alpha,ic_022,19,3142,0.0060471037555697
ordinary_alpha,ic_020,12,3142,0.0038192234245703373
ordinary_alpha,ic_023,12,3142,0.0038192234245703373
ordinary_alpha,ic_019,9,3142,0.002864417568427753
ordinary_alpha,ic_018,4,3142,0.001273074474856779
rescue_lane,ic_009,300,300,1.0
