control_mode,production_family,rows,val_recent_positive,recent20_positive,may_positive,mean_validation_net10,mean_recent_net10,mean_may_net10
row_shuffle,cross_symbol_self_reproduction_core3,12,0,0,0,-2.8147578242631943,-4.916630742332532,-0.32056765947402616
row_shuffle,interaction_self_reproduction,12,0,0,0,-2.612006649362058,-4.684410569872573,-0.31699263784004
row_shuffle,rolling_self_reproduction,12,0,0,0,-2.943487789793467,-4.949335522326348,-0.30818886235563014
sign_flip,cross_symbol_self_reproduction_core3,12,0,1,9,-1.7307639524702412,-2.404360064113011,0.04654241996149483
sign_flip,interaction_self_reproduction,12,0,0,4,-1.8946256752489523,-3.259774855826865,-0.1279370268258108
sign_flip,rolling_self_reproduction,12,0,0,12,-1.235322183313034,-2.0675981786345354,0.19781016650771796
time_shuffle,cross_symbol_self_reproduction_core3,12,0,0,1,-0.5544766303466435,-1.8491779787777378,-0.23955809532164052
time_shuffle,interaction_self_reproduction,12,0,0,0,-1.2688391486048718,-2.1117837473125736,-0.2768299164212525
time_shuffle,rolling_self_reproduction,12,3,0,1,-0.6285402126325672,-0.993738107161943,-0.34257613715858054
wrong_lag,cross_symbol_self_reproduction_core3,12,2,3,1,-0.602734278027012,-0.7969280814010142,-0.2382095550776221
wrong_lag,interaction_self_reproduction,12,0,0,0,-0.7922335299355213,-1.899217891849143,-0.2915426966865427
wrong_lag,rolling_self_reproduction,12,3,7,0,-0.3919030025907741,0.696534270389512,-0.26984025437131254
