semantic_pair,operator,clue_count,strict_count,thin_control_margin_count,median_control_margin,median_clean_horizons,max_original_spread,max_original_tstat
state_or_taxonomy|state_or_taxonomy,SignedRankDelta,1,1,0,0.11701623482725942,3.0,0.0003375051388064,3.1181507684735434
basis_premium_like|basis_premium_like,Identity,2,0,2,0.0005826383276935632,2.0,0.0003714883750779,10.618228196740178
basis_premium_like,Delta,2,0,2,0.0005228819605471724,3.0,0.0007570525176162,23.440599994610075
price_like|price_like,Identity,2,0,2,-0.0033762444945104053,2.5,0.0002739727236391,2.3239409406335865
positioning_like|state_or_taxonomy,Identity,2,0,2,-0.035309090739612525,1.5,0.0012892804033839,8.368158230024012
funding_like|positioning_like,Identity,1,0,1,0.03501390488201117,2.0,0.0013652481756405,3.4726394395690336
funding_like|funding_like,WinsorZ,1,0,1,0.031598330716154366,3.0,0.0018563000938473,3.5932684867623523
basis_premium_like|price_like,Identity,1,0,1,0.0034302068172783473,4.0,0.0002746777773361,2.3060172498027063
price_like|state_or_taxonomy,SpreadShortLong,1,0,1,-7.05125187128175e-08,1.0,0.0004326285932313,2.6750443873758414
basis_premium_like|basis_premium_like,WinsorZ,1,0,1,-0.0034126518470560807,1.0,0.0006052710554738,5.110217248453211
basis_premium_like,CSRank,1,0,1,-0.004154337323003077,1.0,0.0008878047972042,29.494329373462023
basis_premium_like,Identity,1,0,1,-0.004154337323003077,1.0,0.0008878047972042,29.494329373462023
liquidity_like|state_or_taxonomy,SpreadShortLong,1,0,1,-0.012284373792019299,1.0,0.0004306439101126,1.9716987200910367
funding_like|liquidity_like,WinsorZ,1,0,1,-0.01298104325282945,1.0,0.0015323718097072,2.613471589332614
funding_like|state_or_taxonomy,AbsDelta,1,0,1,-0.032709802181173364,1.0,0.0010150337368827,2.172372615557331
liquidity_like|positioning_like,CSRank,1,0,1,-0.0527279776767815,1.0,0.00011671589437,1.2571025129247697
basis_premium_like|liquidity_like,CSRank,1,0,1,-0.1329328061673276,1.0,0.0002102525140473,1.7635364625251124
funding_like|positioning_like,WinsorZ,1,0,1,-0.1811068498775541,1.0,0.0010875085865339,1.7228646925733409
generic_numeric|price_like,Identity,1,0,1,-0.3169243213020989,1.0,0.0002077170971018,1.4336356761568096
price_like|volatility_like,Identity,1,0,1,-0.3300223986185036,1.0,0.000370956386023,2.572525849575972
funding_like|volatility_like,AbsDelta,1,0,1,-0.6269646491522729,1.0,0.0004533884499814,1.4922924553564734
liquidity_like|state_or_taxonomy,WinsorZ,1,0,1,-0.8814819567704573,1.0,8.13583161477525e-05,1.1694653086195057
positioning_like,Delta,1,0,1,-1.1993540146726125,1.0,9.860361484408636e-05,1.206795808238648
funding_like|price_like,WinsorZ,1,0,1,-1.9471855537070466,2.0,0.0002577028790302,1.243633925633977
generic_numeric|volatility_like,AbsDelta,1,0,1,-2.147040118725246,1.0,9.300686788783856e-06,0.1414786964826389
basis_premium_like|positioning_like,WinsorZ,1,0,1,-2.5044416608367808,1.0,0.0001358086614396,1.1360660386433508
generic_numeric|state_or_taxonomy,WinsorZ,1,0,1,-3.076405208882539,1.0,0.0004715746051294,1.1255673198828209
state_or_taxonomy,WinsorZ,1,0,1,-3.076405208882539,1.0,0.0004715746051294,1.1255673198828209
funding_like|state_or_taxonomy,SignedRankDelta,1,0,1,-3.2815667950592964,1.0,0.0001350802769589,0.4708876866490715
funding_like|volatility_like,Delta,1,0,1,-4.731682111506381,1.0,0.000176387352181,1.3924059965418538
positioning_like|positioning_like,CSRank,1,0,1,-15.262302431257357,1.0,7.351489650021532e-05,2.3144128903081818
