derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
TSMean_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSMean,24,True,24,same_symbol,False,False,False
TSStd_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSStd,24,True,24,same_symbol,False,False,False
Delta_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Delta,24,True,24,same_symbol,False,False,False
Decay_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Decay,24,True,24,same_symbol,False,False,False
RollingMin_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMin,24,True,24,same_symbol,False,False,False
RollingMax_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMax,24,True,24,same_symbol,False,False,False
ZScore_24h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,ZScore,24,True,24,same_symbol,False,False,False
TSMean_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSMean,48,True,48,same_symbol,False,False,False
TSStd_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSStd,48,True,48,same_symbol,False,False,False
Delta_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Delta,48,True,48,same_symbol,False,False,False
Decay_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Decay,48,True,48,same_symbol,False,False,False
RollingMin_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMin,48,True,48,same_symbol,False,False,False
RollingMax_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMax,48,True,48,same_symbol,False,False,False
ZScore_48h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,ZScore,48,True,48,same_symbol,False,False,False
TSMean_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSMean,72,True,72,same_symbol,False,False,False
TSStd_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSStd,72,True,72,same_symbol,False,False,False
Delta_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Delta,72,True,72,same_symbol,False,False,False
Decay_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Decay,72,True,72,same_symbol,False,False,False
RollingMin_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMin,72,True,72,same_symbol,False,False,False
RollingMax_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMax,72,True,72,same_symbol,False,False,False
ZScore_72h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,ZScore,72,True,72,same_symbol,False,False,False
TSMean_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSMean,96,True,96,same_symbol,False,False,False
TSStd_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,TSStd,96,True,96,same_symbol,False,False,False
Delta_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Delta,96,True,96,same_symbol,False,False,False
Decay_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,Decay,96,True,96,same_symbol,False,False,False
RollingMin_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMin,96,True,96,same_symbol,False,False,False
RollingMax_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,RollingMax,96,True,96,same_symbol,False,False,False
ZScore_96h__agg_notional,rolling_self_reproduction,agg_notional,activity_liquidity,ZScore,96,True,96,same_symbol,False,False,False
TSMean_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,TSMean,4,True,4,same_symbol,False,False,False
TSStd_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,TSStd,4,True,4,same_symbol,False,False,False
Delta_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,Delta,4,True,4,same_symbol,False,False,False
Decay_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,Decay,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,RollingMin,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,RollingMax,4,True,4,same_symbol,False,False,False
ZScore_4h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,ZScore,4,True,4,same_symbol,False,False,False
TSMean_8h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,TSMean,8,True,8,same_symbol,False,False,False
TSStd_8h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,TSStd,8,True,8,same_symbol,False,False,False
Delta_8h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,Delta,8,True,8,same_symbol,False,False,False
