field_name,source_panel,status
age_percentile_active_universe,latent_state_v1,present
age_x_funding_abs,latent_state_v1,present
age_x_volatility,latent_state_v1,present
execution_time,base_universe498_v2,present
funding_rate,base_universe498_v2,present
funding_rate_abs_168h,latent_state_v1,present
funding_rate_mean_168h,latent_state_v1,present
gap_hours_recent_168h,latent_state_v1,present
global_long_short_account_ratio_last,base_universe498_v2,present
global_long_short_account_ratio_mean,base_universe498_v2,present
history_length_hours,latent_state_v1,present
index_close,base_universe498_v2,present
kline_taker_buy_quote_share,base_universe498_v2,present
listing_age_days,latent_state_v1,present
mark_close,base_universe498_v2,present
mark_index_basis_bps,base_universe498_v2,present
mark_trade_basis_bps,base_universe498_v2,present
open_interest_last,base_universe498_v2,present
open_interest_mean,base_universe498_v2,present
premium_close,base_universe498_v2,present
premium_close_bps,base_universe498_v2,present
realized_vol_168h,latent_state_v1,present
realized_vol_24h,latent_state_v1,present
rolling_coverage_168h,latent_state_v1,present
source_market_funding,base_universe498_v2,present
source_metrics,base_universe498_v2,present
split,latent_state_v1,present
sqrt_listing_age_days,latent_state_v1,present
symbol,key,present
taker_buy_quote_volume,base_universe498_v2,present
taker_buy_sell_volume_ratio_last,base_universe498_v2,present
taker_buy_sell_volume_ratio_mean,base_universe498_v2,present
timestamp,key,present
trade_close,base_universe498_v2,present
trade_count,base_universe498_v2,present
trade_high,base_universe498_v2,present
trade_low,base_universe498_v2,present
trade_open,base_universe498_v2,present
trade_quote_volume,base_universe498_v2,present
trade_return_1h,base_universe498_v2,present
trade_return_24h,latent_state_v1,present
trade_volume,base_universe498_v2,present
