shard_id,candidate_count,candidate_start,candidate_end_exclusive,relative_path,max_runtime_minutes,resume_safe
core51px_shard_00,24,0,24,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_00.csv,90,True
core51px_shard_01,24,24,48,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_01.csv,90,True
core51px_shard_02,24,48,72,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_02.csv,90,True
core51px_shard_03,24,72,96,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_03.csv,90,True
core51px_shard_04,24,96,120,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_04.csv,90,True
core51px_shard_05,24,120,144,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_05.csv,90,True
core51px_shard_06,24,144,168,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_06.csv,90,True
core51px_shard_07,24,168,192,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_07.csv,90,True
core51px_shard_08,24,192,216,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_08.csv,90,True
core51px_shard_09,24,216,240,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_09.csv,90,True
core51px_shard_10,24,240,264,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_10.csv,90,True
core51px_shard_11,24,264,288,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_11.csv,90,True
core51px_shard_12,24,288,312,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_12.csv,90,True
core51px_shard_13,24,312,336,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_13.csv,90,True
core51px_shard_14,24,336,360,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_14.csv,90,True
core51px_shard_15,24,360,384,runtime/a7ffcore51px_company_sharded_replay_runner_contract/candidate_shards/core51px_shard_15.csv,90,True
