source,required_field,required,status
open_interest_hist,event_time,True,required_before_any_future_use
open_interest_hist,observable_time,True,required_before_any_future_use
open_interest_hist,collector_time,True,required_before_any_future_use
open_interest_hist,publication_delay,True,required_before_any_future_use
open_interest_hist,aggregation_lag,True,required_before_any_future_use
open_interest_hist,symbol_mapping,True,required_before_any_future_use
open_interest_hist,missingness_policy,True,required_before_any_future_use
open_interest_hist,restatement_policy,True,required_before_any_future_use
open_interest_hist,forward_only_flag,True,required_before_any_future_use
global_long_short_account_ratio,event_time,True,required_before_any_future_use
global_long_short_account_ratio,observable_time,True,required_before_any_future_use
global_long_short_account_ratio,collector_time,True,required_before_any_future_use
global_long_short_account_ratio,publication_delay,True,required_before_any_future_use
global_long_short_account_ratio,aggregation_lag,True,required_before_any_future_use
global_long_short_account_ratio,symbol_mapping,True,required_before_any_future_use
global_long_short_account_ratio,missingness_policy,True,required_before_any_future_use
global_long_short_account_ratio,restatement_policy,True,required_before_any_future_use
global_long_short_account_ratio,forward_only_flag,True,required_before_any_future_use
top_trader_long_short_position_ratio,event_time,True,required_before_any_future_use
top_trader_long_short_position_ratio,observable_time,True,required_before_any_future_use
top_trader_long_short_position_ratio,collector_time,True,required_before_any_future_use
top_trader_long_short_position_ratio,publication_delay,True,required_before_any_future_use
top_trader_long_short_position_ratio,aggregation_lag,True,required_before_any_future_use
top_trader_long_short_position_ratio,symbol_mapping,True,required_before_any_future_use
top_trader_long_short_position_ratio,missingness_policy,True,required_before_any_future_use
top_trader_long_short_position_ratio,restatement_policy,True,required_before_any_future_use
top_trader_long_short_position_ratio,forward_only_flag,True,required_before_any_future_use
basis_rest,event_time,True,contract_required
basis_rest,observable_time,True,contract_required
basis_rest,collector_time,True,contract_required
basis_rest,publication_delay,True,contract_required
basis_rest,aggregation_lag,True,contract_required
basis_rest,symbol_mapping,True,contract_required
basis_rest,missingness_policy,True,contract_required
basis_rest,restatement_policy,True,contract_required
basis_rest,forward_only_flag,True,contract_required
aggTrades,event_time,True,contract_required
aggTrades,observable_time,True,contract_required
aggTrades,collector_time,True,contract_required
aggTrades,publication_delay,True,contract_required
aggTrades,aggregation_lag,True,contract_required
aggTrades,symbol_mapping,True,contract_required
aggTrades,missingness_policy,True,contract_required
aggTrades,restatement_policy,True,contract_required
aggTrades,forward_only_flag,True,contract_required
orderbook_depth_snapshot,event_time,True,required_before_any_future_use
orderbook_depth_snapshot,observable_time,True,required_before_any_future_use
orderbook_depth_snapshot,collector_time,True,required_before_any_future_use
orderbook_depth_snapshot,publication_delay,True,required_before_any_future_use
orderbook_depth_snapshot,aggregation_lag,True,required_before_any_future_use
orderbook_depth_snapshot,symbol_mapping,True,required_before_any_future_use
orderbook_depth_snapshot,missingness_policy,True,required_before_any_future_use
orderbook_depth_snapshot,restatement_policy,True,required_before_any_future_use
orderbook_depth_snapshot,forward_only_flag,True,required_before_any_future_use
liquidation_events,event_time,True,contract_required
liquidation_events,observable_time,True,contract_required
liquidation_events,collector_time,True,contract_required
liquidation_events,publication_delay,True,contract_required
liquidation_events,aggregation_lag,True,contract_required
liquidation_events,symbol_mapping,True,contract_required
liquidation_events,missingness_policy,True,contract_required
liquidation_events,restatement_policy,True,contract_required
liquidation_events,forward_only_flag,True,contract_required
cross_exchange_basis_funding,event_time,True,contract_required
cross_exchange_basis_funding,observable_time,True,contract_required
cross_exchange_basis_funding,collector_time,True,contract_required
cross_exchange_basis_funding,publication_delay,True,contract_required
cross_exchange_basis_funding,aggregation_lag,True,contract_required
cross_exchange_basis_funding,symbol_mapping,True,contract_required
cross_exchange_basis_funding,missingness_policy,True,contract_required
cross_exchange_basis_funding,restatement_policy,True,contract_required
cross_exchange_basis_funding,forward_only_flag,True,contract_required
