semantic_pair,label_family,rank_label_rows,non_l7_rows,rows,median_control_ratio,median_cost10,rank_to_non_l7_gap
basis_premium_like|price_like,L7_ranked_future_return,172,0,920,2.523304115688399,0.01167966560148705,172
basis_premium_like|volatility_like,L7_ranked_future_return,65,0,668,2.448872663236461,0.014847495084009898,65
basis_premium_like|basis_premium_like,L7_ranked_future_return,49,0,528,2.218850638766212,0.00450116525839455,49
price_like|volatility_like,L7_ranked_future_return,28,0,172,3.304490244962138,0.01745925225963945,28
volatility_like|volatility_like,L7_ranked_future_return,11,0,88,5.512002006493742,0.025732463426569797,11
price_like,L7_ranked_future_return,9,0,12,0.37299453887110795,0.0473043961200091,9
volatility_like,L7_ranked_future_return,6,0,56,2.2848025186887284,0.02909748516164865,6
basis_premium_like,L7_ranked_future_return,1,0,144,4.031441699250292,0.01340025389943005,1
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,0,0,528,7.586772431894577,-0.0019855123211650998,0
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,0,0,528,7.13691188177911,-0.0019979583099085,0
basis_premium_like|basis_premium_like,L0_raw_forward_return,0,0,528,7.092376295502052,-0.0019979583099085,0
basis_premium_like,L5_vol_adjusted_return,0,0,144,4.265533189840141,-0.021392403931791752,0
basis_premium_like,L1_cross_sectional_relative_return,0,0,144,4.351797943757468,-0.00248886717344335,0
basis_premium_like,L3_liquidity_tier_relative_return,0,0,144,4.535392842643372,-0.0022414192716343,0
basis_premium_like,L0_raw_forward_return,0,0,144,4.35179794375747,-0.00248886717344335,0
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,0,0,528,6.192889937659482,-0.0007741516011229,0
price_like,L3_liquidity_tier_relative_return,0,0,12,6.351209581318489,-0.0014817696425855,0
price_like,L1_cross_sectional_relative_return,0,0,12,7.076072908425249,-0.0014557178012354999,0
price_like,L5_vol_adjusted_return,0,0,12,12.087253728060762,0.03607562119928095,0
price_like|volatility_like,L3_liquidity_tier_relative_return,0,0,172,10.319283789263023,-0.0019197545372490999,0
basis_premium_like|volatility_like,L5_vol_adjusted_return,0,0,668,9.179960658421003,-0.0235365245616991,0
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,0,0,668,13.032495677804903,-0.0021115022136266497,0
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,0,0,668,11.871273877311703,-0.0022299639586177,0
price_like,L0_raw_forward_return,0,0,12,7.076072908425249,-0.0014557178012354999,0
volatility_like,L1_cross_sectional_relative_return,0,0,56,8.031007827408725,-0.0022112133303533,0
volatility_like,L0_raw_forward_return,0,0,56,10.299086596829646,-0.0022112133303533,0
volatility_like,L5_vol_adjusted_return,0,0,56,4.604852474341055,-0.06468344242843595,0
volatility_like,L3_liquidity_tier_relative_return,0,0,56,9.225631847463625,-0.00221328732522915,0
volatility_like|volatility_like,L0_raw_forward_return,0,0,88,16.26558962926729,-0.00122995034385695,0
price_like|volatility_like,L5_vol_adjusted_return,0,0,172,6.666890349876572,-0.00475204501435805,0
price_like|volatility_like,L1_cross_sectional_relative_return,0,0,172,9.96589938692211,-0.0018660227109359002,0
price_like|volatility_like,L0_raw_forward_return,0,0,172,9.965899386922114,-0.0018660227109359002,0
volatility_like|volatility_like,L3_liquidity_tier_relative_return,0,0,88,17.419077023748386,-0.0011360985667230499,0
volatility_like|volatility_like,L1_cross_sectional_relative_return,0,0,88,16.265589629267286,-0.00122995034385695,0
volatility_like|volatility_like,L5_vol_adjusted_return,0,0,88,27.929418663676962,0.027051934244478548,0
basis_premium_like|price_like,L0_raw_forward_return,0,1,920,6.2419326136526285,-0.0020025172021976498,-1
basis_premium_like|volatility_like,L0_raw_forward_return,0,1,668,11.784778065813235,-0.0022299639586177,-1
basis_premium_like|price_like,L1_cross_sectional_relative_return,0,1,920,6.4018695889751,-0.0020025172021976498,-1
basis_premium_like|price_like,L3_liquidity_tier_relative_return,0,1,920,7.163776693541304,-0.00200124294600225,-1
basis_premium_like|price_like,L5_vol_adjusted_return,0,2,920,6.704611728683595,-0.00260564658715825,-2
