clue_role,translation_label_family,rows,replay_clues,median_control_ratio,cost20_survivors
basis_premium_vol_adjusted_diagnostic,L0_raw_forward_return,2,0,1.017696703717391,0
basis_premium_vol_adjusted_diagnostic,L1_cross_sectional_relative_return,2,0,1.0176967037173912,0
basis_premium_vol_adjusted_diagnostic,L2_BTC_ETH_beta_residual_return,2,0,0.910875696438884,0
basis_premium_vol_adjusted_diagnostic,L5_vol_adjusted_return,2,2,0.9092812948032825,2
basis_premium_vol_adjusted_diagnostic,L6_downside_avoidance,2,0,1.4009851851730528,0
downside_risk_defense_clue,L0_raw_forward_return,19,0,6.047417633485344,1
downside_risk_defense_clue,L1_cross_sectional_relative_return,19,0,6.047417633485343,1
downside_risk_defense_clue,L2_BTC_ETH_beta_residual_return,19,0,8.307526206555195,0
downside_risk_defense_clue,L5_vol_adjusted_return,19,0,20.15976832245229,9
downside_risk_defense_clue,L6_downside_avoidance,19,19,0.7961293125724718,3
neutralized_vol_adjusted_diagnostic,L0_raw_forward_return,3,0,0.9942623097043365,0
neutralized_vol_adjusted_diagnostic,L1_cross_sectional_relative_return,3,0,0.9942623097043365,0
neutralized_vol_adjusted_diagnostic,L2_BTC_ETH_beta_residual_return,3,0,1.111444424126002,0
neutralized_vol_adjusted_diagnostic,L5_vol_adjusted_return,3,3,0.6245372453023035,3
neutralized_vol_adjusted_diagnostic,L6_downside_avoidance,3,0,1.9612640502834977,0
