semantic_bucket,motif_bucket,generation_mode,candidate_count
liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,245
liquidity_like|volatility_like,liquidity_shock,seed_field_rank_spread,245
liquidity_like|volatility_like,liquidity_shock,seed_field_safe_div,245
liquidity_like|volatility_like,liquidity_shock,seed_field_z_add,238
liquidity_like|volatility_like,liquidity_shock,seed_field_z_spread,238
taker_flow_like|open_interest_like,flow_x_leverage,seed_field_mul_delta,140
taker_flow_like|open_interest_like,flow_x_leverage,seed_field_rank_spread,140
taker_flow_like|open_interest_like,flow_x_leverage,seed_field_z_add,140
taker_flow_like|open_interest_like,flow_x_leverage,seed_field_safe_div,140
taker_flow_like|open_interest_like,flow_x_leverage,seed_field_z_spread,136
open_interest_like,single,seed_field_mul_delta,105
open_interest_like,single,seed_field_rank_spread,105
open_interest_like,single,seed_field_z_add,105
open_interest_like,single,seed_field_safe_div,105
open_interest_like,single,seed_field_z_spread,102
volatility_like,single,seed_field_mul_delta,70
volatility_like,single,seed_field_safe_div,70
liquidity_like,single,seed_field_rank_spread,70
liquidity_like,single,seed_field_safe_div,70
liquidity_like,single,seed_field_z_add,70
liquidity_like,single,seed_field_mul_delta,70
volatility_like,single,seed_field_z_add,70
volatility_like,single,seed_field_rank_spread,70
open_interest_like|positioning_like,delta_x_divergence,seed_field_safe_div,70
open_interest_like|positioning_like,delta_x_divergence,seed_field_rank_spread,70
open_interest_like|positioning_like,delta_x_divergence,seed_field_z_add,70
open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,70
open_interest_like|positioning_like,delta_x_divergence,seed_field_z_spread,68
liquidity_like,single,seed_field_z_spread,68
volatility_like,single,seed_field_z_spread,68
liquidity_like|volatility_like,safe_div_abs,seed_field_safe_div,35
liquidity_like|volatility_like,safe_div_abs,seed_field_mul_delta,35
liquidity_like|volatility_like,safe_div_abs,seed_field_rank_spread,35
liquidity_like|volatility_like,safe_div_abs,seed_field_z_add,35
taker_flow_like,single,seed_field_mul_delta,35
taker_flow_like,single,seed_field_rank_spread,35
taker_flow_like,single,seed_field_safe_div,35
taker_flow_like|basis_premium_like,gated_sign,seed_field_safe_div,35
taker_flow_like,single,seed_field_z_add,35
taker_flow_like|basis_premium_like,gated_sign,seed_field_rank_spread,35
taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,35
taker_flow_like|basis_premium_like,gated_sign,seed_field_z_add,35
liquidity_like|volatility_like,safe_div_abs,seed_field_z_spread,34
taker_flow_like|basis_premium_like,gated_sign,seed_field_z_spread,34
taker_flow_like,single,seed_field_z_spread,34
