parent_candidate_id,candidate_count,semantic_bucket,motif_bucket
a7ffcore5_24de13cbccf306e9bd,174,open_interest_like|positioning_like,delta_x_divergence
a7ffcore5_20349c393fc8912b86,174,taker_flow_like,single
a7ffcore5_1f8c481e4c787863b8,174,liquidity_like|volatility_like,safe_div_abs
a7ffcore5_89d2049d11221f570d,174,volatility_like,single
a7ffcore5_74463938d5563b479a,174,taker_flow_like|open_interest_like,flow_x_leverage
a7ffcore5_6527a26f6a35191da1,174,open_interest_like|positioning_like,delta_x_divergence
a7ffcore5_636578f5c6f8790d3d,174,open_interest_like,single
a7ffcore5_ff02da2fd4f0d8e0e9,174,open_interest_like,single
a7ffcore5_be5c080d95c8a13e44,174,taker_flow_like|open_interest_like,flow_x_leverage
a7ffcore5_d495bcdff277541a9d,174,open_interest_like,single
a7ffcore5_e87b3041b2d66982dc,174,taker_flow_like|open_interest_like,flow_x_leverage
a7ffcore5_9e4293913b29d39f8d,174,liquidity_like,single
a7ffcore5_b4246145a5fe0becc1,174,taker_flow_like|open_interest_like,flow_x_leverage
a7ffcore5_b594b57d1ee90136c4,174,volatility_like,single
a7ffcore5_b9beb4fd43cf7914e2,174,taker_flow_like|basis_premium_like,gated_sign
a7ffcore5_f8f5a7d388d98ddbee,174,liquidity_like,single
a7ffcore5_056264aa1859f3ac7b,173,liquidity_like|volatility_like,liquidity_shock
a7ffcore5_11903004dcea88bab8,173,liquidity_like|volatility_like,liquidity_shock
a7ffcore5_155172eb90a4ffee4e,173,liquidity_like|volatility_like,liquidity_shock
a7ffcore5_55d479db927df299ef,173,liquidity_like|volatility_like,liquidity_shock
a7ffcore5_89d456568ed9db84c6,173,liquidity_like|volatility_like,liquidity_shock
a7ffcore5_e49456a170f19eb240,173,liquidity_like|volatility_like,liquidity_shock
a7ffcore5_f12228440913b31bb1,173,liquidity_like|volatility_like,liquidity_shock
