meme_contract_group,liquidity_tier,search_eligibility,symbols
meme_multiplier_contract,tail,listing_aware,4
meme_multiplier_contract,top100,strict_full_history,2
meme_multiplier_contract,top50,strict_full_history,2
meme_multiplier_contract,top20,strict_full_history,1
meme_multiplier_contract,top200,listing_aware,1
meme_multiplier_contract,top200,strict_full_history,1
meme_plain_contract,tail,listing_aware,18
meme_plain_contract,top200,listing_aware,11
meme_plain_contract,top100,listing_aware,7
meme_plain_contract,top50,listing_aware,3
meme_plain_contract,top20,listing_aware,2
meme_plain_contract,top20,strict_full_history,2
meme_plain_contract,top100,strict_full_history,1
meme_plain_contract,top20,hold_quality_or_short_history,1
non_meme_multiplier_contract,tail,strict_full_history,1
non_meme_multiplier_contract,top200,strict_full_history,1
non_meme_plain_contract,tail,listing_aware,187
non_meme_plain_contract,tail,strict_full_history,78
non_meme_plain_contract,top200,listing_aware,44
non_meme_plain_contract,top200,strict_full_history,41
non_meme_plain_contract,top100,strict_full_history,22
non_meme_plain_contract,top100,listing_aware,18
non_meme_plain_contract,top50,strict_full_history,18
non_meme_plain_contract,top20,strict_full_history,11
non_meme_plain_contract,tail,hold_quality_or_short_history,10
non_meme_plain_contract,top50,listing_aware,7
non_meme_plain_contract,top20,listing_aware,3
non_meme_plain_contract,top200,hold_quality_or_short_history,1
