blueprint_id,financial_principle,chinese_explanation,field_tokens,operator_tokens,operator_depth_proxy,raw_field_count,expression
a7ls15_6b338a109f660b8c,basis/premium dislocation filtered by liquidity or volume state,基差/溢价异常只有在特定流动性状态下更可能有预测意义。 核心标签：basis/premium dislocation；liquidity / volume state；liquidity state,premium_abs_state|trade_volume,Mul|Sub|CSRank|Decay|CSRank|ZScore|Mean|Sign|ZScore|Mean,10,2,"Mul(Sub(CSRank(Decay(premium_abs_state,240)),CSRank(ZScore(Mean(trade_volume,12)))),Sign(ZScore(Mean(trade_volume,12))))"
a7ls15_54ad1703758fd224,basis/premium dislocation conditioned on listing lifecycle,新老币生命周期会改变基差/溢价异常的含义。 核心标签：basis/premium dislocation；listing lifecycle,age_percentile_active_universe|mark_trade_basis_bps,Mul|Sub|CSRank|Delta|CSRank|Delta|Sign|Delta,8,2,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,336)),CSRank(Delta(age_percentile_active_universe,8))),Sign(Delta(age_percentile_active_universe,8)))"
a7ls15_6dde8445b9dc0331,basis/premium dislocation conditioned on listing lifecycle,新老币生命周期会改变基差/溢价异常的含义。 核心标签：basis/premium dislocation；listing lifecycle,age_percentile_active_universe|mark_index_basis_bps,Mul|Delta|Sign|Mean|Delta,5,2,"Mul(Delta(mark_index_basis_bps,2),Sign(Mean(Delta(age_percentile_active_universe,24),24)))"
a7ls15_7355ef8aa37d5217,typed state interaction,多个已知状态变量的类型化交互，需要继续检查增量信息。 核心标签：basis/premium dislocation,mark_index_basis_bps|mark_trade_basis_bps,Mul|Sub|CSRank|Delta|CSRank|TSRank|Sign|TSRank,8,2,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,2)),CSRank(TSRank(mark_index_basis_bps,336))),Sign(TSRank(mark_index_basis_bps,336)))"
a7ls15_42dc6539d51aca8b,basis/premium dislocation versus positioning crowding,基差/溢价偏离与多空持仓拥挤之间的相对状态。 核心标签：basis/premium dislocation；positioning crowding,global_long_short_account_ratio_mean|mark_trade_basis_bps,Mul|CSRank|Abs|ZScore|Mean,5,2,"Mul(CSRank(mark_trade_basis_bps),Abs(ZScore(Mean(global_long_short_account_ratio_mean,120))))"
a7ls15_83b2ec53c58ee01a,basis/premium dislocation conditioned on listing lifecycle,新老币生命周期会改变基差/溢价异常的含义。 核心标签：basis/premium dislocation；listing lifecycle,listing_age_days|mark_index_basis_bps,Mul|ZScore|Mean|Delta,4,2,"Mul(ZScore(Mean(listing_age_days,336)),Delta(mark_index_basis_bps,3))"
a7ls15_6843b56cd44c4d9e,basis/premium dislocation versus short-term price response,基差/溢价状态与短期价格反应的相对错位。 核心标签：basis/premium dislocation；price response,mark_trade_basis_bps|trade_return_1h,Mul|Sub|CSRank|TSRank|CSRank|CSRank|Sign|CSRank,8,2,"Mul(Sub(CSRank(TSRank(mark_trade_basis_bps,96)),CSRank(CSRank(trade_return_1h))),Sign(CSRank(trade_return_1h)))"
a7ls15_982c459fa90224ed,basis/premium dislocation versus positioning crowding,基差/溢价偏离与多空持仓拥挤之间的相对状态。 核心标签：basis/premium dislocation；positioning crowding,mark_index_basis_bps|top_long_short_account_ratio_last,Sub|CSRank|CSRank,3,2,"Sub(CSRank(top_long_short_account_ratio_last),CSRank(mark_index_basis_bps))"
a7ls15_04d0fe57519a6e45,leverage expansion/contraction combined with trader positioning imbalance,杠杆仓位变化和多空拥挤共同刻画拥挤交易状态。 核心标签：leverage / open-interest state；positioning crowding,open_interest_mean|top_long_short_position_ratio_mean,Mean|Mul|Decay|Delta,4,2,"Mean(Mul(Decay(open_interest_mean,16),Delta(top_long_short_position_ratio_mean,4)),4)"
a7ls15_15e77eac9947540d,basis/premium dislocation filtered by liquidity or volume state,基差/溢价异常只有在特定流动性状态下更可能有预测意义。 核心标签：basis/premium dislocation；funding crowding；liquidity / volume state；liquidity state,funding_state_x_basis_delta|median_quote_volume_168h,Mul|Decay|Mean,3,2,"Mul(Decay(funding_state_x_basis_delta,96),Mean(median_quote_volume_168h,96))"
a7ls15_4382d4990e40e198,short-horizon price relative-value / reversal diagnostic,短周期价格相对变化，更多是诊断信号而非独立信息源。 核心标签：price response；price level / price move,index_close|trade_return_1h,Sub|CSRank|Delta|CSRank|CSRank,5,2,"Sub(CSRank(Delta(index_close,1)),CSRank(CSRank(trade_return_1h)))"
a7ls15_78478a819e0cd255,open-interest crowding combined with aggressive taker-flow pressure,持仓扩张叠加主动买卖压力，用来识别杠杆资金流方向。 核心标签：leverage / open-interest state；aggressive taker flow,kline_taker_buy_quote_share|open_interest_value_mean,Mean|Mul|Abs|ZScore|Mean|Abs|ZScore|Mean,8,2,"Mean(Mul(Abs(ZScore(Mean(open_interest_value_mean,120))),Abs(ZScore(Mean(kline_taker_buy_quote_share,96)))),4)"
a7ls15_f93f4cd8598c1688,leverage expansion/contraction combined with trader positioning imbalance,杠杆仓位变化和多空拥挤共同刻画拥挤交易状态。 核心标签：leverage / open-interest state；positioning crowding,open_interest_last|top_long_short_position_ratio_mean,Mul|Decay|Sign|Mean|ZScore|Mean,6,2,"Mul(Decay(open_interest_last,336),Sign(Mean(ZScore(Mean(top_long_short_position_ratio_mean,2)),24)))"
