blueprint_id,shard_id,triage_decision,triage_reason,keep_review_allowed,semantic_pair,motif,label_family,label_horizon_h,score_no_may,control_ratio_premay_max,premay_positive_split_count,premay_all_positive,lag_ok,robust_ok,cost10_recent_oriented,duplicate_cluster_id,cluster_score_rank,skeleton_key,production_key,a7ls_lane,lane_name,search_role,source_stage,source_seed_id,financial_principle,chinese_explanation,field_tokens,operator_tokens,expression
a7ls15_6b338a109f660b8c,s000,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,basis_premium_like|liquidity_like,signed_spread,L5_vol_adjusted_return,24,363.4709848668255,0.6678077210487531,3,True,True,True,0.3561387925878742,cluster_01,1,skel_7ced7a1852c7e2ed,prod_6c5814d1fd766703,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,A7LS-14,,basis/premium dislocation filtered by liquidity or volume state,基差/溢价异常只有在特定流动性状态下更可能有预测意义。 核心标签：basis/premium dislocation；liquidity / volume state；liquidity state,premium_abs_state|trade_volume,Mul|Sub|CSRank|Decay|CSRank|ZScore|Mean|Sign|ZScore|Mean,"Mul(Sub(CSRank(Decay(premium_abs_state,240)),CSRank(ZScore(Mean(trade_volume,12)))),Sign(ZScore(Mean(trade_volume,12))))"
a7ls15_7355ef8aa37d5217,s001,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,basis_premium_like,signed_spread,L5_vol_adjusted_return,8,285.989659979269,0.704647431811402,3,True,True,True,0.2786943074110803,cluster_02,1,skel_d2c2cd29eb5fbfcd,prod_1c0f258c52122d92,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,A7LS-14,,typed state interaction,多个已知状态变量的类型化交互，需要继续检查增量信息。 核心标签：basis/premium dislocation,mark_index_basis_bps|mark_trade_basis_bps,Mul|Sub|CSRank|Delta|CSRank|TSRank|Sign|TSRank,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,2)),CSRank(TSRank(mark_index_basis_bps,336))),Sign(TSRank(mark_index_basis_bps,336)))"
a7ls15_42dc6539d51aca8b,s001,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,basis_premium_like|positioning_like,mul,L5_vol_adjusted_return,8,259.061540772998,0.8968254973927643,3,True,True,True,0.2519583662703907,cluster_04,1,skel_a923757a8885923c,prod_56f253d9831777d4,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,A7LS-14,,basis/premium dislocation versus positioning crowding,基差/溢价偏离与多空持仓拥挤之间的相对状态。 核心标签：basis/premium dislocation；positioning crowding,global_long_short_account_ratio_mean|mark_trade_basis_bps,Mul|CSRank|Abs|ZScore|Mean,"Mul(CSRank(mark_trade_basis_bps),Abs(ZScore(Mean(global_long_short_account_ratio_mean,120))))"
a7ls15_982c459fa90224ed,s002,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,positioning_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,4,173.33262869014513,0.7410211446473306,3,True,True,True,0.1660736498347924,cluster_07,1,skel_293cae94cfd91548,prod_662b51ef54993fa5,A7LS14_C,underrepresented_axis_rescue,coverage_repair,A7LS-14,,basis/premium dislocation versus positioning crowding,基差/溢价偏离与多空持仓拥挤之间的相对状态。 核心标签：basis/premium dislocation；positioning crowding,mark_index_basis_bps|top_long_short_account_ratio_last,Sub|CSRank|CSRank,"Sub(CSRank(top_long_short_account_ratio_last),CSRank(mark_index_basis_bps))"
a7ls15_83b2ec53c58ee01a,s001,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,listing_age_like|basis_premium_like,mul,L5_vol_adjusted_return,24,148.87985873158806,0.8941119031940247,3,True,True,True,0.141773970634782,cluster_05,1,skel_eaa129218e1e1a2f,prod_f9f1ad071c37335d,A7LS14_C,underrepresented_axis_rescue,coverage_repair,A7LS-14,,basis/premium dislocation conditioned on listing lifecycle,新老币生命周期会改变基差/溢价异常的含义。 核心标签：basis/premium dislocation；listing lifecycle,listing_age_days|mark_index_basis_bps,Mul|ZScore|Mean|Delta,"Mul(ZScore(Mean(listing_age_days,336)),Delta(mark_index_basis_bps,3))"
a7ls15_04d0fe57519a6e45,s002,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,open_interest_like|positioning_like,smooth_mul,L5_vol_adjusted_return,4,63.47175687089457,0.6466220440763166,3,True,True,True,0.0561183789149708,cluster_08,1,skel_8a80c8785bbf365b,prod_317e1357169e3845,A7LS14_C,underrepresented_axis_rescue,coverage_repair,A7LS-14,,leverage expansion/contraction combined with trader positioning imbalance,杠杆仓位变化和多空拥挤共同刻画拥挤交易状态。 核心标签：leverage / open-interest state；positioning crowding,open_interest_mean|top_long_short_position_ratio_mean,Mean|Mul|Decay|Delta,"Mean(Mul(Decay(open_interest_mean,16),Delta(top_long_short_position_ratio_mean,4)),4)"
a7ls15_78478a819e0cd255,s002,ALLOW_KEEP_REVIEW,Eligible for strict candidate-factor review; not alpha proof.,True,open_interest_like|taker_flow_like,smooth_mul,L5_vol_adjusted_return,1,28.32544392656356,0.8315603839153245,3,True,True,True,0.0211570043104788,cluster_11,1,skel_2462e8a79b04eae3,prod_472d15972b5bc27a,A7LS14_B,raw_multi_axis_reserved_search,raw_discovery,A7LS-14,,open-interest crowding combined with aggressive taker-flow pressure,持仓扩张叠加主动买卖压力，用来识别杠杆资金流方向。 核心标签：leverage / open-interest state；aggressive taker flow,kline_taker_buy_quote_share|open_interest_value_mean,Mean|Mul|Abs|ZScore|Mean|Abs|ZScore|Mean,"Mean(Mul(Abs(ZScore(Mean(open_interest_value_mean,120))),Abs(ZScore(Mean(kline_taker_buy_quote_share,96)))),4)"
a7ls15_54ad1703758fd224,s000,HOLD_DUPLICATE_CLUSTER_FOLLOWER,Cluster has a stronger representative.,False,basis_premium_like|listing_age_like,signed_spread,L5_vol_adjusted_return,1,174.85472013128438,0.6582502605705914,3,True,True,True,0.1675129703918549,cluster_02,2,skel_d2c2cd29eb5fbfcd,prod_cd2e0f60c613372a,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,A7LS-14,,basis/premium dislocation conditioned on listing lifecycle,新老币生命周期会改变基差/溢价异常的含义。 核心标签：basis/premium dislocation；listing lifecycle,age_percentile_active_universe|mark_trade_basis_bps,Mul|Sub|CSRank|Delta|CSRank|Delta|Sign|Delta,"Mul(Sub(CSRank(Delta(mark_trade_basis_bps,336)),CSRank(Delta(age_percentile_active_universe,8))),Sign(Delta(age_percentile_active_universe,8)))"
a7ls15_6843b56cd44c4d9e,s001,DIAGNOSTIC_ONLY_RANK_LABEL,L7 ranked-return evidence cannot promote by itself.,False,basis_premium_like|price_like,signed_spread,L7_ranked_future_return,8,64.58467813257965,0.1715079733682944,3,True,True,True,0.0577561861059479,cluster_06,1,skel_50fabfec06d9bf09,prod_de47f15962208e1b,A7LS14_A,exploit_a7ls13_multi_label_packet,evidence_exploitation,A7LS-14,,basis/premium dislocation versus short-term price response,基差/溢价状态与短期价格反应的相对错位。 核心标签：basis/premium dislocation；price response,mark_trade_basis_bps|trade_return_1h,Mul|Sub|CSRank|TSRank|CSRank|CSRank|Sign|CSRank,"Mul(Sub(CSRank(TSRank(mark_trade_basis_bps,96)),CSRank(CSRank(trade_return_1h))),Sign(CSRank(trade_return_1h)))"
a7ls15_15e77eac9947540d,s002,DIAGNOSTIC_ONLY_RANK_LABEL,L7 ranked-return evidence cannot promote by itself.,False,funding_state_like|liquidity_like,mul,L7_ranked_future_return,4,34.64383417801776,0.7200861691615081,3,True,True,True,0.0283639203471792,cluster_09,1,skel_8727d93aac220fc6,prod_5310d8a37794e0d0,A7LS14_B,raw_multi_axis_reserved_search,raw_discovery,A7LS-14,,basis/premium dislocation filtered by liquidity or volume state,基差/溢价异常只有在特定流动性状态下更可能有预测意义。 核心标签：basis/premium dislocation；funding crowding；liquidity / volume state；liquidity state,funding_state_x_basis_delta|median_quote_volume_168h,Mul|Decay|Mean,"Mul(Decay(funding_state_x_basis_delta,96),Mean(median_quote_volume_168h,96))"
