primary_transform,secondary_transform,count
winsor_zscore,winsor_zscore,40
winsor_zscore,csrank,35
delta_12h,csrank,34
csrank,csrank,33
csrank,winsor_zscore,31
abs_zscore,winsor_zscore,28
delta_12h,winsor_zscore,28
abs_zscore,csrank,27
delta_12h,abs_zscore,18
delta_12h,level,18
level,csrank,17
csrank,level,17
winsor_zscore,delta_12h,16
level,winsor_zscore,16
csrank,delta_12h,15
winsor_zscore,level,15
csrank,abs_zscore,14
csrank,delta_24h,14
winsor_zscore,abs_zscore,13
winsor_zscore,delta_1h,13
delta_12h,delta_12h,13
delta_12h,delta_1h,12
abs_zscore,delta_24h,12
csrank,sign_delta_24h,11
delta_12h,delta_24h,11
csrank,delta_1h,11
delta_1h,abs_zscore,10
abs_zscore,abs_zscore,10
delta_12h,sign_delta_24h,10
winsor_zscore,sign_delta_24h,10
abs_zscore,delta_12h,10
winsor_zscore,delta_24h,10
delta_1h,winsor_zscore,9
abs_zscore,level,8
level,level,8
level,sign_delta_24h,8
abs_zscore,delta_1h,7
level,delta_24h,7
abs_zscore,sign_delta_24h,7
level,abs_zscore,7
level,delta_1h,7
delta_1h,level,7
csrank,zscore,7
zscore,winsor_zscore,6
abs_zscore,zscore,5
winsor_zscore,zscore,5
delta_24h,level,5
delta_12h,zscore,4
delta_24h,sign_delta_24h,4
delta_1h,sign_delta_24h,4
delta_4h,sign_delta_24h,3
delta_24h,winsor_zscore,3
level,delta_12h,3
abs_zscore,delta_4h,2
delta_1h,csrank,2
delta_12h,delta_4h,2
delta_4h,level,2
level,delta_4h,2
zscore,abs_zscore,2
delta_24h,delta_24h,1
delta_24h,abs_zscore,1
delta_1h,delta_12h,1
abs_zscore,tsrank_24h,1
level,tsrank_24h,1
level,mean_24h,1
delta_4h,abs_zscore,1
level,decay_8h,1
winsor_zscore,delta_4h,1
level,zscore,1
zscore,level,1
zscore,sign_delta_24h,1
