record_id,nominal_commit,stage,manifest_exists,report_exists,decision,generated_at,authorizes_execution,authorizes_contract,selected_count,selected_stress_clean_count,stress_clean_count,blockers,precedence
A7AL-2P2,40620fe,local_oi_price_contract,True,True,PASS_A7AL2P2_LOCAL_OI_PRICE_SEARCH_CONTRACT_READY_FOR_A7AL2Q,2026-05-28T07:27:54Z,True,False,,,,,10
A7AL-2Q,f2f8c3b,company_local_oi_price_execution,True,True,PASS_A7AL2Q_LOCAL_OI_PRICE_CANDIDATES_FOUND_EXECUTION_HOLD,2026-05-28T14:17:23Z,False,False,,,,,20
A7AL-2R,f2f8c3b,company_local_forensic,True,True,PASS_A7AL2R_LOCAL_FORENSIC_CANDIDATES_READY_FOR_A7AL2S_CONTRACT,2026-05-28T14:27:47Z,False,False,,,,,30
A7AL-2S,2d1efd3,company_full_followup_contract,True,True,PASS_A7AL2S_COMPANY_FULL_FOLLOWUP_CONTRACT_READY,2026-05-28T14:40:43Z,False,False,,,,,40
A7AL-2T,c8cb2ae,company_may_stress_attribution,True,True,HOLD_A7AL2T_MAY_STRESS_FAILURE_CONFIRMED_NO_EXPANSION,2026-05-28T14:40:46Z,False,False,,,,all_company_full_candidates_may_sign_flip|all_company_full_candidates_may_control_dominated,50
A7AL-2U,7e34b48,objective_selector_repair_contract,True,True,PASS_A7AL2U_OBJECTIVE_SELECTOR_REPAIR_CONTRACT_READY,2026-05-28T14:42:42Z,False,True,,,,,60
A7AR-7,52b6e46,shared_candidate_pool,True,True,PASS_A7AR7_SHARED_CANDIDATE_POOL_READY_FOR_A7AL2V,2026-05-28T14:58:46Z,False,True,,,,,70
A7AL-2V,52b6e46,replay_aware_selector_dryrun,True,True,HOLD_A7AL2V_SELECTED_POOL_STRESS_VETO_NO_EXPANSION,2026-05-28T14:59:47Z,False,False,4,0,,selected_pool_may_stress_veto,80
A7AR-8,55f40b9,signal_vector_cluster_registry,True,True,HOLD_A7AR8_SELECTED_QUEUE_STRESS_VETO_NO_EXPANSION,2026-05-28T15:10:04Z,False,False,4,0,,selected_queue_pairwise_corr_high|selected_queue_may_stress_veto,90
A7AL-2W,9394520,signal_vector_selector_repair,True,True,HOLD_A7AL2W_SELECTOR_DIVERSITY_REPAIRED_BUT_STRESS_VETO,2026-05-28T15:23:36Z,False,True,2,0,,selected_queue_may_stress_veto,100
