field_family,transform,label_family,near_miss_count,median_control_ratio,median_positive_splits
price_return,delta_1h,L5_vol_adjusted_return,3,1.1245348171939284,3.0
open_interest,level,L0_raw_forward_return,2,1.1691119523477087,3.0
open_interest,level,L3_liquidity_tier_relative_return,2,1.2389718810543038,3.0
open_interest,level,L1_cross_sectional_relative_return,2,1.1691119523477087,3.0
price_return,tsrank_168h,L1_cross_sectional_relative_return,2,1.3339544223123716,3.0
price_return,delta_24h,L3_liquidity_tier_relative_return,2,1.3279734785669481,3.0
price_return,level,L5_vol_adjusted_return,2,1.1870709504662358,3.0
price_return,tsrank_168h,L0_raw_forward_return,2,1.3339544223123716,3.0
price_return,tsrank_168h,L3_liquidity_tier_relative_return,2,1.1876101508579004,3.0
positioning,spread_short_long,L0_raw_forward_return,1,1.2877768256156965,3.0
price_return,delta_1h,L3_liquidity_tier_relative_return,1,1.1666995585564248,3.0
positioning,spread_short_long,L1_cross_sectional_relative_return,1,1.2877768256156965,3.0
price_return,delta_24h,L1_cross_sectional_relative_return,1,1.4372383372077375,3.0
price_return,delta_24h,L5_vol_adjusted_return,1,1.3963966988803675,3.0
price_return,level,L1_cross_sectional_relative_return,1,1.3414301496264804,3.0
price_return,level,L0_raw_forward_return,1,1.3414301496264804,3.0
price_return,level,L3_liquidity_tier_relative_return,1,1.149176774911525,3.0
price_return,delta_1h,L1_cross_sectional_relative_return,1,1.0995705161179872,3.0
price_return,delta_24h,L0_raw_forward_return,1,1.4372383372077375,3.0
price_return,delta_1h,L0_raw_forward_return,1,1.0995705161179872,3.0
price_return,shock_24h,L3_liquidity_tier_relative_return,1,1.4568033893433712,3.0
price_return,shock_24h,L1_cross_sectional_relative_return,1,1.4149069807612098,3.0
price_return,shock_24h,L0_raw_forward_return,1,1.4149069807612098,3.0
price_return,shock_24h,L5_vol_adjusted_return,1,1.0502195797055185,3.0
price_return,tsrank_168h,L5_vol_adjusted_return,1,1.3529013710801567,3.0
price_return,tsrank_72h,L0_raw_forward_return,1,1.364666490653689,3.0
price_return,tsrank_72h,L1_cross_sectional_relative_return,1,1.3646664906536885,3.0
price_return,tsrank_72h,L3_liquidity_tier_relative_return,1,1.081801786520773,3.0
price_return,tsrank_72h,L5_vol_adjusted_return,1,1.392988926423502,3.0
price_return,zscore_168h,L0_raw_forward_return,1,1.3964085673436046,3.0
price_return,zscore_168h,L1_cross_sectional_relative_return,1,1.3964085673436046,3.0
price_return,zscore_168h,L3_liquidity_tier_relative_return,1,1.144352881621503,3.0
price_return,zscore_72h,L0_raw_forward_return,1,1.134993880390608,3.0
price_return,zscore_72h,L1_cross_sectional_relative_return,1,1.134993880390608,3.0
price_return,zscore_72h,L5_vol_adjusted_return,1,1.1254461778225164,3.0
taker_flow,level,L3_liquidity_tier_relative_return,1,1.250607943453831,3.0
