semantic_pair,best_label_family,row_count
basis_premium_like|price_like,L5_vol_adjusted_return,24
basis_premium_like|volatility_like,L5_vol_adjusted_return,19
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,15
price_like|volatility_like,L5_vol_adjusted_return,7
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,6
basis_premium_like,L5_vol_adjusted_return,5
basis_premium_like|price_like,L0_raw_forward_return,5
price_like,L5_vol_adjusted_return,5
basis_premium_like|price_like,L3_liquidity_tier_relative_return,5
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,4
basis_premium_like|positioning_like,L5_vol_adjusted_return,4
basis_premium_like|price_like,L1_cross_sectional_relative_return,4
basis_premium_like,L3_liquidity_tier_relative_return,3
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,3
basis_premium_like|basis_premium_like,L0_raw_forward_return,2
liquidity_like|volatility_like,L3_liquidity_tier_relative_return,2
price_like|volatility_like,L1_cross_sectional_relative_return,2
basis_premium_like|volatility_like,L0_raw_forward_return,1
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,1
price_like,L3_liquidity_tier_relative_return,1
price_like|volatility_like,L0_raw_forward_return,1
volatility_like,L1_cross_sectional_relative_return,1
