selected_overlap,semantic_pair,row_count
False,basis_premium_like|price_like,25
False,basis_premium_like|volatility_like,16
False,basis_premium_like|basis_premium_like,15
True,basis_premium_like|price_like,13
True,basis_premium_like|volatility_like,11
True,basis_premium_like|basis_premium_like,9
False,basis_premium_like,7
False,price_like,5
False,price_like|volatility_like,5
True,price_like|volatility_like,5
True,basis_premium_like|positioning_like,4
False,liquidity_like|volatility_like,2
True,basis_premium_like,1
False,volatility_like,1
True,price_like,1
