symbol,rows,timestamp_min,timestamp_max,duplicate_keys,missing_hours_vs_panel_range
AAVEUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ADAUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ALGOUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
APTUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ARBUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ARUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ATOMUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
AVAXUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
BCHUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
BNBUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
BTCUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
DOGEUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
DOTUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ETCUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ETHUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
FILUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
GALAUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
HBARUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ICPUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
IMXUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
INJUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
JTOUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
LINKUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
LTCUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
MANAUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
NEARUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
OPUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
ORDIUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
SANDUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
SEIUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
SOLUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
STXUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
SUIUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
TIAUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
TRXUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
UNIUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
WLDUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
XLMUSDT,20896,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,33
XRPUSDT,20919,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,0,10
