symbol,checksum_files_2024_01_2026_04,has_all_2024_01_to_2026_04,extra_months,missing_months
ADAUSDT,28,True,,
AVAXUSDT,28,True,,
BCHUSDT,28,True,,
BNBUSDT,28,True,,
BTCUSDT,5,False,,2024-03;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-02;2026-03;2026-04
DOGEUSDT,28,True,,
ETHUSDT,6,False,,2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04
LINKUSDT,28,True,,
LTCUSDT,28,True,,
SOLUSDT,5,False,,2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04
SUIUSDT,28,True,,
XRPUSDT,28,True,,
