symbol,is_core12,rows,agg_available_rows,agg_coverage,agg_first_timestamp,agg_last_timestamp,may_2026_agg_rows
ADAUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
AVAXUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
BCHUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
BNBUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
BTCUSDT,True,20919,20894,0.998804914192839,2024-01-01 00:00:00+00:00,2026-05-20 23:00:00+00:00,480
DOGEUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
ETHUSDT,True,20919,20894,0.998804914192839,2024-01-01 00:00:00+00:00,2026-05-20 23:00:00+00:00,480
LINKUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
LTCUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
SOLUSDT,True,20919,20894,0.998804914192839,2024-01-01 00:00:00+00:00,2026-05-20 23:00:00+00:00,480
SUIUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
XRPUSDT,True,20919,20414,0.9758592666953487,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0
AAVEUSDT,False,20919,0,0.0,,,0
ALGOUSDT,False,20919,0,0.0,,,0
APTUSDT,False,20919,0,0.0,,,0
ARBUSDT,False,20919,0,0.0,,,0
ARUSDT,False,20919,0,0.0,,,0
ATOMUSDT,False,20919,0,0.0,,,0
DOTUSDT,False,20919,0,0.0,,,0
ETCUSDT,False,20919,0,0.0,,,0
FILUSDT,False,20919,0,0.0,,,0
GALAUSDT,False,20919,0,0.0,,,0
HBARUSDT,False,20919,0,0.0,,,0
ICPUSDT,False,20919,0,0.0,,,0
IMXUSDT,False,20919,0,0.0,,,0
INJUSDT,False,20919,0,0.0,,,0
JTOUSDT,False,20919,0,0.0,,,0
MANAUSDT,False,20919,0,0.0,,,0
NEARUSDT,False,20919,0,0.0,,,0
OPUSDT,False,20919,0,0.0,,,0
ORDIUSDT,False,20919,0,0.0,,,0
SANDUSDT,False,20919,0,0.0,,,0
SEIUSDT,False,20919,0,0.0,,,0
STXUSDT,False,20919,0,0.0,,,0
TIAUSDT,False,20919,0,0.0,,,0
TRXUSDT,False,20919,0,0.0,,,0
UNIUSDT,False,20919,0,0.0,,,0
WLDUSDT,False,20919,0,0.0,,,0
XLMUSDT,False,20896,0,0.0,,,0
