label_family,label_horizon_h,decision,row_count
L3_liquidity_relative,4,HOLD_CORE56_PREMAY_UNSTABLE,114
L3_liquidity_relative,8,HOLD_CORE56_PREMAY_UNSTABLE,114
L3_liquidity_relative,24,HOLD_CORE56_PREMAY_UNSTABLE,114
L3_liquidity_relative,1,HOLD_CORE56_PREMAY_UNSTABLE,114
L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED,97
L1_xs,1,HOLD_CORE56_CONTROL_DOMINATED,87
L0_raw,1,HOLD_CORE56_CONTROL_DOMINATED,87
L1_xs,24,HOLD_CORE56_PREMAY_UNSTABLE,87
L0_raw,24,HOLD_CORE56_PREMAY_UNSTABLE,87
L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE,86
L5_vol_adjusted,8,HOLD_CORE56_PREMAY_UNSTABLE,72
L0_raw,8,HOLD_CORE56_PREMAY_UNSTABLE,72
L1_xs,8,HOLD_CORE56_PREMAY_UNSTABLE,72
L1_xs,4,HOLD_CORE56_PREMAY_UNSTABLE,68
L0_raw,4,HOLD_CORE56_PREMAY_UNSTABLE,68
L5_vol_adjusted,4,HOLD_CORE56_CONTROL_DOMINATED,58
L5_vol_adjusted,4,HOLD_CORE56_PREMAY_UNSTABLE,55
L0_raw,4,HOLD_CORE56_CONTROL_DOMINATED,43
L1_xs,4,HOLD_CORE56_CONTROL_DOMINATED,43
L5_vol_adjusted,8,HOLD_CORE56_CONTROL_DOMINATED,41
L1_xs,8,HOLD_CORE56_CONTROL_DOMINATED,38
L0_raw,8,HOLD_CORE56_CONTROL_DOMINATED,38
L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED,28
L0_raw,1,HOLD_CORE56_PREMAY_UNSTABLE,27
L1_xs,1,HOLD_CORE56_PREMAY_UNSTABLE,27
L1_xs,24,HOLD_CORE56_CONTROL_DOMINATED,26
L0_raw,24,HOLD_CORE56_CONTROL_DOMINATED,26
L5_vol_adjusted,1,HOLD_CORE56_PREMAY_UNSTABLE,12
L5_vol_adjusted,1,HOLD_CORE56_STALE_LAG_FRAGILE,5
L0_raw,8,HOLD_CORE56_COST5_FRAGILE,3
L0_raw,4,HOLD_CORE56_COST5_FRAGILE,3
L1_xs,4,HOLD_CORE56_COST5_FRAGILE,3
L1_xs,8,HOLD_CORE56_COST5_FRAGILE,3
L0_raw,24,HOLD_CORE56_COST5_FRAGILE,1
L0_raw,8,HOLD_CORE56_STALE_LAG_FRAGILE,1
L1_xs,24,HOLD_CORE56_COST5_FRAGILE,1
L1_xs,8,HOLD_CORE56_STALE_LAG_FRAGILE,1
L5_vol_adjusted,4,HOLD_CORE56_STALE_LAG_FRAGILE,1
L5_vol_adjusted,8,HOLD_CORE56_STALE_LAG_FRAGILE,1
