blueprint_id,semantic_pair,motif,replay_rows,clean_rows,label_family_count,median_control_ratio,max_recent_spread
a7ff24r_09dc2d7e51641cb0,basis_premium_like|basis_premium_like,sub,16,0,4,1.0,0.2917690857451862
a7ff24r_2fff7c49f91def0b,basis_premium_like|basis_premium_like,spread_rank,16,0,4,2.0467489539810466,0.2837573929711332
a7ff24r_038ab74762617034,basis_premium_like|basis_premium_like,mul,16,0,4,2.2048101095458783,0.1940201605225453
a7ff24r_8d906801b8dec4c0,basis_premium_like|basis_premium_like,mul,16,0,4,3.072867205097332,0.1888735758735223
a7ff24r_1bf5a62b347b3926,basis_premium_like|price_like,spread_rank,16,0,4,1.806841832727955,0.1250696178060069
a7ff24r_1e19db32c95dfcc4,basis_premium_like|positioning_like,smooth_mul,16,0,4,1.0,0.11764335979560525
a7ff24r_16601b09f488fcdc,basis_premium_like|basis_premium_like,spread_rank,16,0,4,1.0050351674046496,0.09856273988694798
a7ff24r_2353c3ae1292b858,basis_premium_like|basis_premium_like,spread_rank,16,0,4,1.0050351674046496,0.09856273988694798
a7ff24r_146a079f1808397b,basis_premium_like|positioning_like,safe_div_abs,16,0,4,1.3039080946001844,0.09794446422241161
a7ff24r_75f3e9364180854b,price_like|volatility_like,mul,16,0,4,1.285164138118461,0.09195357831582947
a7ff24r_029eac5b325dde0b,basis_premium_like|basis_premium_like,spread_rank,16,0,4,1.0093649434832948,0.08745671047996965
a7ff24r_0d2e211c74b8ab69,price_like|volatility_like,mul,16,0,4,1.2726960982584379,0.08722775663291689
a7ff24r_6c1047e92aac3e0c,basis_premium_like|price_like,gated_sign,16,0,4,3.851580742181125,0.08622781624926137
a7ff24r_6b86864574e34096,price_like|volatility_like,mul,16,0,4,1.2159691132472137,0.08516574433403892
a7ff24r_5addd614de29d1e7,basis_premium_like|basis_premium_like,spread_rank,16,0,4,1.0034156424993832,0.08063513106852277
a7ff24r_75bc40a3fbfa994d,basis_premium_like|basis_premium_like,spread_rank,16,0,4,1.0034156424993832,0.08063513106852277
a7ff24r_8bf0eefef7542ccd,basis_premium_like,single,16,0,4,1.0,0.07947175814686508
