seed_id_left,seed_id_right,field_jaccard,same_input_type_key,same_skeleton,left_semantic_pair,right_semantic_pair,left_operator,right_operator
a7ffcore48se_0001,a7ffcore48se_0545,1.0,True,False,basis_premium_like,basis_premium_like,CSRank,Delta
a7ffcore48se_0001,a7ffcore48se_1355,1.0,True,False,basis_premium_like,basis_premium_like,CSRank,Identity
a7ffcore48se_0001,a7ffcore48se_0274,1.0,True,False,basis_premium_like,basis_premium_like,CSRank,Delta
a7ffcore48se_0545,a7ffcore48se_1355,1.0,True,False,basis_premium_like,basis_premium_like,Delta,Identity
a7ffcore48se_0545,a7ffcore48se_0274,1.0,True,False,basis_premium_like,basis_premium_like,Delta,Delta
a7ffcore48se_1355,a7ffcore48se_0274,1.0,True,False,basis_premium_like,basis_premium_like,Identity,Delta
a7ffcore48se_0010,a7ffcore48se_0824,1.0,True,False,basis_premium_like|basis_premium_like,basis_premium_like|basis_premium_like,Identity,Identity
a7ffcore48se_0010,a7ffcore48se_0013,1.0,True,False,basis_premium_like|basis_premium_like,basis_premium_like|basis_premium_like,Identity,WinsorZ
a7ffcore48se_0824,a7ffcore48se_0013,1.0,True,False,basis_premium_like|basis_premium_like,basis_premium_like|basis_premium_like,Identity,WinsorZ
a7ffcore48se_1446,a7ffcore48se_1704,1.0,True,False,funding_like|positioning_like,funding_like|positioning_like,Identity,WinsorZ
a7ffcore48se_1188,a7ffcore48se_0381,1.0,True,False,funding_like|state_or_taxonomy,funding_like|state_or_taxonomy,AbsDelta,SignedRankDelta
a7ffcore48se_0001,a7ffcore48se_0029,0.5,False,False,basis_premium_like,basis_premium_like|liquidity_like,CSRank,CSRank
a7ffcore48se_0545,a7ffcore48se_0029,0.5,False,False,basis_premium_like,basis_premium_like|liquidity_like,Delta,CSRank
a7ffcore48se_1355,a7ffcore48se_0029,0.5,False,False,basis_premium_like,basis_premium_like|liquidity_like,Identity,CSRank
a7ffcore48se_0029,a7ffcore48se_0274,0.5,False,False,basis_premium_like|liquidity_like,basis_premium_like,CSRank,Delta
a7ffcore48se_0681,a7ffcore48se_0785,0.5,False,False,generic_numeric|state_or_taxonomy,state_or_taxonomy,WinsorZ,WinsorZ
a7ffcore48se_1509,a7ffcore48se_0785,0.5,False,False,liquidity_like|state_or_taxonomy,state_or_taxonomy,SpreadShortLong,WinsorZ
a7ffcore48se_1249,a7ffcore48se_0785,0.5,False,False,liquidity_like|state_or_taxonomy,state_or_taxonomy,WinsorZ,WinsorZ
a7ffcore48se_0740,a7ffcore48se_0785,0.5,False,False,positioning_like|state_or_taxonomy,state_or_taxonomy,Identity,WinsorZ
a7ffcore48se_1540,a7ffcore48se_0785,0.5,False,False,positioning_like|state_or_taxonomy,state_or_taxonomy,Identity,WinsorZ
a7ffcore48se_0785,a7ffcore48se_0248,0.5,False,False,state_or_taxonomy,state_or_taxonomy|state_or_taxonomy,WinsorZ,SignedRankDelta
a7ffcore48se_1397,a7ffcore48se_0219,0.3333333333333333,True,True,basis_premium_like|price_like,price_like|price_like,Identity,Identity
a7ffcore48se_0671,a7ffcore48se_0775,0.3333333333333333,True,True,generic_numeric|price_like,price_like|volatility_like,Identity,Identity
a7ffcore48se_0219,a7ffcore48se_1557,0.3333333333333333,True,True,price_like|price_like,price_like|price_like,Identity,Identity
a7ffcore48se_0090,a7ffcore48se_1188,0.3333333333333333,True,False,funding_like|liquidity_like,funding_like|state_or_taxonomy,WinsorZ,AbsDelta
a7ffcore48se_0090,a7ffcore48se_0381,0.3333333333333333,True,False,funding_like|liquidity_like,funding_like|state_or_taxonomy,WinsorZ,SignedRankDelta
a7ffcore48se_0671,a7ffcore48se_0682,0.3333333333333333,True,False,generic_numeric|price_like,generic_numeric|volatility_like,Identity,AbsDelta
a7ffcore48se_0671,a7ffcore48se_0219,0.3333333333333333,True,False,generic_numeric|price_like,price_like|price_like,Identity,Identity
a7ffcore48se_0671,a7ffcore48se_1557,0.3333333333333333,True,False,generic_numeric|price_like,price_like|price_like,Identity,Identity
a7ffcore48se_0682,a7ffcore48se_0775,0.3333333333333333,True,False,generic_numeric|volatility_like,price_like|volatility_like,AbsDelta,Identity
a7ffcore48se_1509,a7ffcore48se_1249,0.3333333333333333,True,False,liquidity_like|state_or_taxonomy,liquidity_like|state_or_taxonomy,SpreadShortLong,WinsorZ
a7ffcore48se_1509,a7ffcore48se_0248,0.3333333333333333,True,False,liquidity_like|state_or_taxonomy,state_or_taxonomy|state_or_taxonomy,SpreadShortLong,SignedRankDelta
a7ffcore48se_1249,a7ffcore48se_0248,0.3333333333333333,True,False,liquidity_like|state_or_taxonomy,state_or_taxonomy|state_or_taxonomy,WinsorZ,SignedRankDelta
a7ffcore48se_0740,a7ffcore48se_1540,0.3333333333333333,True,False,positioning_like|state_or_taxonomy,positioning_like|state_or_taxonomy,Identity,Identity
a7ffcore48se_0219,a7ffcore48se_0775,0.3333333333333333,True,False,price_like|price_like,price_like|volatility_like,Identity,Identity
a7ffcore48se_1557,a7ffcore48se_0775,0.3333333333333333,True,False,price_like|price_like,price_like|volatility_like,Identity,Identity
a7ffcore48se_0013,a7ffcore48se_1393,0.3333333333333333,False,True,basis_premium_like|basis_premium_like,basis_premium_like|positioning_like,WinsorZ,WinsorZ
a7ffcore48se_0029,a7ffcore48se_0147,0.3333333333333333,False,True,basis_premium_like|liquidity_like,liquidity_like|positioning_like,CSRank,CSRank
a7ffcore48se_1446,a7ffcore48se_1540,0.3333333333333333,False,True,funding_like|positioning_like,positioning_like|state_or_taxonomy,Identity,Identity
a7ffcore48se_1188,a7ffcore48se_1195,0.3333333333333333,False,True,funding_like|state_or_taxonomy,funding_like|volatility_like,AbsDelta,AbsDelta
a7ffcore48se_0147,a7ffcore48se_0182,0.3333333333333333,False,True,liquidity_like|positioning_like,positioning_like|positioning_like,CSRank,CSRank
a7ffcore48se_1397,a7ffcore48se_1557,0.0,True,True,basis_premium_like|price_like,price_like|price_like,Identity,Identity
a7ffcore48se_1397,a7ffcore48se_0671,0.0,True,False,basis_premium_like|price_like,generic_numeric|price_like,Identity,Identity
a7ffcore48se_1397,a7ffcore48se_0682,0.0,True,False,basis_premium_like|price_like,generic_numeric|volatility_like,Identity,AbsDelta
a7ffcore48se_1397,a7ffcore48se_0775,0.0,True,False,basis_premium_like|price_like,price_like|volatility_like,Identity,Identity
a7ffcore48se_1195,a7ffcore48se_1466,0.0,True,False,funding_like|volatility_like,funding_like|volatility_like,AbsDelta,Delta
a7ffcore48se_0682,a7ffcore48se_0219,0.0,True,False,generic_numeric|volatility_like,price_like|price_like,AbsDelta,Identity
a7ffcore48se_0682,a7ffcore48se_1557,0.0,True,False,generic_numeric|volatility_like,price_like|price_like,AbsDelta,Identity
a7ffcore48se_0010,a7ffcore48se_1397,0.0,False,True,basis_premium_like|basis_premium_like,basis_premium_like|price_like,Identity,Identity
a7ffcore48se_0010,a7ffcore48se_1446,0.0,False,True,basis_premium_like|basis_premium_like,funding_like|positioning_like,Identity,Identity
a7ffcore48se_0010,a7ffcore48se_1540,0.0,False,True,basis_premium_like|basis_premium_like,positioning_like|state_or_taxonomy,Identity,Identity
a7ffcore48se_0010,a7ffcore48se_0219,0.0,False,True,basis_premium_like|basis_premium_like,price_like|price_like,Identity,Identity
a7ffcore48se_0010,a7ffcore48se_1557,0.0,False,True,basis_premium_like|basis_premium_like,price_like|price_like,Identity,Identity
a7ffcore48se_0013,a7ffcore48se_0090,0.0,False,True,basis_premium_like|basis_premium_like,funding_like|liquidity_like,WinsorZ,WinsorZ
a7ffcore48se_0013,a7ffcore48se_1456,0.0,False,True,basis_premium_like|basis_premium_like,funding_like|price_like,WinsorZ,WinsorZ
a7ffcore48se_0029,a7ffcore48se_0182,0.0,False,True,basis_premium_like|liquidity_like,positioning_like|positioning_like,CSRank,CSRank
a7ffcore48se_1393,a7ffcore48se_0090,0.0,False,True,basis_premium_like|positioning_like,funding_like|liquidity_like,WinsorZ,WinsorZ
a7ffcore48se_1393,a7ffcore48se_1456,0.0,False,True,basis_premium_like|positioning_like,funding_like|price_like,WinsorZ,WinsorZ
a7ffcore48se_1397,a7ffcore48se_1446,0.0,False,True,basis_premium_like|price_like,funding_like|positioning_like,Identity,Identity
a7ffcore48se_1397,a7ffcore48se_1540,0.0,False,True,basis_premium_like|price_like,positioning_like|state_or_taxonomy,Identity,Identity
a7ffcore48se_1159,a7ffcore48se_1249,0.0,False,True,funding_like|funding_like,liquidity_like|state_or_taxonomy,WinsorZ,WinsorZ
a7ffcore48se_0090,a7ffcore48se_1456,0.0,False,True,funding_like|liquidity_like,funding_like|price_like,WinsorZ,WinsorZ
a7ffcore48se_1446,a7ffcore48se_0219,0.0,False,True,funding_like|positioning_like,price_like|price_like,Identity,Identity
a7ffcore48se_1446,a7ffcore48se_1557,0.0,False,True,funding_like|positioning_like,price_like|price_like,Identity,Identity
a7ffcore48se_0671,a7ffcore48se_0740,0.0,False,True,generic_numeric|price_like,positioning_like|state_or_taxonomy,Identity,Identity
a7ffcore48se_1509,a7ffcore48se_1566,0.0,False,True,liquidity_like|state_or_taxonomy,price_like|state_or_taxonomy,SpreadShortLong,SpreadShortLong
a7ffcore48se_0740,a7ffcore48se_0775,0.0,False,True,positioning_like|state_or_taxonomy,price_like|volatility_like,Identity,Identity
a7ffcore48se_1540,a7ffcore48se_0219,0.0,False,True,positioning_like|state_or_taxonomy,price_like|price_like,Identity,Identity
a7ffcore48se_1540,a7ffcore48se_1557,0.0,False,True,positioning_like|state_or_taxonomy,price_like|price_like,Identity,Identity
