field,candidate_count,field_type,candidate_share
funding_rate,60,funding_like,0.15625
global_long_short_account_ratio_last,58,positioning_like,0.15104166666666666
trade_close,53,price_like,0.13802083333333334
kline_taker_buy_quote_share,47,liquidity_like,0.12239583333333333
index_close,44,price_like,0.11458333333333333
trade_return_1h,41,price_like,0.10677083333333333
trade_high,34,price_like,0.08854166666666667
taker_buy_quote_volume,31,liquidity_like,0.08072916666666667
realized_vol_24h,30,volatility_like,0.078125
realized_vol_168h,27,volatility_like,0.0703125
mark_trade_basis_bps,25,basis_premium_like,0.06510416666666667
trade_open,24,price_like,0.0625
age_percentile_active_universe,22,state_or_taxonomy,0.057291666666666664
funding_rate_abs_168h,22,funding_like,0.057291666666666664
age_x_volatility,21,volatility_like,0.0546875
listing_age_days,19,state_or_taxonomy,0.049479166666666664
global_long_short_account_ratio_mean,17,positioning_like,0.044270833333333336
history_length_hours,13,generic_numeric,0.033854166666666664
taker_buy_sell_volume_ratio_last,13,liquidity_like,0.033854166666666664
mark_index_basis_bps,12,basis_premium_like,0.03125
trade_quote_volume,11,liquidity_like,0.028645833333333332
mark_close,10,price_like,0.026041666666666668
trade_count,10,liquidity_like,0.026041666666666668
age_x_funding_abs,8,funding_like,0.020833333333333332
trade_return_24h,8,price_like,0.020833333333333332
open_interest_mean,6,positioning_like,0.015625
open_interest_last,5,positioning_like,0.013020833333333334
execution_time,4,generic_numeric,0.010416666666666666
premium_close_bps,4,basis_premium_like,0.010416666666666666
source_metrics,3,state_or_taxonomy,0.0078125
trade_low,3,price_like,0.0078125
premium_close,2,basis_premium_like,0.005208333333333333
source_market_funding,2,funding_like,0.005208333333333333
taker_buy_sell_volume_ratio_mean,2,liquidity_like,0.005208333333333333
funding_rate_mean_168h,1,funding_like,0.0026041666666666665
gap_hours_recent_168h,1,liquidity_like,0.0026041666666666665
rolling_coverage_168h,1,liquidity_like,0.0026041666666666665
sqrt_listing_age_days,1,state_or_taxonomy,0.0026041666666666665
trade_volume,1,liquidity_like,0.0026041666666666665
