input_field_key,candidate_count,diagnostic_clue_count,strict_clue_count,median_control_ratio,median_clean_label_count,example_expression
trade_close|trade_open,11,1,0,1.316924321302099,0.0,"Mul(Abs(Delta(trade_close,24)),Sign(Delta(trade_open,24)))"
trade_high|trade_open,10,1,0,1.3536475516531046,0.0,"Mul(Abs(Delta(trade_high,24)),Sign(Delta(trade_open,24)))"
index_close|mark_index_basis_bps,9,3,0,1.003412651847056,0.0,"Mul(Abs(Delta(index_close,4)),Sign(Delta(mark_index_basis_bps,4)))"
funding_rate|funding_rate_abs_168h,9,1,0,1.3926019672798562,0.0,"Mul(Abs(Delta(funding_rate,168)),Sign(Delta(funding_rate_abs_168h,168)))"
funding_rate|taker_buy_quote_volume,9,1,0,1.7945947744708048,0.0,"Mul(Abs(Delta(funding_rate,168)),Sign(Delta(taker_buy_quote_volume,168)))"
global_long_short_account_ratio_last|global_long_short_account_ratio_mean,9,1,0,1.1268994156848495,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,8)),Sign(Delta(global_long_short_account_ratio_mean,8)))"
trade_close|trade_high,9,1,0,1.231673692229928,0.0,"Mul(Abs(Delta(trade_close,24)),Sign(Delta(trade_high,24)))"
global_long_short_account_ratio_last|history_length_hours,7,0,0,1.0065433369183534,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,8)),Sign(Delta(history_length_hours,8)))"
index_close|realized_vol_24h,7,0,0,1.699249228210812,0.0,"Mul(Abs(Delta(index_close,8)),Sign(Delta(realized_vol_24h,8)))"
kline_taker_buy_quote_share,7,0,0,1.0,0.0,"Abs(Delta(kline_taker_buy_quote_share,4))"
funding_rate|kline_taker_buy_quote_share,6,2,0,2.5944745363778026,0.0,"Mul(Abs(Delta(funding_rate,168)),Sign(Delta(kline_taker_buy_quote_share,168)))"
age_percentile_active_universe|kline_taker_buy_quote_share,6,1,1,2.0253606411975795,0.0,"Mul(Abs(Delta(age_percentile_active_universe,168)),Sign(Delta(kline_taker_buy_quote_share,168)))"
age_percentile_active_universe|taker_buy_quote_volume,6,1,0,3.0879461433501447,0.0,"Mul(Abs(Delta(age_percentile_active_universe,4)),Sign(Delta(taker_buy_quote_volume,4)))"
funding_rate|realized_vol_168h,6,1,0,1.380724407013238,0.0,"Mul(Abs(Delta(funding_rate,168)),Sign(Delta(realized_vol_168h,168)))"
kline_taker_buy_quote_share|trade_return_1h,6,1,0,1.0007930619920522,0.0,"Mul(Abs(Delta(kline_taker_buy_quote_share,4)),Sign(Delta(trade_return_1h,4)))"
trade_close|trade_return_1h,6,1,0,1.0022135544471338,0.0,"Mul(Abs(Delta(trade_close,24)),Sign(Delta(trade_return_1h,24)))"
age_x_volatility|kline_taker_buy_quote_share,6,0,0,1.4934090176458104,0.0,"Mul(Abs(Delta(age_x_volatility,4)),Sign(Delta(kline_taker_buy_quote_share,4)))"
age_x_volatility|realized_vol_24h,6,0,0,1.198525751386779,0.0,"Mul(Abs(Delta(age_x_volatility,4)),Sign(Delta(realized_vol_24h,4)))"
funding_rate,6,0,0,1.061451434705067,0.0,"Abs(Delta(funding_rate,8))"
funding_rate|history_length_hours,6,0,0,1.0246505032519098,0.0,"Mul(Abs(Delta(funding_rate,8)),Sign(Delta(history_length_hours,8)))"
global_long_short_account_ratio_last,6,0,0,1.0001151574721743,0.0,"Abs(Delta(global_long_short_account_ratio_last,4))"
global_long_short_account_ratio_last|realized_vol_24h,6,0,0,2.4730200608142145,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,4)),Sign(Delta(realized_vol_24h,4)))"
trade_close,6,0,0,1.0659552532436674,0.0,"Abs(Delta(trade_close,24))"
trade_high,6,0,0,1.1951823852193408,0.0,"Abs(Delta(trade_high,24))"
trade_high|trade_quote_volume,6,0,0,1.0772762296628824,0.0,"Mul(Abs(Delta(trade_high,24)),Sign(Delta(trade_quote_volume,24)))"
trade_return_1h,6,0,0,1.0033440334890584,0.0,"Abs(Delta(trade_return_1h,4))"
age_x_funding_abs|trade_return_1h,5,1,0,1.605279677901613,0.0,"Mul(Abs(Delta(age_x_funding_abs,4)),Sign(Delta(trade_return_1h,4)))"
index_close|open_interest_mean,5,1,0,3.5044416608367808,0.0,"Mul(Abs(Delta(index_close,4)),Sign(Delta(open_interest_mean,4)))"
mark_close|trade_return_1h,5,1,0,1.000555915682233,0.0,"Mul(Abs(Delta(mark_close,8)),Sign(Delta(trade_return_1h,8)))"
trade_close|trade_return_24h,5,1,0,1.160299426004996,0.0,"Mul(Abs(Delta(trade_close,4)),Sign(Delta(trade_return_24h,4)))"
age_x_volatility|realized_vol_168h,5,0,0,1.3170755652850956,0.0,"Mul(Abs(Delta(age_x_volatility,4)),Sign(Delta(realized_vol_168h,4)))"
funding_rate|global_long_short_account_ratio_last,5,0,0,0.9956685926787274,0.0,"Mul(Abs(Delta(funding_rate,168)),Sign(Delta(global_long_short_account_ratio_last,168)))"
funding_rate|listing_age_days,5,0,0,1.0195817326066443,0.0,"Mul(Abs(Delta(funding_rate,4)),Sign(Delta(listing_age_days,4)))"
global_long_short_account_ratio_last|kline_taker_buy_quote_share,5,0,0,1.3527192838191504,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,4)),Sign(Delta(kline_taker_buy_quote_share,4)))"
index_close|kline_taker_buy_quote_share,5,0,0,2.436038452201255,0.0,"Mul(Abs(Delta(index_close,4)),Sign(Delta(kline_taker_buy_quote_share,4)))"
index_close|taker_buy_quote_volume,5,0,0,1.0243953572698137,0.0,"Mul(Abs(Delta(index_close,4)),Sign(Delta(taker_buy_quote_volume,4)))"
mark_close,5,0,0,1.2818655626043356,0.0,"CSRank(Delta(mark_close,4))"
mark_trade_basis_bps,4,4,0,1.0018335088723207,4.0,CSRank(mark_trade_basis_bps)
funding_rate|global_long_short_account_ratio_mean,4,2,0,1.1701513421202379,1.0,"Mul(CSRank(funding_rate),Sign(Delta(global_long_short_account_ratio_mean,4)))"
age_percentile_active_universe|execution_time,4,1,0,3.3018964772764052,0.0,"Mul(CSRank(Delta(age_percentile_active_universe,4)),Sign(Delta(execution_time,4)))"
global_long_short_account_ratio_last|taker_buy_quote_volume,4,1,0,1.3985831253876402,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,4)),Sign(Delta(taker_buy_quote_volume,4)))"
mark_trade_basis_bps|taker_buy_quote_volume,4,1,0,1.5847230073634044,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(taker_buy_quote_volume,4)))"
age_x_volatility|listing_age_days,4,0,0,1.5799081423530534,0.0,"Mul(Abs(Delta(age_x_volatility,4)),Sign(Delta(listing_age_days,4)))"
global_long_short_account_ratio_last|listing_age_days,4,0,0,1.0065433369183534,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,4)),Sign(Delta(listing_age_days,4)))"
global_long_short_account_ratio_last|trade_return_1h,4,0,0,1.0391716690019028,0.0,"Mul(CSRank(global_long_short_account_ratio_last),Sign(Delta(trade_return_1h,4)))"
index_close,4,0,0,1.3116785823125987,0.0,"Abs(Delta(index_close,4))"
trade_close|trade_quote_volume,4,0,0,1.122847693063591,0.0,"Mul(CSRank(trade_close),Sign(Delta(trade_quote_volume,4)))"
taker_buy_sell_volume_ratio_last,3,1,0,3.1881880261753475,0.0,CSRank(taker_buy_sell_volume_ratio_last)
age_x_funding_abs,3,0,0,0.987163420483556,0.0,"Abs(Delta(age_x_funding_abs,4))"
funding_rate|realized_vol_24h,3,0,0,1.5210052503597775,0.0,"Mul(CSRank(funding_rate),Sign(Delta(realized_vol_24h,4)))"
global_long_short_account_ratio_last|realized_vol_168h,3,0,0,4.472270755900262,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_last,24)),Sign(Delta(realized_vol_168h,24)))"
index_close|listing_age_days,3,0,0,1.2807191814584131,0.0,"Mul(Abs(Delta(index_close,4)),Sign(Delta(listing_age_days,4)))"
index_close|open_interest_last,3,0,0,1.4010131001098105,0.0,"Mul(Abs(Delta(index_close,24)),Sign(Delta(open_interest_last,24)))"
mark_trade_basis_bps|premium_close_bps,3,0,0,1.0508568411120511,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(premium_close_bps,72)))"
mark_trade_basis_bps|realized_vol_24h,3,0,0,1.5511579095494332,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(realized_vol_24h,4)))"
realized_vol_24h,3,0,0,2.8500813962254243,0.0,CSRank(realized_vol_24h)
trade_close|trade_count,3,0,0,1.003537906879001,0.0,"Mul(Abs(Delta(trade_close,24)),Sign(Delta(trade_count,24)))"
age_percentile_active_universe,2,1,0,2.736573273521693,1.0,"CSRank(Delta(age_percentile_active_universe,4))"
funding_rate_abs_168h,2,0,0,0.9994125711476912,0.0,CSRank(funding_rate_abs_168h)
funding_rate_abs_168h|global_long_short_account_ratio_last,2,0,0,1.2378527458798723,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(global_long_short_account_ratio_last,168)))"
global_long_short_account_ratio_last|trade_count,2,0,0,1.9750426653847477,0.0,"Sub(ZScore(Mean(global_long_short_account_ratio_last,4)),ZScore(Mean(trade_count,16)))"
global_long_short_account_ratio_mean,2,0,0,1.108951352858286,0.0,"Abs(Delta(global_long_short_account_ratio_mean,4))"
index_close|realized_vol_168h,2,0,0,1.0107723606994878,0.0,"Mul(CSRank(Delta(index_close,24)),Sign(Delta(realized_vol_168h,24)))"
mark_index_basis_bps,2,0,0,1.0,0.0,"Delta(mark_index_basis_bps,4)"
mark_trade_basis_bps|trade_close,2,0,0,2.0959162129342728,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(trade_close,24)))"
mark_trade_basis_bps|trade_return_1h,2,0,0,1.5864019362924233,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(trade_return_1h,4)))"
premium_close,2,0,0,1.4864868276771557,0.0,CSRank(premium_close)
realized_vol_168h|trade_close,2,0,0,1.8717536723503077,0.0,"Mul(Delta(realized_vol_168h,8),ZScore(Delta(trade_close,8)))"
taker_buy_sell_volume_ratio_last|taker_buy_sell_volume_ratio_mean,2,0,0,3.600672409088066,0.0,"Mul(Delta(taker_buy_sell_volume_ratio_last,4),ZScore(Delta(taker_buy_sell_volume_ratio_mean,4)))"
