input_field_key,candidate_count,diagnostic_clue_count,strict_clue_count,median_control_ratio,median_clean_label_count,example_expression
taker_buy_sell_volume_ratio_last|trade_high,2,0,0,3.1461144104075585,0.0,"Mul(Delta(taker_buy_sell_volume_ratio_last,4),ZScore(Delta(trade_high,4)))"
taker_buy_sell_volume_ratio_last|trade_open,2,0,0,1.4509776431078054,0.0,"Mul(Delta(taker_buy_sell_volume_ratio_last,4),ZScore(Delta(trade_open,4)))"
trade_close|trade_low,2,0,0,1.6665607700149385,0.0,"Mul(CSRank(trade_close),Sign(Delta(trade_low,8)))"
trade_return_24h,2,0,0,0.9994584541660049,0.0,CSRank(trade_return_24h)
age_percentile_active_universe|global_long_short_account_ratio_last,1,1,0,1.0545850685253662,2.0,"Mul(ZScore(age_percentile_active_universe),Sign(Delta(global_long_short_account_ratio_last,24)))"
age_percentile_active_universe|global_long_short_account_ratio_mean,1,1,0,1.016033112953859,4.0,"Mul(ZScore(age_percentile_active_universe),Sign(Delta(global_long_short_account_ratio_mean,4)))"
age_percentile_active_universe|trade_count,1,1,0,1.0122843737920193,2.0,"Sub(ZScore(Mean(age_percentile_active_universe,4)),ZScore(Mean(trade_count,16)))"
funding_rate_abs_168h|realized_vol_24h,1,1,0,5.731682111506381,2.0,"Mul(Delta(funding_rate_abs_168h,4),ZScore(Delta(realized_vol_24h,4)))"
age_percentile_active_universe|listing_age_days,1,0,0,1.396741338160847,0.0,"Mul(CSRank(Delta(age_percentile_active_universe,4)),Sign(Delta(listing_age_days,4)))"
funding_rate_abs_168h|funding_rate_mean_168h,1,0,0,1.0006729812516737,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(funding_rate_mean_168h,168)))"
funding_rate_abs_168h|gap_hours_recent_168h,1,0,0,1.0688310403500156,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(gap_hours_recent_168h,168)))"
funding_rate_abs_168h|kline_taker_buy_quote_share,1,0,0,1.027567997992634,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(kline_taker_buy_quote_share,168)))"
funding_rate_abs_168h|listing_age_days,1,0,0,8.727664583906572,0.0,"Mul(Delta(funding_rate_abs_168h,4),ZScore(Delta(listing_age_days,4)))"
funding_rate_abs_168h|realized_vol_168h,1,0,0,1.1241842130728248,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(realized_vol_168h,168)))"
funding_rate_abs_168h|taker_buy_quote_volume,1,0,0,1.0,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(taker_buy_quote_volume,168)))"
funding_rate_abs_168h|trade_close,1,0,0,3.832781231687581,0.0,"Mul(Delta(funding_rate_abs_168h,8),ZScore(Delta(trade_close,8)))"
funding_rate_abs_168h|trade_return_1h,1,0,0,1.0,0.0,"Mul(Delta(funding_rate_abs_168h,168),ZScore(Delta(trade_return_1h,168)))"
funding_rate|trade_return_1h,1,0,0,1.0,0.0,"Sub(ZScore(Mean(funding_rate,168)),ZScore(Mean(trade_return_1h,336)))"
global_long_short_account_ratio_mean|trade_return_1h,1,0,0,1.284673392582021,0.0,"Mul(Abs(Delta(global_long_short_account_ratio_mean,4)),Sign(Delta(trade_return_1h,4)))"
index_close|trade_count,1,0,0,1.0,0.0,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(trade_count,16)))"
kline_taker_buy_quote_share|listing_age_days,1,0,0,1.88071425520838,0.0,"Mul(Delta(kline_taker_buy_quote_share,4),ZScore(Delta(listing_age_days,4)))"
kline_taker_buy_quote_share|open_interest_last,1,0,0,1.2178044428303525,0.0,"Mul(Delta(kline_taker_buy_quote_share,4),ZScore(Delta(open_interest_last,4)))"
kline_taker_buy_quote_share|source_metrics,1,0,0,1.6034058722994124,0.0,"Mul(Delta(kline_taker_buy_quote_share,168),ZScore(Delta(source_metrics,168)))"
kline_taker_buy_quote_share|taker_buy_quote_volume,1,0,0,1.452393391897404,0.0,"Mul(Delta(kline_taker_buy_quote_share,4),ZScore(Delta(taker_buy_quote_volume,4)))"
kline_taker_buy_quote_share|trade_close,1,0,0,1.682540341654164,0.0,"Mul(Delta(kline_taker_buy_quote_share,4),ZScore(Delta(trade_close,4)))"
mark_index_basis_bps|source_market_funding,1,0,0,2.33834802587696,0.0,"Mul(Delta(mark_index_basis_bps,24),ZScore(Delta(source_market_funding,24)))"
mark_trade_basis_bps|open_interest_last,1,0,0,3.457987462547448,0.0,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(open_interest_last,24)))"
mark_trade_basis_bps|open_interest_mean,1,0,0,0.909537009669982,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(open_interest_mean,4)))"
mark_trade_basis_bps|realized_vol_168h,1,0,0,2.9080096265556774,0.0,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(realized_vol_168h,72)))"
mark_trade_basis_bps|rolling_coverage_168h,1,0,0,3.4674946458658003,0.0,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(rolling_coverage_168h,24)))"
mark_trade_basis_bps|source_market_funding,1,0,0,2.379946210980057,0.0,"Mul(Delta(mark_trade_basis_bps,168),ZScore(Delta(source_market_funding,168)))"
mark_trade_basis_bps|source_metrics,1,0,0,5.06788083429199,0.0,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(source_metrics,24)))"
mark_trade_basis_bps|trade_count,1,0,0,1.9455144515018148,0.0,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(trade_count,24)))"
premium_close_bps,1,0,0,1.486918975140206,0.0,CSRank(premium_close_bps)
realized_vol_168h|realized_vol_24h,1,0,0,1.4315365086710232,0.0,"Mul(Delta(realized_vol_168h,4),ZScore(Delta(realized_vol_24h,4)))"
realized_vol_168h|source_metrics,1,0,0,1.0029989807102484,0.0,"Mul(Delta(realized_vol_168h,24),ZScore(Delta(source_metrics,24)))"
realized_vol_168h|sqrt_listing_age_days,1,0,0,1.0,0.0,"Mul(Delta(realized_vol_168h,4),ZScore(Delta(sqrt_listing_age_days,4)))"
realized_vol_168h|taker_buy_quote_volume,1,0,0,1.7193837649655088,0.0,"Mul(Delta(realized_vol_168h,4),ZScore(Delta(taker_buy_quote_volume,4)))"
realized_vol_168h|trade_count,1,0,0,2.1114011621316013,0.0,"Mul(Delta(realized_vol_168h,8),ZScore(Delta(trade_count,8)))"
realized_vol_168h|trade_high,1,0,0,3.013315624434591,0.0,"Mul(Delta(realized_vol_168h,4),ZScore(Delta(trade_high,4)))"
realized_vol_168h|trade_return_1h,1,0,0,1.071286119509132,0.0,"Mul(Delta(realized_vol_168h,4),ZScore(Delta(trade_return_1h,4)))"
taker_buy_sell_volume_ratio_last|trade_close,1,0,0,8.102915401576153,0.0,"Mul(Delta(taker_buy_sell_volume_ratio_last,4),ZScore(Delta(trade_close,4)))"
taker_buy_sell_volume_ratio_last|trade_count,1,0,0,2.546130814923435,0.0,"Mul(Delta(taker_buy_sell_volume_ratio_last,4),ZScore(Delta(trade_count,4)))"
taker_buy_sell_volume_ratio_last|trade_quote_volume,1,0,0,1.0019910804535206,0.0,"Mul(ZScore(taker_buy_sell_volume_ratio_last),Sign(Delta(trade_quote_volume,4)))"
taker_buy_sell_volume_ratio_last|trade_return_1h,1,0,0,3.160293226049629,0.0,"Mul(ZScore(taker_buy_sell_volume_ratio_last),Sign(Delta(trade_return_1h,4)))"
trade_low|trade_open,1,0,0,1.1173493936932468,0.0,"Mul(Abs(Delta(trade_low,4)),Sign(Delta(trade_open,4)))"
trade_return_1h|trade_return_24h,1,0,0,1.9351323491346797,0.0,"Mul(Delta(trade_return_1h,4),ZScore(Delta(trade_return_24h,4)))"
trade_return_1h|trade_volume,1,0,0,1.520700797040171,0.0,"Mul(Delta(trade_return_1h,4),ZScore(Delta(trade_volume,4)))"
